page 2	錢的問題
page 3	　銘求　　視無效　　組閣
page 3	徐世昌擬　　裁兵會曹錕電贊成
page 3	據報張作霖留奉眷屬其仇家金鬍子全殺
page 3	豫趙倜　汝寧出走部眾悉繳械寶　德改任幫辦軍務
page 3	曹錕電復　　　　豫事完竣　　　　　　　　　　並請將駐綏　第一師　直填防
page 3	漢口訊　　學電趙倜調停條件　　　　趙傑及寶德全職　豫軍回審俠編三防地由馮玉祥　接管軍調第　師支隊赴　駐紮
page 3	吳佩孚　昨　索欠餉五十萬
page 3	十日關議提總　職
page 3	曹錕吳佩孚通令王承斌率勁旅赴灤州擊張作霖殘兵
page 3	　傳高淩蔚　兼　交　總長職
page 3	聞此次在津遣散奉軍計　級軍官　　　　級廿八名　下級　　一名兵士二千七百名　場　　　獲大砲二機關槍　槍　千餘馬二千
page 3	徐世昌十一日令吳俊陞署奉督　長奉更紀當署黑省
page 3	曹錕吳佩孚勸王士珍組閣贊成裁兵　珍頗活動
page 3	　閣　　外交顏惠慶內務田文烈致　　修或蔡元培海軍薩鎮冰　陸軍張紹增交通　淩蔚　　　汪士元農商吳笈　　　董康
page 3	聞直軍近截獲　軍遠下現鈔　十七軍　麵三萬包
page 3	吳佩孚聞李國鎔部在楊柳青被奉軍包圍已派軍追擊
page 3	吳佩孚以曹錕任保定將開電事善　　　並將津軍事交　承斌暫時赴　列席
page 3	外交團允撥關餘　萬裁兵用　津傳張學良被直軍擊傷近斃命
page 3	直　　李廷玉電徐世昌請蔣曹　罷職並裁兵廢督由直　始
page 3	津訊外兵已撤津　復通
page 3	王承斌今日到津與吳佩孚會後即赴軍糧城辦理善後
page 3	　社團問曹　有任消息 對　烈
page 3	曹錕勸吳佩孚　　　追張作霖吳言張若出關不為已甚　則決以兵　
page 3	吳俊陞近派謁吳佩孚條陳　省善後
page 3	張作霖征灤　聞有備戰　處　萬　餘人　約六　有槍
page 3	其論馬廠楊柳青等　尚有少數　兵逗　　到免職查　辯命令　備極憤慨　　罵徐世昌落井下石謂　　今日　案系力不當恩作仇報據探報張已密遣心腹出關請　烈　擔任後方否亦勿傾向直系彼奉勝則當駐關內敗亦決不返奉東省事當由孫　　　彼　再問若迫　過甚奉　祇　衝出　圍　返戈瀋陽先整頓內部亦　奉福聞孫現尚無抗張表示　惟能否與張一致仍難逆　梁士詒　　恭綽　確已抵滬密向南方活動　　傳北伐軍　人贛一般人均　注目
page 3	省行紙幣之跌價
page 3	鹽船罷工後　要聞
page 3	聲明廣東　　票被竊
page 6	煙防微生物
page 6	大戰贛　張作霖　　
page 6	日軍駐西伯利亞問題
page 6	精武　會來函
page 6	傳染症報告
page 6	銀價
page 6	青島宣佈香港為疫埠
page 6	索賠損失案判結
page 6	小錢債案
page 6	出入口署首季報告紀要
page 6	荷國增加作工時刻
page 6	俄國對日諾雅會之答覆
page 6	英國商務
page 7	葉學所部抵肇慶
page 7	各鄉渡　被封傭運兵
page 7	福軍請領槍彈
page 7	造幣廠總會辦之更動消息
page 7	毛仲芳可無性命之虞
page 7	醫遣送閩籍水兵回籍
page 7	居正未就內部總　職
page 7	韶雄各地增設無線電
page 7	指數高審廳怪象之傳單
page 7	善堂向省署索債
page 7	第二師北伐軍尚未開拔
page 7	指定福軍保護粵路
page 7	派船接熊翁所部來省
page 7	粵軍　　抵肇情形
page 7	高要新橋之巨劫
page 7	傷　請給資回籍
page 7	綢綾瞞釐被截
page 7	廣西散兵土匪同時　舉
page 7	請加給囚糧交　
page 7	外　請放行私運洋鹽船隻不准
page 7	瑣聞一束
page 7	牛肉　會抽捐
page 7	控　在任職官公報私仇
