page 1	堅定最後勝利之信念
page 2	敵軍左衝右突無路可逃
page 2	我軍已佔據嶧南草山
page 2	豫北開始反攻我軍切斷濟源敵歸路晉南新城之敵已被我包圍
page 2	我攻孟縣濟源經過
page 2	新城之敵被我包圍
page 2	風陵渡殘敵圍殲中
page 2	襲蚌我軍進展極速
page 2	我大軍進至嶧縣城下
page 2	朱陳之殘敵被我包圍
page 2	江南游擊隊開始與敵接觸皖中我軍襲敵進展頗速
page 2	綏省馬占山部乘勝進薄歸綏斃敵偽軍數十俘指揮官一名
page 2	去月我軍在晉游擊戰績最多一次殲敵千餘名
page 2	國府公佈修正禁煙禁毒條文
page 2	敵機襲漢遇雨
page 2	便衣隊攻蕪湖機場
page 2	敵機在皖浙間肆虐
page 2	校方向教部報告湖大被炸詳情
page 2	我大軍經數日圍攻嶧縣東南西三面被圍擔任殺敵者為湯恩伯孫連仲兩部十二晚起劇戰昨已進至嶧縣城下台兒莊一役敵磯谷中將有被我擊斃說
page 3	孫科在倫敦演說我國力足抗日一年後有八百萬新兵訓練成功台兒莊大捷全國軍民意志大壯泰晤士報謂孫赴美有重大任務
page 3	達拉第宣讀施政方針宣言首重增強國防以保障和平為外交政策
page 3	新任民政廳長羅經猷抵青海談政治設施務求切合抗戰
page 3	長谷川赴青島
page 3	到東戰場去
page 3	敵機敵艦襲閩
page 3	英國要求國聯重行攷慮阿國事件意國表示滿意認為係英意妥協確切象徵張伯倫稱非承阿國被征服
page 3	我國在美購入大批金幣存國外作金準備
page 3	外報再論我台兒莊大捷破日長勝迷夢果日軍一蹶不振台兒莊即成亞洲滑鐵鑪証明我軍作戰能力極強軍械好可抗敵軍
page 3	獨裁魔手下之德國竟有正義報社日耳曼報登我勝訊其餘名報似奉命專載日方消息
page 3	桂主席黃旭初電賀蔣委長及李程兩司令台莊大捷薄海騰歡
page 3	北平附近我游擊戰活動敵軍警應戰負傷甚眾
page 3	英美法三國海軍會議美計劃未確定三國專家俟接訓令再開會議
page 3	陳誠暢論台兒莊殲敵情況二引述坦能堡之役證明我之成功以軍事學家態度作綜合之分析
page 4	籃球籌款賽中國隊對南華會今夕七時在青年會
page 4	華仁舊生會舉行陸運大會
page 4	足球籌賑賽西警決場九龍改戰飛機隊以七比一獲勝
page 4	第二屆德權鼎足球賽十七日開幕歡迎各界蒞場參觀　在南華球場舉行
page 4	網球準決賽　培戰小林珍天黑仍未終局保留異日再賽
page 4	40-33昨晚普籃賽出乎意料之外青年會不敵華南
page 5	敵擾東路
page 5	圖襲市區
page 5	我敵遭遇
page 5	擊落敵機
page 5	空軍消息
page 5	劉孟舟談
page 5	敵機再來
page 5	當局公佈
page 5	粵省籌劃統一優良蠶種
page 5	官商集資營運國米組織辦法省府已通過
page 5	蔗農代表再謁當局請願
page 5	五路軍總部優待現役官兵家屬省內省外均一律優待省外須相當證明文件
page 5	粵市海味商再請改善捐稅
page 5	活動農村經濟百五萬貸款即放出改由農本局辦理
page 5	大利工廠被炸死傷確數職工組辦事處辦理善後
page 5	工人善後
page 5	死傷確數
page 5	桂府再令各縣切實勒繳
page 5	蔣委員長嘉許粵省防空
page 5	嶺東沿海祇有敵艦兩艘
page 5	糧委會議決記賑洋米分配及辦法米糠會注意登記領證手續
page 5	敵機昨犯粵被我擊落七架墜落地點均已查明機師一名被我生擒墜落西婆沙海面之敵機由另一敵機自行炸毀並救回敵機師其餘多係機毀人亡
page 6	桂省府改變派用甲長辦法
page 6	鶴山縣民請願挽留謝縣長
page 6	順德著名綠林首領麥伯你之自新經過
page 6	容桂等鄉不准僧道抄化
page 6	在梅縣墮落之敵機師已由鄉人誘捕卒被逃脫圍捕時被擊斃保安隊兵一特務長亦被擊中數彈該機師竄黃洞山已被圍梅縣捕獲嫌疑敵人四名
page 6	解繳國防債款
page 6	總工會祝捷電
page 6	發生兩宗命案
page 6	懿慶寺僧被殺
page 6	家姑殺媳疑案
page 6	大剷關敵兵趕築砲壘接近寶安城一面尤多敵運三灶島民幫同趕築
page 7	到會者眾
page 7	主席致詞
page 7	徐氏答詞
page 7	菲僑努力
page 7	倡用國貨團擴大組織本月中旬出發徵求會員
page 7	威脅英輪得意忘形敵機誤墮海中敵艦祇救回機師一名其餘隨機直到龍宮去
page 7	溫宗堯父墳被發掘墓在開平縣蜆崗
page 7	我國抗戰萬眾一心最後勝利有絕對把握徐天深昨在華商會歡迎會中演詞商會並歡迎菲島記者戰地訪問團
page 8	西商會主席祁禮演講商業遊戲蛇與梯三認定此種戲極適合於商人生活借蛇與梯詳論本港製造工業
page 8	立法局通過四要案檢驗煤氣鼓新例已通過
page 8	廣九路增開直通快車華英路局各增開一班
page 8	中國海岸西人船員工會向資方提出四項要求目的在增加薪金改善待遇希望第三者調停以免罷工
page 8	書不勝書　完畢各個拋入海中現款二千元及貨物被劫
page 8	光宇廠捐風燈千枝已運前方
page 8	四路暫停交通
page 8	西警飲彈殞命
page 8	痘症昨已銳減
page 8	青洲發現鯨魚
page 8	臨大學生百餘人昨抵港
page 8	屋租調委會結束報告書經正式發表書內分六章擬就解決辦法呈核該會收到伸訴書共達三百餘件
page 10	三賊賺門行劫
page 10	戰地攝影團再舉行展覽會
page 10	文藝界昨歡聚
page 10	長庚艦命案上訴英京英大理院批准日間開審
page 11	日軍戰略很少創造
page 11	和尚喇嘛揭竿紛起
page 11	在那邊的社會制度
page 11	有優秀的軍官學校
page 11	歷程二千五百里費時五旬餘晉察冀戰區巡視記二在鐵路交通線以外地區山河依然無恙戰區民眾都成游擊隊
