page 1	墨索里尼演詞之表裏觀
page 2	晉Ｘ向西活動霍縣北鐵路被我破壞
page 2	順德Ｘ軍攻陷容桂
page 2	兒童節桂林舉行獻金
page 2	南昌發生激烈巷戰外圍戰事亦十分緊張武寧我軍猛烈反攻乘勝渡河追擊修河南岸我克洞口羅坪重要據點
page 2	伊盟平靖馬子禧抵桂談話
page 2	滬鋤奸團紀念黃花節
page 2	法對意法談判堅持原來態度
page 2	美參議院通過陸軍新預算案總數共五十餘億美元
page 2	上海紡織公司職員日人牧野氏被刺斃命Ｘ兵封鎖楊樹浦搜查行人住宅
page 2	法國決定增加海軍員額
page 2	中央嚴令徵令新黨員
page 2	浙東我軍克周家浦海面Ｘ艦撤退偷渡Ｘ被肅清
page 2	粵北各線戰事沉寂黃沙Ｘ增援江村
page 2	滬各業公會奉令宴客免用魚翅
page 2	無錫遊擊隊入城清除漢奸滬西南我游擊隊亦告捷
page 2	受Ｘ舞弄寧偽激烈排英
page 2	中懲會委員王恆元逝世
page 2	國聯技術員計劃協助我國防疫
page 2	豫南我迫信陽鄂北我軍夜襲南林橋東Ｘ
page 2	皖南我軍反攻順利進展東流我Ｘ在官山附近激戰
page 3	倫敦市場我國債券高漲因我政府現準備償付各外債本息
page 3	Ｘ犯南昌當中贛北前線視察此次Ｘ犯南昌動員五個師團Ｘ傷亡逾萬五千人得不償失
page 3	三攻大磯山均失敗
page 3	希望告絕改犯吳城
page 3	修水南犯依然不逞
page 3	安義一役Ｘ軍重創
page 3	吳城焦土我仍苦戰
page 3	南昌我軍與Ｘ巷戰
page 3	Ｘ軍傷亡萬五千人
page 3	立內閣總辭職參謀總長將試組新閣
page 3	圍攻兩年馬德里城陷落守城共和軍已奉令投降共和軍當局已無心再戰
page 3	美巨型飛艇飛抵菲洲西北
page 3	斯匈開始和平談判
page 3	斯洛伐克徵集空軍
page 3	反對分離居住舉行示威運動
page 3	蘇英談判促進蘇英關係增進國際維持和平力量
page 3	平江英僑慘斃英已向日抗議
page 3	蘇聯駐華大使返國所負使命重大中蘇兩國合作關係更進一步大批飛機戰車重炮源源輸華
page 3	墨以煤油交換意國機器
page 3	英政府　檢外交政策並不欲以對德作經濟制裁米美爾問題英未向德抗議
page 3	英參謀長赴法閱操並視察馬奇諾防線
page 3	蘇聯防有不測大軍集中邊境各鐵路軍運甚忙傳德烈秘密談判
page 3	法向美購轟炸機三百架
page 3	意大使赴天津
page 3	希特勒欲向南國染指德意利益漸形成衝突德意軸心早將羅南劃為意國控制德今欲圖南墨索里尼必忍無可忍
page 3	波蘭將成德新目的物德將向波提但澤要求德鼓動波蘭日耳曼人反波蘭政府波決不肯為捷克第二已準備抵抗
page 4	募債會會議紀去週銷債三萬餘元
page 4	連日天氣奇暖昨溫度竟達七六點二
page 4	開投九龍公地
page 4	衛生局昨例會
page 4	劫案定期公審
page 4	兩人報失汽車
page 4	遠東航空學校失蹤練習機安返九龍因遇大霧致迷失方向誤降大亞灣停留一宵
page 5	Ｘ軍增援
page 5	我軍固守
page 5	商民疏散
page 5	Ｘ軍進犯
page 5	決定焦土
page 5	佔大鳳山
page 5	桂洲繼陷
page 5	Ｘ犯馬寧
page 5	火焰衝天
page 5	軍要觀測
page 5	Ｘ軍又登南澳未幾即退去惟搬去食鹽
page 5	Ｘ陸空演習調兵西上西江前線又突趨緊張我軍已嚴密警戒戰區視察團巡視西線
page 5	紅崗我軍捕獲漢奸
page 5	林賜熙談視察經過
page 5	我壯士在西江截擊ＸＸ擊沉Ｘ艇一艘並斃Ｘ兵數名
page 5	東線我軍已圍增城我克復昇平聯福衝入城內正果石灘方面發生前哨戰
page 5	容桂失陷詳誌Ｘ艦進抵鶯哥嘴新會嚴防中山Ｘ艦大增形勢緊張
page 6	在瓊被阻犯雷困難
page 6	偽軍逃出被我截獲
page 6	最高當局派員勞軍
page 6	Ｘ在海口停築兵房
page 6	省主席李漢魂重視行政效率
page 6	桂猺民請纓東下殺Ｘ
page 6	澈底減免游擊區稅
page 6	實切督導行政幹訓
page 6	省府擴大預防天花運動組衛生巡迴隊
page 6	積極策進精神動員
page 6	設處管理戰時交通
page 6	破壞公路繳租辦法一區公署訂定
page 6	游擊政費優先支發
page 6	合署辦公展期半月
page 6	張發奎嚴查避居港澳文武官員查出撤職永不敘用
page 6	桂省黨部令黨員切實除
page 6	深圳警局辦理緝私近聞
page 6	韓國青年隊在桂隨軍服務
page 6	中山情勢漸緊張Ｘ艦派汽艇進擾香洲凰閣Ｘ軍大增似有特殊企圖
page 6	Ｘ任鳳閣加緊設防
page 6	Ｘ艦昨又圖擾香洲
page 6	Ｘ在台山廣海登陸劫掠被我團隊擊退
page 6	李務滋召開防衛會議加強抗戰準備守土
page 6	潮汕已加緊戰時布置
page 6	新會各界籌款慰勞戰士並徵集鞋襪各五千對
page 6	免稅洋米運汕海關公佈實行
page 6	Ｘ機之兇殘轟炸汕頭市災情詳誌Ｘ機襲擊汕揭輪死傷甚慘火車避免空襲改行車時刻
page 6	轟炸汕市
page 6	射汕揭輪
page 6	Ｘ犯瓊得不償失企圖犯雷州不易得逞當局派員赴瓊勞軍更委縣長
page 7	上水英兵撤退
page 7	沙井海盜截劫貨艇掠去貨物約值六千元艇主被鎗傷來港就醫
page 7	少年男女遇盜捕獲疑犯兩人
page 7	黃炳勳昨過港
page 7	美巨機昨離港
page 7	法大使今赴滬
page 7	雲照坤今到港
page 7	各界賑聯會昨議決義演黃花崗全部收入撥卹陣亡將士家屬大會現存米糧分撥各區散賑
page 7	糖商長期義捐又匯出四千元
page 7	屈臣氏公司去年獲利甚厚
page 7	浸信會服務團派員徵募款物
page 7	外商來港談廣州全無生氣開放珠江斷難實現商人不賣Ｘ貨則無水電供給賣Ｘ貨又被游擊隊縱火焚舖
page 8	紅磡劫殺案續審賊匪變作證人劉全供述參加行劫及自首經過梁就否認作內應謂彼亦受損失
page 8	劉全供稱
page 8	至和豐號
page 8	在艇分賊
page 8	收留梁鳳
page 8	裁判署擠滿女學生觀審蘇安平控夫案被告律師注意馮啟孫蘇安平力謂不識其人
page 8	家徒四壁
page 8	寶馮啟孫
page 8	志賢女校
page 8	立法局之議案
page 8	平劇義演成績籌得五千餘元
page 8	華人置業公司昨開股東年會去年獲利十餘萬元
page 8	賊匪垂涎九龍富室準備光顧太子道一帶之住戶警探獲數疑犯搜出匪黨計劃
page 11	歡迎星洲足球界的同僑續
page 11	東方與米杜息之戰改本星期五日舉行滬將曹秋亭許文奎或可助陣
page 11	昨日公開網球祇得一場舉行今有單打兩場
page 11	今夕籃球賽程
page 11	簡訊彙誌
page 11	星洲足球隊犯港第三戰決定對華聯各場門票今開始定座
