page 2	告圖企延長廣東戰禍者
page 3	吳景濂向孫定琦薦邊守靖入閣
page 3	京政府為孫寶琦閣將開茶話會聯絡議員
page 3	倒吳景濂派議員不承認吳發議事日程眾議院恐有武劇
page 3	連日譚延闓軍分路潰退趙部鄒振鵬旅沿河抄至湘潭蔣鋤歐旅同時渡河夾擊譚軍棄城逃走輜重多遺落魯滌平部退至萱州吳劍學等退守寶慶長沙對岸之蔡鉅猷軍亦被葉開鑫分路抄擊向寧鄉退卻被李亞平部中途邀擊轉逃湘鄉葉開鑫因督戰受傷馬濟欲赴前敵代葉趙恒惕勸止蔣鋤歐電趙恒惕謂譚軍已失戰鬥力三日內可肅清湘潭
page 3	吳佩孚對任陳炯明長粵主先徵本人及沈鴻英同意
page 3	京政府急欲提取匯理銀行鹽餘存款決定如法使仍反對則惟有承認金佛郎案使此款可以早日提出惟某次長反對甚力謂金法郎案經國會否決政府不能抹煞國會之決案且要承認則早當承認若至外人提出要挾始行承認則嗣後外交上凡有要求外人只須扣留鹽餘便可取得承認中國主權所存幾何等語
page 3	法使將回國暫由駐滬法領事威爾登代理
page 3	路警署編制定一處三所關路政者商承交部關軍事者商承公府軍事處
page 3	張伯烈由洛陽回主以副座與盧永祥
page 3	吳佩孚又電陝甘當局派兵援川
page 3	安格聯五日可抵京
page 3	閩將設省自治籌備處薩鎮
page 3	冰任處長
page 3	吳景濂發通知單列孫閣同意案於五日日議程
page 3	四日小孫及甘石橋派集各政團開會谷芝瑞主席推景耀月起草否認吳發議事日程定五日先據議場另推臨時議長
page 3	孫寶琦欲以蔡廷幹長財部曹錕同意四日孫赴海甸宣言對內對外均託廷幹接洽
page 3	孫寶琦汪大燮熊希齡等發起全國統一和平協會四日午開成立會
page 3	聞曹錕不贊成召集新新國會免兔死狗烹之誚
page 3	兩軍最後五分鍾之東江戰局
page 3	粵軍力守惠城之經過情形
page 3	聯粵兩軍在柏塘泰尾劇戰詳情
page 3	粵軍攻克增城之捷報
page 3	西報評羊城拉伕
page 3	美提督到港
page 3	鄒魯之妻　斃命
