page 1	英法土互助協定成立
page 2	薛岳將軍談論湘北戰術日軍準備三月後再犯長沙我軍民合作必能將日擊退
page 2	我軍猛攻通城靖　據點被我克復白螺磯日軍受重創
page 2	偽軍官呂柏良在滬被捕抄獲大批偽軍符號
page 2	晉南我軍加緊圍攻壺關克復鎮風塔牛王廟
page 2	里賓特羅甫衣服太華麗不配教國人節衣
page 2	希特勒批准蘇德協定及波蘭邊界蘇德議定書定期成立一波蘭獨立國
page 2	我軍十九晨分向三水進擊新會城南連日發生激戰
page 2	鄂東我軍向日進擊
page 2	皖北我軍進抵五河城郊
page 2	北歐四國會議結束聯合發表宣言決心維護中立地位目前不宜出任調停
page 2	四國元首廣播演說
page 2	德空軍又襲擊蘇格蘭西戰線戰事仍沉寂
page 2	恢復波蘭問題成立協定訂明將來戰爭目的達到之後波蘭只收回被德侵略之土地
page 2	法國海軍部長演講封鎖德國係一種必要之手段
page 2	接見英美蘇大使蔣委長重申抗戰決心一般觀察中日戰事已到決定階段最後之結果將在十二個月內決定
page 3	協定內容三大要點
page 3	英報贊土遵守條約
page 3	英相報告談判經過
page 3	巴爾幹諸國極安慰
page 3	美大使演講美對遠東態度美在華權益被日軍所損害此事甚引起美國人士反感
page 3	菲律賓華僑受有杯葛嫌疑菲政府現在查究
page 3	長沙會戰是怎樣勝利的三中央社戰地特派員劉竹舟
page 3	荷蘭積極進行軍事戒備
page 3	美中立法案討論行將結束孤立派繼續發表意見主張羅斯福調停歐局
page 3	英空軍大臣到法前線視察
page 3	波士頓西北發生劇烈地震預四料廿小時內將發生重大反響
page 3	保閣提總辭職
page 3	倫敦銀價高漲
page 3	暹越締結鐵路協定
page 3	歐亞渝港線將可復航
page 3	英國截留違禁品物統計有三十三萬八千噸
page 3	英法土協定簽字舉行參謀談判意大利態度如何至堪注意蘇土談判能否繼續尚難料
page 5	乘彼空虛進襲九江
page 5	一區專員抵達石岐
page 5	反攻古鎮獲艇十餘
page 5	粵省銀行舉辦典業放款辦法游擊區附近各縣農貸區域已定總額三十萬暫定每縣貸二萬元
page 5	貸款區域
page 5	典業放款
page 5	粵北日軍奪桅杆市受阻
page 5	炮火下的嶺東二
page 5	滇省各縣霪雨為災昆明楚雄路南已成澤國各方分頭防潦搶救災民
page 5	南路行署又聞下月成立
page 5	江佛路上李羅兩逆被擊
page 5	北路　軍反攻甚急橫潭日偽軍增援龍口游擊隊襲橫潭奪戰利品甚多我機飛日陣宣傳促偽軍反正
page 5	橫潭龍口日軍運忙
page 5	我襲日營奪獲機槍
page 5	我飛龍口投擲紙彈
page 5	潮安仍被我包圍日犯意溪不逞
page 5	西江戰訊我日欖岡激戰
page 5	菜籽菜油禁運出口馬鬃頭髮暫准運銷
page 5	日仍調兵增援江會我乘勢三路反攻九江之捷音一區游擊司令公佈犯古鎮偽軍被擊潰
page 7	長沙灣海盜截劫貨艇艇上財物被掠一空警探捕獲疑犯兩名
page 7	海盜截劫
page 7	獲兩疑犯
page 7	基督教賑災會派隊服務災區在柳州序曲臨時醫院
page 7	霍芝庭今出殯
page 7	文化事業社籌辦難童義學
page 7	帝航機今到港
page 7	僑港歐西人士對徵收所得稅之意見南華西報頗持反對論調德臣西報在原則上贊成
page 7	財徒毆斃少年案公審證人述目擊慘案發生經過
page 7	歐亞機復航港渝線今日開始定座及收寄貨物
page 7	九如坊血案兇犯入獄三年
page 7	日艦又焚我漁船五艘漁人十八名殉難財物損失數千元中賑會及慈善團體積極設法救濟
page 8	英法土三國談判經過
page 8	英蘇談判
page 8	英土兩國
page 8	軍事佈置
page 8	今日足球聯賽甲組三場戰事南　華迎擊蘇皇軍米杜息對警察九龍遇香港會明日南南對東方有劇戰
page 8	記者體特會主辦籃球義賽今晚舉行好戲連檯球迷請早臨場
page 8	界籃球賽定廿三日開始征菲女籃球隊月底出發胡好夫人及鍾志強領隊
page 8	全港英文校際游泳英皇書院榮獲冠軍華仁及聖約瑟分列亞季軍
page 8	誰是新富翁秋季大馬票今日開彩預算首名可得獎金七萬餘元快活谷馬場今日仍有票發售
