page 1	論陳獨秀
page 2	津浦南段敵居被動地位凡敵所利用之公路悉被我軍民所破壞
page 2	浙北一帶我游擊隊活躍在德清武康間奇襲各交通線常被破壞
page 2	我軍某師在午城鎮殲敵七百敵竄高平石黑旅團長被我擊斃萬泉敵軍千餘人被我完全解決
page 2	豫晉之敵已被截為數段敵受襲擊軍心惶恐鬥氣已餒崩潰不遠
page 2	我軍一度克復陽城
page 2	豫北敵兵調集新鄉
page 2	晉南殘敵被我截擊
page 2	封邱之敵偷渡不逞
page 2	平漢線　調動頻繁
page 2	我生力軍安然渡河
page 2	魯南戰事樂觀津浦北段我大軍反攻滕縣東南之 敵被我圍殲傷亡極多臨沂方面敵軍反攻被我猛烈擊退
page 3	法國贊成捷德談判
page 3	捷望英法參加協定
page 3	張伯倫將在下院闡述外交政策英全部閣員定今日會議全盤檢討最近國際局勢
page 3	國聯防疫團委員榮勝森張維等離贛赴湘與贛省當局商定協力防疫辦法
page 3	德向國聯聲明奧國退出國聯歷年國聯對奧借款如何歸還大有問題
page 3	羅前國務總理馬尼亞談羅國對德併奧表示憂慮希望保持中歐現行均勢期德東向計劃不至實現
page 3	對取締外油公司美促墨政府速設法調整認為現時局勢已極嚴重
page 3	德購氦氣用途美疑或充軍用對德所訂氦氣或當延緩交貨
page 3	波蘭當局防蘇假道攻德現主張組織中立國集團
page 3	赫禮歐或將東山復起傳於週內將出組織聯合內閣
page 3	英議員問張伯倫質問對日交涉
page 3	薩羅納城英僑奉勸離境
page 3	教廷要求弗朗哥停止轟炸平民
page 3	英意談判尚未成立協定
page 3	滬工部局對日方要求以收回虹口為磋商條件關於任命日人為總裁已婉卻
page 3	立法院長孫科將由法赴倫敦
page 3	紐約泰晤士報再呼籲美國廢除中立法認為此舉可以減削戰禍之危機世界和平之維持與美利益有關
page 3	瑞士聯邦政府宣言不惜代價保衛國家獨立賡續履行保衛阿爾卑斯山主要山隘使命
page 3	美參眾兩院通過海軍擴充經費案總數區達十萬萬零八千四百萬用建艦六十八艘飛機九百餘架
page 3	平市敵軍多調至平漢線
page 3	王纘緒定明日飛漢謁蔣委長
page 3	豫省府主席程潛宣誓就職
page 3	蚌埠鐵橋修竣惟不能通車
page 3	粵劃西江一帶為漁墾實驗區
page 3	蓉各界開會歡迎鄧錫侯
page 3	滬偽組織強佔海關公署華籍職員二百人被逐出海關當局現向日方交涉
page 3	臨沂我軍痛挫頑敵
page 3	碑廓偽敵被我擊潰
page 3	晉西我軍收復保德
page 3	我軍襲擊新鄉之敵
page 3	敵彈藥給養接濟困難
page 3	數人在虹口乘汽車疾過日人區域沿途向日人開鎗日人被擊斃一名
page 3	法內閣小組會議討論捷克與西國問題德蘇軍隊均向捷邊調動形勢緊張英意談判當注意法疆界安全問題
page 4	今夕普籃賽南華對港大
page 4	體協進會昨選出新職員
page 4	華仁聖若瑟兩校舉行運動會
page 4	英美匯兌仍漲英金牌跌六扁士
page 4	港外匯市趨好
page 4	省毫券市仍淡
page 4	最後勝利杯女子單打今宵開始昨夕團體賽華仁孔聖會均獲勝
page 5	本會組織
page 5	改組辦法
page 5	授示一切
page 5	東南兩路敵艦敵機之窺擾南澳封鎖港汶檢查漁船
page 5	東路
page 5	南路
page 5	行商請改善壯丁訓練總隊部昨函市會解釋
page 5	汕商會電請准以商證繳債
page 5	對日經濟絕交會訂定調查仇貨綱要
page 5	憲兵司令部破獲廣九路走私組織為首巫兆文秀娟等三十餘人已捕獲李卓元談捕獲私梟決解總部依法嚴辦
page 5	私梟猖獗
page 5	破獲經過
page 5	李卓元談
page 5	分六級征收舶來皮革稅率
page 5	華南海員分會電慰軍事長官
page 5	整理南路金融昨召開會議
page 5	河南公和鄉所破獲劫案續訊
page 5	桂省府調整各縣財政
page 5	聯會各部紛辦結束動員委員會開始工作聯席會議改為動員會後處置辦法此會之權責與聯席會亦稍有差別
page 6	紗廠數目
page 6	資本比較
page 6	河南各鄉提議以本年清明為救亡節一致決定移胙購債
page 6	花地警界外十八畝之匪氛
page 6	壯丁隊大捕莊頭鄉私煙賭海國西施從水遁
page 6	根本解決米荒之計劃省府主席昨召農林地政兩局長商春耕墾荒請農產調整會舉辦春耕貸款
page 6	籌組粵桂國米調運
page 6	敵擾中山各島近況荷包島壯丁夜襲敵營敵機犯 石岐老婦受傷
page 6	汕揭電輪互撞大平輪沉沒
page 6	新會社訓工作派馬超凡視察
page 6	財廳下月起豁免黎境各縣捐稅全省稅捐增一倍
page 6	嶺南師管區辦理兵役近誌
page 6	民建兩廳派員調解寧路勞資糾紛
page 6	鶴山自衛團已成立
page 6	撞船溺斃艇婦
page 6	匪擄三十餘人
page 6	失火焚燬五屋
page 6	堂叔斬死幼姪
page 6	縣城舖焚一間
page 6	顛牛觸死孕婦
page 6	統率會擴大自衛策動範德星點驗新團隊澄邁縣統委已產生
page 6	全國華商紡織業現狀一日商之重大損失華商現存紗錠數
page 7	得獎人員
page 7	主席致詞
page 7	劉氏謝詞
page 7	救債會函各銀行查詢繳款數目社團長期捐月達三萬元報界公社購債免還本息
page 7	報告事項
page 7	華人泳會
page 7	慈善畫展
page 7	敵軍向安暹大購米石最近由港載去達十萬包
page 7	討論事項
page 7	華商會昨舉行頒獎禮劉景清獲勸募冠軍銀盾
page 8	余總司令宴港僑胞余氏未暇來港派代表致意望各界僑胞繼續捐輸救國
