page 1	天津事件之形勢
page 2	晉南Ｘ向張店運城潰退我乘勝追擊在激戰中中條山之役鄭培元團長殉職北戰場旬日來Ｘ傷亡萬餘人
page 2	中條山之光榮　蹟
page 2	旬日來Ｘ傷亡逾萬
page 2	我軍奇襲克Ｘ致果
page 2	鼓浪嶼被封鎖後糧食問題嚴重日本當局未肯退讓仍堅持其五項要求
page 2	陝動員委會擴大改組舉行成立大會
page 2	周鍾嶽李培基宣誓就職
page 2	滬西一帶英意駐軍戒嚴英軍搜查賭徒
page 2	美議員提議禁軍用品運日美國民眾同情我國抗戰多贊同禁運軍用品與日
page 2	漢Ｘ汽油被焚共計八千餘箱
page 2	岳陽漢奸被Ｘ槍決
page 2	僑委會在滇設辦事處派張宜先為專員
page 2	淪陷區同胞對法幣極信仰近仍秘密行駛偽鈔無人過問
page 2	英京各界關懷反英運動英各港口準備禁日輸入口但仍渴望津事件就地解決
page 2	滬法界發生離奇慘案英人查利氏夫人被殺榻側疆臥不知名男子
page 2	安南防軍總司令飛抵西貢
page 2	希特勒接見阿使
page 2	津Ｘ加緊封鎖英租界在鐵絲網上放生電流東京方面又企圖與英重開談判顏露爾抵津後津事件或有轉機
page 3	傳英租界當局禁麵粉外運絕非事實英工部局今年以來未下此禁令其實連日麵粉運出租界外甚多
page 3	蘇聯將淹沒古城建築水塘
page 3	美報提議與日絕交滬大美晚報促美與英法合作對日
page 3	瑞士與蘇聯報紙譴責日本之橫蠻行動並敦促英國政府採強硬對策
page 3	崇德之Ｘ進擾被創
page 3	Ｘ又圖擾漢法租界
page 3	鄂南我軍屢出襲Ｘ通城北港Ｘ中伏
page 3	我　圍剿花縣附近之Ｘ
page 3	南愛自由邦申明立場決與英國保持商務關係人不犯我我亦決不犯人
page 3	英外交委會昨開會討論應付津事件辦法海軍大將基耶斯主張強硬對日英法商定一致態度決不肯屈服
page 3	意海軍第一艦隊駛摩洛哥海面巡弋第三艦隊將巡弋地中海東部
page 3	英國皇后輪駛出冰山界外
page 3	閩境大雨福州市半成澤國
page 3	德軍十師團集中斯省邊境
page 3	趕滬旅客須具防疫證書
page 3	羅馬教皇代表斡旋但澤問題
page 3	英法租界內各商店工廠悉已停頓在日軍管理區內排英風潮甚盛英法外僑多不敢出外免受淩辱
page 3	英積極設法促成英蘇談判德正以全力促使蘇聯保持中立英國因此自有急起直追之必要
page 4	死者劉秋
page 4	未有還手
page 4	余無參加
page 4	泅水而遁
page 4	劫匪兩名入獄
page 4	法庭研究鴨　洲血案認定劉秋被人謀殺四人發假誓被重罰
page 5	防我反攻發生砲戰
page 5	江門方面亦有接觸
page 5	中山沿邊已無Ｘ蹤
page 5	我Ｘ兩方積極備戰
page 5	桂洲已成盜匪世界匪黨在木橋頭血戰兩匪幫入鄉洗劫誤會激戰木橋頭等地住戶慘被劫擄
page 5	虎門偽維持會截收路費
page 5	瓊島我軍民合作攻入頭苑市之收穫偽維持會橫征暴斂鄉民大憤合力進攻
page 5	蘆西線之戰情楊梅Ｘ軍犯南潭受創
page 5	省府嚴禁私運食糧出境境內絕對流通不得留難規定辦法八條頒發照遵
page 5	省各中學停止畢業會考
page 5	南洋瓊僑代表抵廣州灣商救濟瓊難民決定增闢難民村
page 5	緬甸救護隊赴前線服務
page 5	教廳令飭解散未經核准中學
page 5	Ｘ機擾嶺東續訊潮汕沿岸各地已寧靖閩汕貨運已恢復各地交通之維持
page 5	閩汕貨運恢復
page 5	發市民居留證
page 5	運送站之設立
page 5	維持汕菴交通
page 5	英美司今抵汕
page 5	昨晨江會我Ｘ又發生炮戰我砲兵轟擊大雲山Ｘ陣江門方面亦發生小接觸
page 6	軍民合作斬獲頗多
page 6	太平場Ｘ抽調補充
page 6	我炸石龍石灘空戰
page 6	兩龍附近已無Ｘ蹤
page 6	中大教授古直懸賞徵求軍歌首獎國幣一千元八一三以前截卷
page 6	省動員會舉行精神動員會議李漢魂提三事勗勉
page 6	第四戰區游擊指揮所昨已在惠陽某地成立各區游擊司令重新加委
page 6	容桂人民之難中難
page 6	獅子岩Ｘ倉庫倒塌爆炸山洪沖倒岩石壓破油箱起火
page 6	李務滋嚴令截緝運鎢私梟
page 6	中山催繳慰勞捐款張惠長等昨發出通函
page 6	徐聞擬定災民振恤辦法
page 6	金屬牲口嚴禁出口一區司令部派艦檢查
page 6	惠陽會議疏散人物議定疏散辦法三項
page 6	東北兩路戰訊我襲橫潭兩龍之激戰太平場Ｘ聯隊調廣州補充石灘空戰Ｘ不支向東逃去
page 7	英艦昨衝破封鎖線
page 7	渣甸輪復運貨赴津
page 7	海軍當局態度緘默
page 7	越貧苦華僑遣送回國辦法
page 7	五項辦法
page 7	鶴山僑商籌賑會議決繼續運米回鄉舉辦平糶並通過贈醫施藥辦法多項
page 7	港幣萬元
page 7	第三批米
page 7	青黃不接
page 7	胡木蘭函
page 7	保育會二屆理事會議即席選出常務理事十七人胡木蘭許畹君突去函辭職
