page 1	美國之必要措施
page 2	晉南激戰日軍死傷慘重我克仙翁山等兩據點長高大道在我控制中
page 2	日機連日襲渝濫炸文化　關渝三大校長函請美國速實施對日禁運僑華美教士梅福林等亦請美總統對日禁運
page 2	英財相報告頒行加稅條例現已考慮將來發行戰債方法施行戰時獨裁盡量增加稅收
page 2	邵大使離渝赴任乘機飛抵蘭垣昨飛哈密轉蘇
page 2	丁逆之弟爭風被擊斃命
page 2	日組裏層內閣決定最高政策米內政策仍避免與英美法摩擦對荷屬東印度決不取直接行動
page 2	皖北日兵軍中我地雷
page 2	李季偉發明代汽油所發熱力極強可作飛機燃料
page 2	美萊安少將主張派機援助聯軍赫爾宣佈修改中立法利便聯軍向美國購機
page 2	鄂北我軍所向披靡
page 2	米　日軍突圍不逞仍被困於西北山地良口西南沖嶺大腦一帶激戰
page 3	被困聯軍準備決堤
page 3	英皇慰勉被困聯軍
page 3	聯軍與德急爭港口
page 3	英遠征軍被困原因
page 3	日機昨晨圖襲蓉渝未逞
page 3	滬法租界增加捐稅
page 3	澳聯邦公使謁美當局詢美艦隊在此時期是否仍留於夏威夷
page 3	英議員質問魯杯葛英貨潮外次　畢拉氏作客謂政府對此已注意
page 3	英政府要求工人暫時取銷例假盡力為國出產
page 3	滬租界決施行節省陽光計劃
page 3	意國欲使巴爾幹成一緩衝地帶近來意報極力避免攻擊蘇聯蘇聯報紙對意亦取同樣態度
page 3	英當局注意外來難民問題擬請美協助收容
page 3	英倫不懼德軍來侵
page 3	星洲募捐愛國金獻英政府購機
page 3	英皇　第劍橋伯爵陣亡
page 3	電影明星羅拔蒙甘馬里服務戰地救傷暫停拍演生活
page 3	預測蘇聯政府放棄親德政策英委吉利浦斯為駐蘇大使蘇政府對此項委任未表同意
page 3	羅斯福將再提議增加擴軍費用陸軍部提出一國防新計劃主張再動鉅款以擴充空軍
page 3	哭而不去的傀儡二
page 3	聯軍克挪威克在軍事甚重要可與瑞典恢復交通又可作南攻根據地
page 3	加拿大空軍又有一隊抵英
page 3	英法海空軍已出動設法營救被困聯軍聯軍固守最後出路丹刻克港佛蘭特區兩軍爭奪山嶺甚烈
page 5	滘頭日軍突被進襲
page 5	新鶴我軍再毀日陣
page 5	袁部已抵中新邊境
page 5	中山偽軍內鬨近況
page 5	莞龍日軍尚無異動莞城偽軍被日軍監視南頭已成為私貨吐納區
page 5	台山警隊圍剿寨門匪幫起獲被擄婦女九人捕獲匪徒一名鎮海埠被匪黨行劫擄去少女二名
page 5	淪陷區民眾深恨日軍順德細滘鄉民蕉土抗戰協助團隊包圍日兵並殺卻日小隊長事後知日兵必報復乃自動焦土撤退
page 5	韶關設水陸兩關卡
page 5	澈底改善粵贛兩省米運趕速健全運輸專責機關主持
page 5	省行職員遇劫殞命被衛兵劫去二萬餘元
page 5	台山推行獻債票運動組獻債委會飭各鄉鎮推行以國府發行各種債票為限
page 5	日在華中訓練空軍降落我方請求對策
page 5	某戰區奉委長電奪獲日軍物品獎給民眾
page 5	針對日軍增兵粵南我加強高雷作戰力量符匪潛抵海口岡引狼入室當局大捕匪黨及不良份子北海冠頭嶺曾一度緊張
page 5	雷州半島情勢日緊
page 5	決消滅地方惡勢力
page 5	日軍再度趨犯大寺
page 5	江會我軍一度進襲滘頭及再入佛子　袁帶部隊抵中新邊境中山偽軍之內鬨近況
page 6	挺攻從化控制石坑
page 6	偽軍譁變與日搏擊
page 6	我游擊隊進襲新街
page 6	余總司令前線視察
page 6	新塘車陂日軍被我勇士襲擊
page 6	粵公私立學校經費決定增支一成
page 6	七七公祭陣亡將士殉難同胞
page 6	嶺東戰局又趨緊張日增兵潮澄機艦肆虐潮安我軍勇戰意溪失而復得澄海日軍進犯蓮陽受創回竄日又揚言將再進犯粵閩邊境
page 6	日犯意溪又遭鎩羽
page 6	蓮陽我軍痛擊日偽
page 6	日機艦迭窺擾嶺東
page 6	米　殘餘日兵遭我掃蕩我軍續向南進挺攻從化石坑日軍被我控制連日增援從化城偽軍譁變與日軍搏戰
page 7	鹽艇觸礁沉沒
page 7	復旦同學將追悼孫寒冰
page 7	陸軍司令報告時局
page 7	香港資源用於香港
page 7	紙幣發行權限延續
page 7	保障住客法例通過
page 7	傷友運動加緊結束知用中學徵求成績甚佳
page 7	林馬島海面慘劇貨艇誤觸水雷艇上七八人被炸斃
page 7	是年雨水充足可無水荒之虞
page 7	美商攝製之我國抗戰影片在港竟無放映機會
page 7	嚴防敵降傘隊
page 7	渣甸輪船公司昨開股東年會
page 7	教廳救濟失業失學員生九龍區下月開始登記
page 7	美停戰紀念日美領赴美僑墳場獻花圈
page 7	旅港瓊僑籌辦邱海紀念學校
page 7	開埠百週紀念港府決不作大規模慶祝
page 7	立法局昨會議賈乃錫報告本港防務佈置就緒望英籍青年加入義軍補充隊努力保衛本港亦即保衛祖國保障住客兩法案均順利通過
page 8	業主住客爭訟收回樓宇發生糾紛
page 8	通告米商從速登記
page 8	本期儲米力求增加
page 8	汎美機昨離港
page 8	魚欄多遭虧折鮮魚來源斷絕無業可營
page 8	旺角私寨中擒獲劫匪六名搜出槍械鐵線等物包租婦人亦被拘捕
page 8	買賣人口兩人被判處徒刑
page 8	赫克羅特教授報告日圖獨佔南海漁區積極摧毀中國漁業港漁船被毀七百艘
page 8	灣仔搜獲大批偽幣一人被警探拘究
page 8	滬英商實行節省陽光本港商場頗受影響標準時間或須更改
page 8	中國兒童多患牙疽
page 8	中環破獲秘密會社歹徒十人被捕
page 8	去年捕鼠廿餘萬
page 8	林西河堂新職員
page 8	二期儲糧開始存米可增至五十萬包儲存愈多民食保障愈大統制專員著米商速登記
page 10	學界籌賑陸運會昨開結束會議收入善款二千餘元競賽成績多列紀錄
page 10	澳培正籃球隊犯港秩序排今日首戰鐘聲
page 10	九龍高級學籃賽昨日揭開戰幕美爾頓拔萃旗開得勝
page 10	東方南征足球隊在菲三戰三捷詳情二
