page 1	美德邦交與扣輪問題
page 2	美德邦交愈惡化無論德政府有何表示美政策決不變更接管德意輪船問題日內可解決美再增國防物資禁止輸出款目
page 2	美有權自衛權益德反響美不重視
page 2	國防主席發聲明必增強軍需生產
page 2	哈里法斯決定使美艾登繼任外相馬格遜任陸相
page 2	羅外相易人格里士安奴繼任
page 2	一美運輸艦從菲運兵赴三藩市在途中遭遇狂風幸僅兩水兵罹難
page 2	全國慰勞總會發起書寫賀年信運動
page 2	美電台被擾事日正研究答覆抗議美方準備採取報復手段
page 2	過去八個月中英機炸敵成績炸擊歐洲軍事目標凡五千次德被炸佔五分四意佔五分一
page 2	美海軍部定製輔助艦卅一艘約值二萬萬六千餘萬金元
page 2	日將委用井為駐澳洲公使
page 2	法內閣連日舉行會議法殖民地部長向外宣稱各屬領內並無軸心活動
page 2	陪都嚴懲奸商楊全宇槍決罪為操縱糧食
page 2	冀主席通電　汪
page 2	日要員一番更動近衛仍須補強連日在官邸召幹部會議第二次補強方案將實現
page 2	太平洋風雲愈緊大隊日運輸艦駛向西沙群島日軍官多人飛到老街修理機場越南與英談判謀恢復通商關係
page 2	傳美紐約造船公司造艦圖則被人竊去該公司總經理否認此說
page 3	英倫海峽有砲戰北非英空軍活躍
page 3	英機月夜襲柏林德人枵腹過聖誕
page 3	意軍死守巴地亞英軍將猛攻東非
page 3	菲律賓及其執政者
page 3	防空洞英人聚餐利物浦德機肆虐
page 3	鄂南我軍猛襲陽新外圍鄂北日軍亦被我痛擊鍾祥日焚化軍屍二千
page 3	中央日報批評德軍入意必遭反抗近衛內閣改組為最後一牌招致右派入閣徒自促崩潰
page 3	意海軍失制海權希軍推進希馬拉
page 3	軸心攻勢再昂奮英倫海峽砲戰起德再謀渡海攻英意艦載運德軍開杜拉索英決先攻意後專力對德
page 5	經濟部發給華僑工品證書不限於香港一地
page 5	粵北日軍動態神岡日軍搜集青竹廣花公路電話修復
page 5	赤溪發現日航空母艦另附戰艦三艘我已嚴防
page 5	廣州日倉被我焚燬
page 5	日軍千餘開駐增城
page 5	日騎兵又竄擾塘村
page 5	余長官捐助翁源各校二千元為小學獎學金一千元為購置圖書費
page 5	鄧青陽巡視西江縣政
page 5	東江各縣黨務聯席會議發動民眾製寒衣
page 5	粵參議會籌組考察團深入民間博訪行政情形省內外分為七個考察區
page 5	廣州柴米價漲
page 5	粵省長途電話明年元旦起加價
page 5	中山大學新生定期開課
page 5	粵省厲行學校生產訓練
page 5	湘粵米鹽運輸當局急籌辦法
page 5	古兜山匪患復熾半由米荒影響半為煙賭造成
page 5	日機擾四江被我空軍擊退金利三洲落彈日機一架受傷我機連日出動日運輸受威脅
page 6	組合作設計委員會
page 6	召開全省合作會議
page 6	一百萬元設供銷處
page 6	謝哲聲談合作進行
page 6	黃麟書報告粵東民教推行順利稅收太多人民負擔過重
page 6	共話游擊區彭霖生說日人現在喘息中鄺孫謨說隨時可攻入廣州
page 6	瓊崖我軍英勇抗戰忠勇奮發前仆後繼大小出擊斬獲甚多
page 6	省行冬耕貸款已達二百餘萬
page 6	桂省紀念韋超
page 6	粵加緊推動合作事業集資一百萬元設物品供銷處派員分區視察各縣合作事業
page 7	會場一瞥
page 7	主席致詞
page 7	代督訓詞
page 7	會長致詞
page 7	有錢留贖舊寒衣冬節食品市場冷淡但價格仍較平時昂貴聖誕購者亦不多
page 7	市面新景
page 7	肉食漲價
page 7	布廠多已接納工人加薪要求體念工艱實應如此
page 7	本港柴價續漲每元僅購卅二斤
page 7	警察當局嚴防盜賊登記警員住址以便隨時差遣
page 7	跳舞比賽昨在麗池舉行
page 7	澳輪運到越米二千餘包
page 7	今冬天氣亢旱二級制水難免幸夏秋兩季雨水多現尚未至實施時期
page 7	尤列紀念學校游藝大會開幕
page 7	四屆國貨展覽會開幕代督蒞場剪綵力贊出品豐富羅旭和演說望政府扶助工業
page 8	建國儲蓄券港九設代售處
page 8	運輸器材跌價因內地買家減少
page 8	教育局調查各校體育設備力圖增進學生健康
page 8	繼陳倩如之後某影星又遇老千誤入天仙局損失幸不多不欲自揚其醜故未報案
page 8	中山商會改選楊少泉任主席
page 8	邊界日軍撤退昨日宣佈戒嚴
page 8	十日前請發之移民證已辦妥移民局通知申請人領取
page 8	英國醫學會港分會將開會
page 8	美藥運港轉渝
page 8	新運會售年咭各界踴躍購買
page 8	漫畫比賽入選作品展覽
page 8	手鎗墮地失火印看更人受傷
page 8	拍攝防空影片防空處擴大宣傳計劃
page 8	洋務工會救護隊員畢業
page 8	兒童劇場昨日二次公演參觀小朋友五百餘人
page 8	華仁書院頒獎嘉神甫報告校務
page 8	校務報告
page 8	校長致詞
page 8	堅道尹英聲醫生住宅昨發生萬餘元巨竊案好夢方酣宵小乘虛入屋傾箱倒篋珍飾予取予攜
page 10	首場
page 10	次場
page 10	戰後評
page 10	體協會週年陸運今日在加山舉行預賽廿五日決賽由高卓雄頒獎
page 10	友誼籃球戰績
page 10	足球義賽連台華軍兩路齊捷第一戰五比二第二戰五比一
