page 1	歐局現階段
page 2	湘北我軍迭獲戰果距岳陽三十里繼續與日展開激戰
page 2	南昌以西我軍續向東攻
page 2	浙東我軍衝入蕭垣
page 2	西班牙俟機參戰
page 2	克復街口後我軍包圍從化神岡以北地區均無日蹤
page 2	為日輪擊事件日向荷蘭抗議菲律濱人亦慄危懼恐日乘機趁火打劫
page 2	英將助阿人組新政府塞拉西為領袖
page 2	粵臨參會閉幕
page 2	英意軍在埃邊一度發生衝突土將發聲明書表明立場西軍佔據坦支爾國際區
page 2	僑慰團第一個抵老河口
page 2	美最大主力艦經已下水排水量三萬餘噸
page 2	豫北我軍破壞湯陰公路
page 2	日機轟炸重慶危及美人財產美向日方提出抗議
page 2	蘇聯續派大軍警戒波羅的海洛龐諾夫檢閱空軍根據地立德交界地點均增駐重兵
page 2	南京偽政府要求外國撤兵
page 2	天津白銀協定即將成立
page 2	宜昌外圍戰況激烈圍攻終日我我遠安襄河西岸之大會戰即可展開
page 3	土耳其的現勢
page 3	加械源源運往歐洲
page 3	復興經過
page 3	難民遷徙絡繹於途
page 3	法軍人械不及敵人
page 3	德統帥部甚為興奮
page 3	法軍火廠向南遷移
page 3	法軍退至巴黎後背
page 3	太平洋國交討論會美支會秘書非心特抨擊美國遠東政策美在中日戰爭中供給日物質所造成之結果處長遠東戰爭
page 3	美輿論界反對與日交易日本絕無信義隨時可以背約美若與日締約不免受其欺騙
page 3	法大使定期赴北戴河消夏
page 3	馬爾他島截留意輪
page 3	法醫募款建慈幼治療院
page 3	加拿大當局否認荷蘭女皇遷加
page 3	滬法租界否認驅逐意僑
page 3	銓部規定機關顧員薪額
page 3	英皇后將向法發表廣播演說
page 3	雷諾再向羅斯福作最懇切呼籲美正極力以一切資源供給聯軍作聯軍後盾
page 3	國防力量
page 3	經濟建設
page 3	外交政策
page 3	政治領袖
page 3	德軍經已開入巴黎聯軍決定繼續抵抗美國會授權總統售械與聯軍法意兩國軍隊經已發生衝突
page 5	睦洲龍泉再入我手
page 5	新鶴我軍仍甚活躍
page 5	袁帶召開游擊會議
page 5	粵傀儡爭權利又一幕彭陳兩派由合而裂之原因偽府成立後各偽縣長未有更動
page 5	石灘日軍調援增城
page 5	順德江會日軍調防均屬近衛師團
page 5	韶州關成立後稅收狀況數日間逾四萬元大部屬進口貨稅
page 5	四戰區組船舶登記委員會對濫封惠屬船隻之改善
page 5	粵省府奉命訓練社會工作人員
page 5	各地早禾登場戰區長官飭屬保護
page 5	六三禁煙日三埠舉行禁煙大運動彭霖生補行就職禮
page 5	粵南我軍英勇殲日三路撲攻欽西北大寺之激戰日軍再犯公容與我劇戰中欽懸日軍竟拆卸沿線民房
