page 1	英國如何應付嚴重之歐局
page 2	修河兩岸戰事好轉我精忠軍殲Ｘ千餘
page 2	東南沿海平靜
page 2	Ｘ運輸艦鳳陽丸被我空軍炸沉艦內滿裝軍火軍需艦上人員全數溺斃
page 2	Ｘ機襲南昌被我擊落一架民房被毀二百餘棟Ｘ機竟日轟炸高安
page 2	我駐美大使招待外賓
page 2	鄂中之Ｘ偷渡襄河被我奮勇擊退
page 2	我空軍大炸中條山Ｘ離石ＸＸ經我克復堰掌民眾起來殺Ｘ
page 2	冀西完縣一度克復冀南Ｘ甚猖獗
page 2	錢江南岸之Ｘ全部被我肅清據杭Ｘ舉行軍事會議杭州灣Ｘ艦調動頻繁
page 2	豫北偽軍許秉英部反正豫東偽軍張星辰部瓦解
page 2	日郵船貨倉全座被焚損失三百萬元日領事署亦被焚燬聞係反戰份子所為
page 2	國府職員舉行國民公約宣誓林主席領導行禮
page 2	蘇北楊邵之Ｘ犯昭關壩斃揚州副司令
page 2	Ｘ軍萬餘在虎門登陸圖全佔據順德中山控制四邑我機飛廣州炸毀Ｘ機十餘架
page 3	傳西國民軍將開進馬德里墨索里尼又背棄信義入西國意軍不肯撤退
page 3	墨索公尼將發表重要演詞內容未悉
page 3	智利向美借款穩定匯率
page 3	英蘇舉行商務談判關係國際政局甚大
page 3	愛爾蘭元首訪張伯倫
page 3	日眾院通過各種預算案
page 3	美國務卿赫爾痛斥德國暴行各國此時需要切實聯合美政府將積極努力和平
page 3	澳政府決定增加國防軍費英準備在澳建造飛機而由英方供給發動機
page 3	波蘭內閣改組延攬各派領袖參加俾得應付非常時局
page 3	匈國軍隊再攻斯洛伐克兩軍在大雨中整日激戰一說謂匈軍已開始撤退
page 3	蘇聯紅軍在西境演習
page 3	英國援華貨幣案眾院曾有爭辯但反對者結果失敗
page 3	阿德里演說抨擊英政府現行政策並謂苟欲工黨加入內閣在目前實無討論之餘地
page 3	樊城美教會被炸駐漢美領向日抗議美教會財產地圖交日方後美教會之被炸反層出不窮
page 3	希特勒頒佈收回米美爾命令將來美爾併入東普魯土
page 3	滬字林西報評論Ｘ無法維持佔領區治安杜德在Ｘ佔領區被綁可以證明
page 3	Ｘ增兵綏薩防範偽軍反正
page 3	中法教育協會籌款救護我國智識界邀請赫禮歐等為名譽主席顧維鈞李石曾二人為主席
page 3	中緬航線不日正式通航
page 3	美國保險公司增收戰時保費
page 3	英首相設宴款待英皇
page 3	戈林表示德決為意援助代價如何在所不計
page 3	二十個月來的我們
page 3	二十個月來的ＸＸ
page 3	桂林軍事會議三遵照領袖訓示實行長岳議決白主任報告廿月來我Ｘ戰況
page 3	立陶宛總司令聲言決不屈服對侵立者決以武力應付
page 3	日向德獻媚自願交還加羅連群島將來德國收回英法舊殖民地時德國再將加羅連群島交回日本
page 4	華工兵鬥毆案請求減刑不准
