page 1	三中全會閉會後的一星期
page 2	蔣撥私款十萬元救濟東北軍民何回陝後即將款發放
page 2	教育部長王世杰呈請辭職已照准遺缺決定由鄒魯繼任
page 2	日外陸海藏四省會議決定改變對華政策同意將政治問題留待將來討論目前置全力於經濟文化之提攜
page 2	孫科抵滬談劉案決依法處理劉在捕房對記者談話決否認與唐楊案有關
page 2	首都各界擴大造林運動
page 2	閩省黨部制定黨員植樹辦法
page 2	國民政府命令任岑學呂為粵省府委員粵省委劉紀文另有任用應免本職
page 2	我國籌備參加世教會議
page 2	馬子一改判處徒刑三年
page 2	西藏駐京代表謁蔣報告藏情
page 2	蔣委長偕馬超俊視察京市交通囑將京市並要幹事睡於本年度設法完成
page 2	遠東農村衛生會議將　爪哇舉行我國　代表
page 2	上海大戲院案意使館尚未答覆
page 2	廿四年度國營鐵路狀況
page 2	漢商界參觀團五日出發南下
page 2	一次東洋觀光會議有在港開會說
page 2	隴海路定期通車寶雞
page 2	甘省貧瘠不足給養張部將變更入甘計劃中央決在三月中召開重要會議決定整個強化國防具體方策
page 3	佛蘭亭演說法國財政已陷僵局須與中產階級合作
page 3	前財長發言政府現行經濟政策對外對內互相抵觸
page 3	勃魯姆答辯法國經　日益改善仍當維持人民陣線
page 3	世界紡織會議資方代表派定
page 3	川江實行炸灘
page 3	義軍首領鮑國在長春被捕
page 3	馮玉祥等組留俄同學會
page 3	各地二三月間每日物價指數
page 3	津市浪人連日滋擾海關
page 3	黃旭初因事展期南返李白謁蔣期展緩
page 3	秦德純談南行印象良好中央各部長官了解華北政情
page 3	衛生署組醫師甄別會
page 3	醫院管理攷察團三月開始攷察
page 3	四省長途電話定期明日開放
page 3	滬各界再撥萬元振綏災
page 3	粵建廳將礦稅交還中央
page 3	旅美華僑匯回機款六萬元
page 3	西總理加巴里羅宣言決不與叛徒言和倘彼在內政方面再遭受反對彼將辭去總理之職以謝國人
page 3	瓜代部隊到達津日軍調動甚忙日軍用機又在平青飛行
page 3	希特勒聲言尊重瑞士中立
page 3	奎松要求美國援助菲島前途美如蔑視菲島商業菲將投入英國懷抱
page 3	德大使里賓特羅甫訪英外相艾登說明殖民地對德重要艾登答對此不願考慮
page 3	西班牙沿海遊弋俄葡不願參加願將海軍監察計劃信託英法德意四國
page 3	意在潘泰拉里亞島建築強固砲台
page 3	美海軍少佐洩露秘密於日法院分別判處徒刑
page 3	美司法修正案已獲參院通過
page 3	法現政府渡過難關眾院以較多票數通過信任政府案佛蘭亭指現政府陷國家於危難勃魯姆表示始終維持人民陣線
page 4	新軍果然利害勇戰克奧斯德成績二比一
page 4	南南甲乙混合竟大勝南華華結果五比一
page 4	普通男子籃球賽青年會苦挫華僑中上半場華僑甲佔先下半場青年會後來居上潘堯君座鎮無後顧之憂積分三十對二十五
page 4	全港公開華人長途跑計百餘人參加各界尚紛紛贈獎品
page 4	德明校運會決賽簡鴻鈞隊獲甲組接力冠軍參觀者千餘人極一時之盛
page 4	英京銀價昨略漲
page 4	蘭芳杯白虹勝雪峰明晚中央對淩風交通對皇仁
page 4	乙組紅星隊員被控
page 4	港外匯市情穩定
page 4	八九金價仍報升
page 4	省法幣人心轉堅
page 4	中紙法幣價略升桂幣市情仍靜
page 4	滬外匯市情穩靜
page 4	英美匯兌仍趨縮
page 4	昨日足球成績表
page 4	廣州西紙市微降
page 4	各行股票之市情
page 4	　福隊擊敗奧斯德不再敗仍可望冠軍今日南華戰九華於加路連山
page 5	粵空防計劃余陳在京之商議訊空軍部駐粵辦事處將擴稱行營並抽調一大隊來粵指揮駐粵各地機隊
page 5	官商籌組大規模銀行近訊
page 5	省會警察局有仍轄於省府說
page 5	潮汕路行車期滿近有收歸國營訊該公司籌應付辦法
page 5	粵省土煙專賣不能撤銷之原因汪局長已向財部痛陳利害專賣辦法可予改善煙稅局某秘書對記者談話
page 5	永遠禁止照資額募捐款財廳分令遵照
page 5	周祖晃到粵純為醫痔而來闞宗驊之談話黃旭初之行程
page 5	姚伯龍晉京與民族渡慘案之關係死難家屬請封產撫卹
page 5	煙民登記截止後
page 5	李白就五路軍職期現在尚未能決定白崇禧下月二日始赴桂林候黃旭初返桂商確改編計劃桂省四稅將由中央直接收入五路軍軍費由中央撥給
page 6	河南小港昨軍警誤會衝突踢毽子發生誤會鬥毆微傷十餘人
page 6	廣九路華英聯議
page 6	出席國大代表覆選之籌備
page 6	廣州市商會議決按資勻攤營稅辦法稅研例會昨提前舉行
page 6	不入會商號商會請嚴厲制裁
page 6	三省禁煙會決定滇黔特貨聯緝辦法昨廿六日開始施行
page 6	廣梅鐵路建築訊李耀祥任總工程師
page 6	廣東郵政管理局近以粵警高漲
page 6	粵省籌建鋼鐵廠
page 6	張芝任經理處糖業部主任
page 6	全市軍訓生檢閱
page 6	西村陸軍醫院側有農人招揚
page 6	督查廣東印花稅委員
page 6	各區行政專員
page 6	全國公路網限期完成粵開全省公路會議劉維熾返粵後即舉行並與贛湘鄂會商聯絡
page 7	主席報告溢利數目
page 7	中國統一前途樂觀
page 7	中日談判終無結果
page 7	世界商務漸趨繁榮
page 7	相信蔣氏放棄獨裁
