page 1	中央當局宜注重增加農產
page 2	冀省府遷平說不確
page 2	池中寬奉國府命任粵保安處副處長
page 2	偽滿軍開始侵綏陶林附近頻有小接觸
page 2	外交家之口吻重光葵赴俄前談話日蘇應樹立永久和平基礎
page 2	中臘友好條約案昨經立院通過條約全文八條將由國府公佈
page 2	日商山岸刀傷案兇犯已在株州捕獲供稱確係見財行竊被覺行兇
page 2	世界著名網球家鐵爾登梵恩斯在滬表演長抽短擊高壓低回極盡神妙　事結果三場鐵爾登皆為梵恩斯擊敗
page 2	孔財長病愈下週即可銷假日報載倦勤說不確
page 2	閩去年入超千四百餘萬元以廈輸入日貨為多
page 2	鐵部商議改善粵路路政設法避免行車事變
page 2	居正離京避壽
page 2	日攷察團抵漢
page 2	冀海河公安局劃歸津市管轄
page 2	英工程師狄倫談粵省礦產豐富中央救濟合作開展
page 2	李振球等抵濟
page 2	日外務省發言人宣稱中日談判勿抱過度樂觀高須會見後雙方意見分歧之處仍未消除駐華北日軍闊別昨舉行會議交換華北問題今井否認在洛陽西安兩處設置特務機關日大使許世英近擬請假返國一行
page 3	津市私運減少
page 3	各路列車設備暖氣裝置
page 3	豫湘贛長途電話試話成績甚佳
page 3	現任法官訓練班昨舉行開學禮
page 3	日要求派員視察我軍備
page 3	魯省各地發現大幫歹徒
page 3	鮮俄人突來津市圖搗亂
page 3	日機一架昨由錦州飛津
page 3	財部擬在各省儲蓄糧食
page 3	日向蘇聯要求釋放那賀仍遭蘇聯拒絕
page 3	國際形勢嚴重中英外長艾登發表外交政策決努力增強國聯權威以求解決國際紏紛地中海為英帝國動脈希望意國予以承認重整國防軍備領導世界重返和平之途徑
page 3	日方所傳中德訂新協定內容無從窺見
page 3	德大使陶德曼昨拜訪張外長
page 3	增強國聯權威解決國際糾紛
page 3	洛約五國會議大有成功希望
page 3	願與德比兩國維持友好關係
page 3	英法關係密切自當攜手合作
page 3	英意關係緊張在地中海利益
page 3	中日兩國爭端希望迅速解決
page 3	重整國防軍備履得國際義務
page 3	意對艾登演說多數表示不滿
page 3	羅斯福重登台後首步工作將變更各部院長官商工海陸各部長均有隱退意
page 3	因基隆事件英日情緒日益緊張英已向日政府要求賠償損失
page 3	西國叛軍開始炮攻馬德勒城內外各街道滿佈臨時砲壘政府軍聲言決作最後之一戰
page 3	英議員差池爾演說維持世界和平德如恐俄侵略其土地最上策莫如加入國聯
page 3	匈攝政霍爾第將赴意國聘問
page 3	波外長明日赴英聘問
page 3	捷克否認俄在捷建空軍根據地
page 3	美國海員努力擴大工潮
page 3	倫敦海約第四章已得五　簽字
page 3	邵元沖石　遊覽桂林名勝
page 4	今日甲組足球賽雛鳳對蘭開夏精彩中華對香港會東方對西警吃力其餘一場西洋會非奧斯德敵手
page 4	黑鷹再來實力視前尤勁隊長昨到青年會挑戰今夕與青年交鋒星期一二兩晚再會其他強隊
page 4	南華陸運會明日開幕歡迎各界到場參觀
page 4	商級學界籃球賽港大輕取華大九龍英華勝拔萃今日有五場舉行
page 4	南華體育會恢復國語研究班
page 4	美籃球隊將東征將來征遠東取道過港
page 4	南南排球隊戰漢中
page 4	紅星籃球隊勝華仁
page 4	女子籃球止截報名
page 4	南華會友籃球賽英泰隊五戰五勝各隊補賽秩序表編妥
page 5	粵搜羅防空人材委張猛為參議
page 5	黃曾返抵省垣記
page 5	懲教場擬籌設小模農林試驗場
page 5	江防司令新舊交代後
page 5	張之英北上行程
page 5	馮焯勳會議冬防
page 5	禁煙督察處電促宋子良返粵
page 5	新訂縣制之詳述
page 5	孫科返省及赴桂消息李白迭電促駕
page 5	一五三師組織機砲大隊何經詒兼代主任楊競華兼副主任
page 5	陳濟棠行蹤近訊勸僑胞投資祖國
page 5	電請援助改善粵幣比率案
page 5	童軍合組觀摩團赴港參觀營火會
page 5	蔣委長起用在野軍人除委林時清黃延楨等行營要職外其餘曾任軍師副長者一律列冊候委行營將組參謀團奉委者任國防工作
page 6	筵捐回籌糾紛社會局將持平處理
page 6	米商請貸款儲糧
page 6	未設法院縣份設立司法處辦理
page 6	粵市辦理保甲決定取銷聯保辦法注重積極方面工作推舉保丁負責辦理
page 6	增城選舉訟案昨日審結
page 6	王仁康巡視粵路會議定期舉行
page 6	廣西省政府主席黃旭初
page 6	新自治制度將頒行縣參議會區公所撤銷各縣僅設鄉鎮公所及聯鄉辦事處新制實行後前各組自治機關撤銷
page 7	督轅話別
page 7	官紳送行
page 7	書面　話
page 7	碼頭閱兵
page 7	乘輪渡海
page 7	離港返粵
page 7	隨行人員
page 7	拜會港督
page 7	孫科昨午由澳乘輪來港今日拜會港督晚赴省將飛桂省一遊始返京
page 7	入桂遊覽
page 7	駐華法艦隊副司令衣氏昨日乘巡洋艦抵港將代表越政府舉行授勳禮美遠東艦隊司令拜會港督
page 7	黃慕松曾養甫反省瀕行談話希望省港永久合作全港中西官紳均到碼頭歡送
page 8	一死一傷
page 8	救護情形
page 8	肇事地點
page 8	善後辦法
page 8	兩人報鴉片自殺一死去一獲救
page 8	醉漢毆傷一老翁
page 8	宋子文日間來港
page 8	兩大員同聲贊美
page 8	陳濟棠已抵瑞士勗僑胞踴躍投資祖國
page 8	山石滾下傷三人
page 8	港童軍今日大操
page 8	財委會定期會議
page 8	香港仔昨火燒山草
page 8	四年來本港物價之比較海關出入口統計處佈告
