page 1	民主國家應有的自覺
page 2	德日將成立共同技術委會內分政經軍三個部門研究實施協定之辦法
page 2	美政界中人注視遠東時局但多數不願有所評論只聽候英蘇兩國表示
page 2	英美與論界表示堅決態度德意日三國同盟影響決加強美人決心助英
page 2	英空軍繼續炸擊德國軍事目標德機炸英倫損折多架
page 2	美議員維廉京氏提議貸款英國減少英國戰債負擔並修改中立法條款
page 2	美政府控告多家煤油公司謂其串同壟斷規定貨價有違背反托辣斯之法案
page 2	意報評論美將參戰
page 2	法糧食艦一艘駛入地中海
page 2	英考慮開放滇緬路限制貨物輸入日本邱吉爾將接見郭泰祺大使討論三國同盟後遠東局面
page 3	蘇皖邊境戰事激烈
page 3	在日被逮英僑七人定罪
page 3	滬法租界工潮將獲解決
page 3	溫縣要點被我克復
page 3	澳洲飛機互撞兩機安然降落
page 3	粵省實施強迫婦女入學
page 3	滬各美商行準備應付非常時機禁止各職員攜眷來東方貴重物品預先運回美國
page 3	美艦若干艘擬赴澳洲訪問
page 3	吳蘊初捐祝壽筵席費
page 3	巴縣民眾獻穀
page 3	全歐各國均受糧食威脅德國能放出儲糧可解救此種恐慌
page 3	模範軍人饒慶春遺言盡捐獻私蓄
page 3	愛因斯坦獲得美國籍
page 3	倫敦日僑離境不多僅及十分之一
page 3	明興會議兩週年邱吉爾演說請捷人振起奮鬥精神捷人獲救之時機將到
page 3	意有數種食品限制購買
page 3	法大使戈思默赴海防調查越南真相
page 3	法傷兵一批運抵河內
page 3	上海名足球家麥加拉氏被控謂其吞沒公款
page 3	日駐越南特使松宮將赴越南
page 3	津租界電話移交津市長法租界警察替日搜美無線電報局
page 3	澳洲飛機廠每日製機三架
page 3	甘地方爭印度言論自由印度總督致書甘地謂在戰時斷難　納
page 3	羅馬尼亞扣留英人五名英羅關係緊張
page 3	明興協定兩週年
page 3	哈佛大學教授主張積極援助中國立即取有效行動制日
page 3	吳鐵城與奎松討論中菲關係吳將往內地向華僑宣慰
page 3	四八四次政院會議
page 3	黔儲蓄團成立
page 3	楊虎電英援華會呼籲要求促請英政府開放滇緬路
page 3	日機轟炸昆明我軍十五萬集中越界聽候命令開入越南境
page 3	宜昌兩岸日軍出擾
page 3	長高路東日軍反撲我施行反包圍張茅大道我軍進襲尤窩
page 3	西內長將抵羅馬意西將舉行重要會議但西國並非立即參戰
page 5	克防城後續向東進
page 5	桂南各地頻起激戰
page 5	廣州灣之現狀炮竹廠爆炸市民吃一驚李漢魂電僑紳勿受利用
page 5	赤坎市民一場虛驚
page 5	油尾商民聯訴緝私騷擾省令縣府查復
page 5	豐順破獲運私疑案原來百餘萬元鈔票僑匯
page 5	大批傷兵運日
page 5	潮安在我控制中達濠日軍犯馬滘不逞汕頭傳我軍將大舉反攻
page 5	桂林郵資加價
page 5	飲料品稅範圍
page 5	粵西食鹽充裕儲官鹽五十萬擔
page 5	曲江刷新教育
page 5	桂組戰區合作工作團已有三十餘團員出發工作
page 5	省府委員鄭豐報告解決本省糧食問題要做到全省無荒地無閒人嚴格統制糧食免流入日手
page 5	電勉僑紳勿受利用
page 5	我加派勁旅開邊界
page 5	其
page 5	我
page 5	糧
page 5	粵南我軍克復防城後乘勝向大村挺進血戰再起突擊大寺控制欽縣西北各地越桂邊境日軍蠢動侵入上石
page 6	低飛偵察歷數分鐘
page 6	鄉民搬運木材磚石
page 6	海上封鎖更為嚴密
page 6	某軍事家觀察侵粵日軍仍採取守勢新開路我進攻大梅山日陣奏捷新鶴路續有砲戰我游擊隊活躍
page 6	江會戰事張弛無定
page 6	中山日艦進犯東圍
page 6	防範歹徒收買兒童軍委會之通令
page 6	桂募衣游藝會得款二萬餘元
page 6	桂青年團舉辦節儲競賽
page 6	日輪被我截擊
page 6	推進辦法
page 6	鼓勵民眾節儲推行小額節建儲券存儲手續力　簡單敏捷各地銀行合作金庫協辦
page 6	小額儲券
page 6	提高利率
page 6	注意事項
page 6	我機昨又飛深圳偵察日軍之防空佈置忙邊界封鎖更為嚴密鄉民糧食斷絕接濟
page 7	被刺兩刀尸已腐臭
page 7	失蹤前會與人打架
page 7	警探積極緝捕兇手
page 7	寄曼谷之空郵港郵局照常收發
page 7	美女號車今日復開羅湖
page 7	火柴藥料爆炸蠆船一艘被焚疑係氣壓過高所致損失數萬元無傷人
page 7	爆炸之聲響澈遐邇
page 7	船內貨物均易惹火
page 7	損失估計值數萬元
page 7	前晚一度發生火警
page 7	循環日報記者黃弢甫君逝世
page 7	僑民指導委會聘港商為顧問
page 7	貨艇兩度遇劫兩人跳海逃走被溺斃價值二千餘元貨物被掠一空林馬島海面亦有漁船被匪劫
page 7	顧德公社十六週年紀念新職員昨行就職典禮
page 7	逃避迅速幸無傷人
page 7	強盜械劫農戶掠去財物約值二百元
page 7	留日同學服務團歸國第一批十餘人昨日出發
page 7	乍畏街段保衛團員選出
page 7	失蹤印籍炮兵原來被殺棄屍山坑頸背被刺兩刀雙手為繩緊縛警探據報往查拾獲兇刀一柄
page 8	英籍婦孺在菲費用尚未決定由誰負擔
page 8	廣東省府設全粵僑匯網
page 8	圖劫馮儉生案疑犯　臬定讞
page 8	華商會昨會議
page 8	賑聯會昨會議
page 8	印警被刺重傷
page 8	史樂詩將赴印出席　濟會議
page 8	記者公會會議紀
page 8	北大同學聚餐
page 8	颶風不致襲港一號風球已下
page 8	案中要點
page 8	參與行劫
page 8	多人斃命
page 8	焚劫貨艇案首被告處死刑第三第六兩被告入獄十二年餘被告罪名不成立均獲省釋
page 8	保育會難童全部遷黔請港僑胞繼續捐保養費
page 8	穿窬盜竟拒捕被警鎗傷人贓並獲
page 8	華商總會各值理關懷港府移民辦法推舉郭泉訪華人代表詳為詢問李樹芬謂港當局已允從寬辦理
page 10	港菲埠際游泳賽本月廿三揭幕域會明晚遴選好手參加者今仍可報名
page 10	華人週年水運第二夕何惠瓊再創會紀錄一百咪自由式成績一分卅五秒今日下午三時舉行男女舳舨賽
page 10	學界籃球賽不日開始報名
page 10	友誼足球賽東方明日約戰海軍星島昨以四比一擊敗水兵
page 10	銀牌籃球戰績
page 10	籃球賽消息兩則
