page 1	七七二週紀念
page 2	抗戰二週年紀念蔣委長告全國軍民書一
page 2	抗戰第二週年蔣委長告友邦書
page 2	七七紀念滬租界特戒備
page 2	天津英租界僅一路口出入牛奶亦被制止輸入英日談判尚無確期
page 2	魯省我游擊隊反攻泰安淮陰亦有戰事發生
page 2	Ｘ機夜襲重慶
page 2	林主席電慰蔣委長指揮若定戰略之變化無窮領導有方建設之完成倍速
page 2	德方否認運械來華
page 2	美將宣佈國外銀價每安士值美金三毫
page 2	蔣夫人今晚對美廣播
page 2	日本東京舉行反英大會民政黨領袖永井演說
page 2	英蘇談判若決裂影響法蘇協定英內閣討論英蘇談判問題已領土完整史特朗留蘇聽候答覆
page 2	三水附近我軍活動蘆苞劇戰正開展我挺進部隊進迫新會江門晉南皋落附近Ｘ被我擊潰
page 3	美參議院通過總統金融特權案羅斯福力主廢禁運軍火條例
page 3	抗戰第二週年紀念日蔣委長告日民眾書一
page 3	傳日卒報被英人所搗亂一華籍職員受　傷
page 3	蒙蘇聯軍司令部發表邊境衝突經過二日至五日所發生空戰日機被擊落者四十五架
page 3	年青的蒙古工作者二
page 3	但澤若有事變英必為波援助英擬放出信用借款一百萬萬鎊用以助波羅士希等國擴充軍備
page 4	兩紅丸案公審一宗判決一押候
page 4	劫母疑案押候
page 4	輸入內地貨物躉存河內無法運輸最大原因為運輸工具過少我國政府已積極設法救濟
page 5	三路大軍同時出發
page 5	莞城Ｘ偽聞風戒備
page 5	三水Ｘ軍搜索遊擊在魯村之晉戰
page 5	南喬小學Ｘ受重創
page 5	捲土重來又被擊退
page 5	容奇Ｘ軍調動忙碌又揚言犯大　我已增強防衛容奇墟頭祇有Ｘ兵六十餘人
page 5	魯村被焚災情慘重
page 5	三面夾攻莞城之Ｘ
page 5	在大火中我克莞城
page 5	Ｘ增兵謀犯蘆苞續訊我軍反攻楊梅
page 5	陳慎榮部追Ｘ太平
page 5	十二集團軍猛烈反攻衝入蕭崗之鉅大收穫我克復龍和兩墟鐘落潭Ｘ陷重圍
page 5	江村激戰收復龍墟
page 5	佔領和墟圍鐘落潭
page 5	衝入蕭崗俘虜　十
page 5	Ｘ艦過徐
page 5	白沙惡戰
page 5	南鵬Ｘ情
page 5	援瓊Ｘ軍運抵海口Ｘ犯白沙縣受創Ｘ艦出沒徐聞情勢復緊
page 5	定安再陷
page 5	鶯哥嘴又到兩艘Ｘ艦三灶島Ｘ軍急設防空工事
page 5	Ｘ艦兩艘泊鶯哥嘴
page 5	三灶Ｘ軍忙於防空
page 5	鳳閣鄉內已無Ｘ蹤
page 5	桂洲鄉請黃禮派隊維持治安每日入夜　隊握守細滘阻止匪黨夜入桂洲行劫
page 5	廣州灣捕獲漢奸昨已在桂槍決林某仍在審訊中
page 5	沿海郵寄貨物結匯變通辦法免領內銷　許證寄滇省各　除外
page 5	廣州灣兒童分院成立預定收容五百人
page 5	東線我軍三路反攻昨六日收復莞城之詳情我便衣隊在城內響應夾攻我軍在大火中深夜入莞城陳慎榮擔任反攻太平Ｘ軍誓必軀Ｘ出太平然後夜食
page 6	佛山潦漲街道淹浸
page 6	高要各界隆重紀念七七舉行義賣並設獻金台
page 6	訪問第二游擊區三
page 6	五抗戰八月對Ｘ一般體驗
page 6	官兵待遇
page 6	七官兵訓練救濟難民
page 6	廣三路上Ｘ軍撞車
page 6	二埠澳門輪渡聯組航業公會新會　船被Ｘ砲擊
page 6	順德游擊隊襲　羊額Ｘ軍
page 6	壯丁檢閱團檢閱廉化壯丁
page 6	聖約翰救傷隊平湖建醫院訊昨踏勘展址
page 6	朱暉日返韶談巡視粵東各縣觀感各處公路交通破壞甚多擬集中人才發院農工業
page 6	大良偽軍被游擊隊殺斃
page 6	台山縣府嚴禁低折國幣市券
page 6	七七一週紀念台山各界素食獻金
page 7	港府擬收回瑪利兵房發展市區計劃在研究中
page 7	澳門馬票暢銷定本月九日開彩
page 7	司徒永覺再解釋領取防疫證書問題注射後仍須六天始能搭船派代表領證辦法在考慮中
page 7	萬善緣大會募捐隊昨出發
page 7	鐵克爾今返國
page 7	譚雅士今赴英李子芳代理華代表職務
page 7	港九小販義賣今日分三區舉行
page 7	周少英女士再提議移租購債昨函請鶴山商會極力推行
page 7	本港各僑團今日隆重紀念雙七肉行停屠酒樓茶室一律賣素食娛樂場一部停業一部籌款賑災
page 8	刀光　處一死一傷
page 8	運蘇展品徵集處昨招待出品及贊助人主席報告該展覽會意義出品分贈送與收還兩種
page 8	主席致詞
page 8	孫氏來電
page 8	利源東街截劫案疑犯詳臬定讞更練尹成述助捕劉文珠經過謂劉被執後仍欲拔手槍拒捕
page 8	徵品簡章
page 8	警探嚴密查緝兇手
page 8	華商織造廠徵募背心成績
page 8	顏惠慶施肇基昨日聯袂赴滬
page 8	華商會新值理李星衢得票最多
page 8	聚樂茶室血案初審陳雪卿自認曾充神女今年二月始與傷者同居力證李湛係爭戀而行兇
page 8	疑兇李湛
page 8	利器所傷
page 8	突有一物
page 8	略有戒心
page 8	廠聯會會議紀
page 8	擅收貨賬處徒刑
page 8	來屆足球聯賽參加隊伍甚眾甲乙丙三組共四十一隊中華重新組織消息不確
page 8	公開水球賽域多利勝鐘聲成績六比二
page 8	南華體育會選出西文部主任
page 8	深水　又發生血案五兇徒截刺兩　人一人當場殞命一人重傷入院兇手逃去警察當局在嚴緝中
