page 1	南北戰場之兩大捷
page 2	綏西五家河畔我日展開激戰日軍先後衝渡四次均遭我軍迎頭痛擊
page 2	五原大殲滅戰經過
page 2	鄂東日軍千餘進犯麻城一帶被我襲擊紛紛南潰一股被困大別山南
page 2	豫省戰局我處優勢
page 2	靈山日軍分股回竄我正追蹤截殺邕欽路兩側之我軍連日追擊大塘那陳
page 2	東亞新秩序與民族主義
page 2	日又將發行鉅額公債六十萬萬日元
page 2	皖南戰事猛烈展開至德附近惡戰
page 2	美學生代表廣播演講對於貴陽印象
page 2	美海軍演習範圍或將展至菲島參加演習飛機三百五十架大小各種戰艦共達百餘艘
page 2	南僑慰勞團現分兩路返國月底可到昆集合滇各界籌備歡迎
page 2	中華醫學會下月舉行大會
page 2	日在經濟上根本倚賴美國日商人關心日美商務局面恐美用人造絲代替天然絲
page 2	侵入芬北蘇軍現已開始撤退
page 2	英政府向日切實表示只承認重慶國民政府即在將來亦無意改變此種態度
page 3	美決將五百新式機轉讓英法聯軍紐約前驅論壇報著論力主賣新式機於聯軍
page 3	政治部第三廳長郭沫若廣播演講題為汪精衛進了墳墓
page 3	薩爾　會附近德法發生空戰一法機被擊落
page 3	英財相將提出下屆財政預算料下年預算支出總額可達二十五萬萬鎊金
page 3	奎松演講菲律濱獨立後勢難抵禦外力侵略但仍贊成菲依時宣佈獨立得全權以支配其民族生命
page 3	下屆滬工部局美董事初選人舉出亞爾曼及加尼
page 3	加拿大將舉行總選舉
page 3	日軍務局長武籐發表強硬言詞引起政界大譁
page 3	國府令公布特種股份有限公司條例
page 3	桂定月杪舉行鑄奸運動
page 3	英內閣更動謠言雖熾但仍難得證實之報告傳在野黨將被邀入閣至今仍尚無此種趨勢
page 3	李霞卿將作南美飛行為祖國難民募捐
page 3	法總理將廣播宣佈外交政策勸人民與政府合作全力推進戰爭政策
page 3	丹國會將有重要決定
page 3	新西蘭總理沙威治病沉重
page 3	瑞典人士關心海外海軍活動
page 3	瑞典總理說明瑞典外交政策準備與北歐各國研究合作但並不接受何項切實約束
page 3	東南歐諸國請求蘇聯保證現正在商議進行中
page 5	鄒洪抵鶴授示機宜
page 5	收買歹徒揚言西犯
page 5	日軍據古井之目的
page 5	中山我展開游擊戰
page 5	鶴山沿境屢有接觸
page 5	日軍又圖打通粵漢路線前陸相板垣重提前議兼任侵犯該路總司令我軍節節佈置準備迎擊
page 5	容桂已成盜匪世界土匪聯組堂號專向奸偽日商搶劫
page 5	日軍增援神岡行抵螺岡中伏被毀軍車兩輛
page 5	禺北團隊出擊鴉湖
page 5	省府會議紀要擴大春耕計劃鶴山新豐易長
page 5	廣州日軍之反戰潮醫院軍營均發現傳單日酋作虛偽宣傳欲藉此維繫軍心
page 5	我機偵察中山沿海日軍
page 5	肇慶商會主蒿協助搶救義重三區專員傳令　獎
page 5	粵各界舉行推行新縣制宣傳大會
page 5	南海孔邊鄉人捕獲漢奸
page 5	日艦艇昨突到赤灣載藏匿該處偽軍他去日機一架昨飛深圳偵察香港寶安商會慰勞將士
page 5	開到赤灣海面拋泊
page 5	日機一架偵察深圳
page 5	擴大募款慰勞運動
page 5	日軍故意宣傳犯三埠在江門收買歹徒會商進犯其目的仍在打通江佛線鶴山邊境連日頻有接觸中山各地我展開游擊戰八區仍安
page 6	官窯日軍突圍北竄
page 6	我軍開到分頭抗拒
page 6	我軍乘勝直搗馮涌
page 6	我別動隊進襲官窯
page 6	粵省各界擴大黃花節紀念同時舉行生產建設運動
page 6	本年一二兩月日機襲粵統計比前時略減少
page 6	新縣制研究終結擬定方案提請實施全省各縣分五等縣長待遇提高縣政編制已定實行三位一體制中山台山等八縣厘定為一等縣
page 6	全省各縣分為五等
page 6	新縣縣政組織編制
page 6	各級縣長待遇問題
page 6	東江各縣限制畜養雞牲口亦維持糧食之一法
page 6	建廳長朱暉日將赴重慶受訓
page 6	禪炭戰事再度緊張官窯日軍再犯炭步郭塘日軍出五和夾攻炭步范湖赤坭我大軍開到抗戰
page 7	我駐澳領提出交涉
page 7	已蒙諒解可望改善
page 7	委座嘉獎中大戰工隊員李海衛抗戰立功
page 7	留港參政員李仙根等飛渝
page 7	蔡公紀念基金由中國京兩銀行代收
page 7	寶安香港航線恢復幸縣長將來港招待各界報告我軍克復南頭經過
page 7	保兒會籌經費下月開慈善餐舞會
page 7	英海軍徵用之四拖輪已抵港
page 7	醬果行互助社擁護減租運動減租委員會成立有期
page 7	長洲頻有水雷爆炸復活節假期內爆炸七具
page 7	救世軍年會紀
page 7	陳運裳表演唐代舞蹈為婦女慰勞會募款
page 7	四四兒童集會九龍青年會領導舉行
page 7	澳洲施行貿易統制我國貨物被限制入口我領事向當地政府提出交涉已獲諒解限制條例可望改善
page 8	報告事項
page 8	討論事項
page 8	議決各案
page 8	碗飯運動
page 8	後備警被控欺詐取財捏造罪名入屋拘入帶赴酒店勒索千金
page 8	向導遊娘勒索款項三少年昨日提訊
page 8	七人藏械圖劫案判決第七被告無罪先獲釋三四五被告入獄六月
page 8	英慰勞會募款已達四十三萬
page 8	衛生局昨例會議員譚雅士辭職
page 8	摩士榮獲法學博士學位
page 8	懷械案再提審
page 8	賑聯會昨開大會救濟逃澳難民學生撥米八十包救濟流浮山難民商賑會今再討論一碗飯運動
page 10	特別銀牌決賽週末東南大戰東方下月九日征菲提前戰九龍及米軍
page 10	學界運動會定期舉行排球賽展期報名
page 10	友誼籃球賽精武約戰中青
page 10	南華消息兩則南華體育會是屆會員
page 10	建公杯分組舉行
page 10	華人游泳會定期旅行鬼仔山
