page 1	天津事件與美國
page 2	沿江地帶我已預埋地雷Ｘ軍觸地雷而死者極眾
page 2	Ｘ軍犯汕日的斷我交通加強華南海岸之封鎖線
page 2	英美僑商重視Ｘ犯汕市熱望英美軍艦速駛護僑
page 2	浦東英商堆棧一再發生火警損失十餘萬疑有人縱火
page 2	攻平湖城杭州Ｘ恐慌滬西有砲聲
page 2	美作非常準備儲存大量軍火有一萬個工廠作軍火製造陸軍部已擬定製軍火程序
page 2	對國府明令緝汪僑民一致擁護
page 2	鄂中我軍襲潛江Ｘ激　一日斃Ｘ數十
page 2	豫北晉南我軍克復內黃張店汴城西北Ｘ遇伏被殲晉中Ｘ圖犯武鄉沁縣
page 2	楊樹浦發現反日傳單
page 2	英著名航業家恩治加布逝世
page 2	魯我軍克萊陽冀南我追擊任縣殘Ｘ
page 2	Ｘ海陸空大舉犯汕我Ｘ展開激烈巷戰Ｘ五百餘在陽江東南南鵬島登陸
page 3	張伯倫氏報告津局
page 3	英報著論態度激昂
page 3	日方否認歧視英人
page 3	美上議院討論一貨幣案
page 3	英法蘇談判前途有新希望三方意見已甚接近根本困難即可解決
page 3	華北日人煽動排英
page 3	日本財政益形不穩如無辦法　對華戰事即不能再支持六個月
page 3	津英租界糧食燃料缺乏當局通令義勇軍準備動員英兵武鬥保護運蔬菜入界
page 3	英法軍事大員雲集星洲將舉行重要軍事會議商討英法在遠東防禦設施之聯絡美荷雖代表參加仍須密切聯絡
page 3	法將建造新鳳凰號潛艇
page 3	埃及外長聘土
page 3	德駐粵總領調任駐華代辦
page 3	美對日抗議書將公佈美在華產業被炸者百五十餘起
page 3	日法將成立商務協定
page 3	有田拒絕英方所提抗議謂同意津日軍當局行動
page 3	中國抗戰中婦女盡功不少
page 3	就天津局勢英外相發表聲明英在天津目的為保持租界中之態度美若肯出任調解日亦未致貿然拒絕
page 4	聚賭疑犯獲釋
page 4	車輛失事統計去週死一人傷五十人
page 4	梁錫茂昨逝世
page 4	騷擾英京酒家各疑犯押候再審
page 4	英魚雷艇擱淺
page 4	衛生局時症報告
page 4	美大畢業生抵桂
page 4	霍亂症蔓延極速患者已達一百零四人痳瘋醫院撥出房舍以便收容防疫注射證書由護照部發給
page 5	Ｘ擾三江中伏受創
page 5	三江沿岸加強封鎖
page 5	瓊島之Ｘ變更戰略以攻為守我改用智取Ｘ謀不得逞
page 5	江門設偽警察
page 5	中山沿海Ｘ情一瞥
page 5	三埠輪渡來往情形
page 5	番禺游擊隊焚燬偽軍棚廠肅清禺南奸徒
page 5	香翰屏就指揮所主任後積極調整各區游擊隊　員分赴各區結集點　嚴懲空額虛報瞞吞伙食
page 5	有關地方公益外匯准通融辦理並免匯費
page 5	第四戰區總部通令軍警厲行新生活
page 5	精神方面
page 5	職守方面
page 5	紀律方面
page 5	全省知識婦女實施戰時訓練並擴訓全省女壯丁
page 5	縣市設參議會請政院頒組織章程
page 5	謝瀛洲抵韶談粵桂兩省計政
page 5	Ｘ侵襲潮汕之前一日Ｘ艦紛集海面Ｘ機分批窺擾往來潮安松口電船被掃射搭客死傷者計共有數十人
page 5	Ｘ艦分泊於媽嶼口
page 5	潮安防空區之改組
page 5	粵高等法院舉辦律師登記
page 5	公路處長局人陳鑑松已接事
page 5	教廳籌辦小學教師暑訓
page 5	粵省設立戰時防疫署
page 5	Ｘ艦進擾三江遭伏受創三江沿岸之封鎖嚴密三埠輪渡之往來情形
page 6	茂和共和我軍增防
page 6	三路犯我均遭敗潰
page 6	夜襲鴨湖截Ｘ軍車
page 6	韓江河水又漲北堤圍董決定搶險辦法征集鄉民組搶險隊何春帆昨巡視堤防
page 6	新會整理戰時黨政工作積極推行戰時教育
page 6	潮安旅業募款勞軍
page 6	黃連我團隊截擊Ｘ艇
page 6	惠來神泉走私案各界紛請嚴辦
page 6	潮安各界昨舉行談話會
page 6	中山機器工會選員派赴前線服務
page 6	陽江縣府整理地方財政
page 6	蕉嶺縣長奉令赴韶受訓
page 6	蕉嶺稅局緝獲匿報捲煙
page 6	軍法總監部組織軍法執行總隊嚴厲整飭軍紀風紀四戰區轉飭所屬知照
page 6	執法條例
page 6	東　Ｘ分犯共和福和茂和被我十二集團所部擊潰昨犯花縣西南亦愛創
page 7	金融僑匯均無影響
page 7	各輪船暫停止泊汕
page 7	華商總會改選昨日開始投票
page 7	保育會各組主任選出增聘宋慶齡等為顧問何艾齡仍任保育院長
page 7	婦女防空協會設防毒深造班
page 7	印人被控違犯登記法例
page 7	天津英領事通告婦孺暫不宜赴津貨物則仍可照常寄付
page 7	深灣海面五賊截劫華艇榜人搭客十餘名均被綑縛財物劫掠一空值三千餘元
page 7	女郎路遇搶匪
page 7	利源東街劫案疑犯昨再提堂
page 7	苦力圍毆華差
page 7	宋子良抵曼谷縱談我國經濟近況
page 7	昨日Ｘ犯汕頭我金融僑匯未受影響金融機開早已遷移他處各外商輪船決暫停赴汕
page 8	肺癆症
page 8	印警受賄疑案押候廿六日再審
page 8	王瑞竹昨抵港
page 8	海盜圖劫商船警方接到密報
page 8	婦節會昨會議各　職　工作報告
page 8	兩難民工業社近況
page 8	英國律例
page 8	臬庭提審城隍街血案醫謂傷者陳培之手已殘廢陳謂各被告為十八支黨人
page 8	組募捐會擴大募捐
page 8	毆擊陳培
page 8	全非事實
page 8	余抱不平
page 8	余牛作供
page 8	拳腳交加
page 8	一九三九年建設公債將可發行支銷辦法今日提交立法局討論義勇隊法例修正案亦可望通過
page 10	鐘聲游泳場昨日舉行龍舟競賽港督蒞場參觀情形熱鬧
page 10	端陽節泳場雜寫
page 10	菲業餘足球會積極提高足球技術特向英聘名教練協助進行
page 10	太古會幹事部昨議決要案多項
page 10	小型球
page 10	男乙組籃球決賽培英隊獲亞軍昨以卅七比三十壓倒勵行聯會今會議討論國貨杯
