page 2	滑稽的共產談
page 3	傳孔庚率一師一旅入施南已在利川開戰
page 3	聞王獻臣由漳州至嶼仔尾欲攻臧致平
page 3	吳佩孚電商蕭耀南派胡念先旅會同沈鴻英援粵惟蕭欲胡留湘
page 3	國會提出質問政府是否已承認金法郎案王克敏長財政是否即為解決金法郎案地步請於三日內答覆
page 3	某外人廿六日於府宴時建議華兵總額百五十師裁一百師每年可省一億五千萬導淮及國道修理能容工人數十萬以兩年所省餉項即可舉辦而淮河水利與國道稅收何啻倍蓰
page 3	黃郛到教部長任後部員未開工要求發三月薪餉黃初允發一月茲擬再發半月為開工條件
page 3	豫三十七團體電府院催撤張鳳台任李濟臣豫長
page 3	步軍統嶺擬裁撤薛憲藩改任衛戍副司令
page 3	吳佩孚主留閻錫山督魯或增派田應詔長晉
page 3	財部裁員九百零五人以議
page 3	員佔多數王克敏囑秘書閉門辦稿部費減至九萬
page 3	廿六日顧維鈞商安格聯在關稅內擬廿萬匯英充各使領費
page 3	被封兩報社函顧維鈞勸勿為王克敏犧牲
page 3	當局將組和平委員會敷衍何東主張
page 3	吳景濂組統一黨黨綱略仿憲政黨並以各團領袖為理事股長主任視黨派大小為任職標準吳系與反吳派各推出十代表定廿七日與中立派十代表協商議長問題
page 3	內部通令明年元旦起實行廢娼並頒辦法四條
page 3	有人建議裁參謀部併歸陸部
page 3	地檢廳已得薪廿六日已開工
page 3	蕭耀南定廿八日晨集僚屬祝曹錕壽
page 3	武漢報界公會因鄂高檢廳長王樹棠推殘輿論電法部請撤王
page 3	東江最近之戰況
page 3	再誌許崇智之離粵
page 3	某軍官所述之北江戰訊
page 3	日郵船日人復職
page 3	炸藥案
