page 1	荷比呼籲和平果然失敗
page 2	湘贛戰局仍成對峙狀態祥符觀方面發生砲戰湘北我軍圍攻烏江橋
page 2	犯黃塘日軍退回三水
page 2	德報勸柏林人多食黑麵包謂黑麵包可治盲病有利夜間燈火管制
page 2	羅定許瓊林率子入伍
page 2	紀念魯西北殉國烈士
page 2	立商輪被擊沉
page 2	日機濫炸惠陽
page 2	六全會舉行五次大會通過黨政經教各要案
page 2	練失學失業青年案意對歐戰仍採觀望態度
page 2	晉西我軍續克大寧蒲縣日軍狼狽向土門黑龍關逃竄我軍沿途伏擊日軍損失慘重
page 2	日軍在佔領區禁止外人打獵近來上海內地鳥獸蹤跡漸多
page 2	芬蘭願與英國發展通商關係係由芬蘭統治階級反蘇政策自然結果
page 2	日軍再進犯龍門防城近郊展開激戰北海近郊日軍為我軍所厄桂軍五師奉令向北海馳援
page 3	在英任務完滿孫科離英赴法英對遠東政策並不變更蘇聯必能繼續援助中國
page 3	英法經濟談判已有重要決定準備建立英法關稅同盟設立英法共同貨幣制度
page 3	美在菲律濱擴展國防計劃海軍轟炸機十四架增防又有潛艇六艘即將開到
page 3	慕尼克炸彈案尚無頭緒調查所得結果仍然不著實際
page 3	安南法當局停止限制中國貨過境但德國貨不能再運入安南
page 3	德蘇一致行動破壞巴爾幹中立集團納粹黨實為蘇聯勢力所迫不得不與蘇聯取同一步驟
page 3	希特勒與諸將意見紛歧且有一部份將領謂德外長為德奸
page 3	英國兩戰命部競相割價
page 3	德拒荷比和平呼籲但又諉過英法英自由黨領袖辛克萊演說直斥希特勒立意破壞和平
page 3	英帝航機事件英謂日方道歉但日方則否認
page 3	法政府軍報西線寂寞
page 3	德機飛入法境在北部加以偵察
page 3	日與澳洲政府成立商務協定
page 3	須磨在滬繼續發表談話中日戰事不欲第三國調停日蘇談判只希望締結商約
page 3	新華日報論頌揚中蘇商務發展外傳中蘇間發生困難此等謠傳係絕無根據
page 3	英法在美定機由美推入加境以完成交貨手續
page 3	英考慮與德交換俘虜計劃
page 3	英法兩國進行海軍合作此項合作計劃現已順利進行保護聯軍商業航運必有成效
page 5	進犯企沙戰事劇烈
page 5	日在龍門分頭登陸
page 5	圖犯北海被我擊退
page 5	粵南各縣下令待戰
page 5	未犯前日艦艇動態
page 5	東線我軍挺進日方增兵圖保侵地我軍前鋒迫近增城
page 5	順德碧良公路日軍強捕壯丁誘令加入偽軍服役
page 5	廣州南郊便衣隊槍殺日軍官兵日軍到鄉搜索捕去鄉民甚多
page 5	港僑代表團昨向張余獻旗
page 5	軍管區派員之餘中縣國民兵團
page 5	一區各縣舉行鄉鎮長講習會
page 5	港賑會捐款救濟中山難民
page 5	粉碎謠言進攻新會組宣傳會
page 5	粵華僑通訊處日內成立先在惠陽設所派警保護出入
page 5	番禺新任縣長行將赴任視事
page 5	江會偽軍改編續訊挺進隊全部解體自警團改防守隊
page 5	日圖調集兵力南犯西路我軍策劃反攻日軍散發恐嚇傳單日機前日狂炸棠下
page 5	不久當有劇戰發生
page 5	已在新順河面發現
page 5	余等已將擂台擺開
page 5	舉行整理保甲工作
page 5	飛抵棠下狂施轟炸
page 5	日大舉進犯欽廉防各地我軍分頭堵截痛擊當局認日軍自投羅網我前途樂觀我軍政長官均親赴前線指揮軍事
page 7	粵徵募衛生人員昨日在港考試
page 7	追悼馬相伯先生大會定廿六日在孔聖堂舉行
page 7	第二批義勇軍開赴粉嶺露營
page 7	吳光新遺體昨日大殮蔣委員長致電吳氏家屬弔唁
page 7	我工業合作運動發達西北區已有合作社千二百間會員日益增加滿佈全國各省
page 7	兒童工藝院院董昨日會議
page 7	中華國民免受資金限制惟須依法證明確屬中國人民當局提出問題多項限期填報
page 7	米商運米入口須呈報糧食統制專員昨日宣佈實行安暹米船源源來港絕未停頓
page 8	謀殺
page 8	誤殺
page 8	買兇
page 8	搶劫
page 8	潛回
page 8	紅丸
page 8	今日賽馬之蠡測第三場最惹人注意冠軍將獲獎金千元
page 8	防瘧處之年報去年瘧疾死七百餘人捕獲毒蚊六千七百餘隻邊境駐軍患毒蚊症最多
page 8	防範瘧疾
page 8	工作區域
page 8	發現蚊蟲
page 8	從事調查
page 8	昨日學籃戰績
page 8	今夕公開籃球賽祇得兩場舉行
page 8	高級法庭開審刑案擦鞋童直認誤殺同侶殺媳疑案被告極力否認有罪隆源匯兌莊劫案下星期公審
