page 1	新運推行中之廣州市民
page 2	日海陸外三省會議決以斷然手斷解決
page 2	決定苛酷條件多項訓令川樾向我提出
page 2	日松村書記官返國呈遞蓉案調查報告
page 2	日海陸外三相會議討論應付蓉案對策蓉案未解決前停止中日國交談判華北日本在鄉軍人要求嚴重處置
page 2	魯省當局取締妖冶服裝
page 2	駐豐台日軍沿平漢路演習
page 2	中政會決議發行整理粵金融公債案債額一萬二千萬元十月一日發行利率年息四厘每年還本付利兩次
page 2	提案原文
page 2	發行原則
page 2	俄大使飽格莫洛夫否認訂日俄友誼約
page 2	日商集資二千萬攫奪我國礦產
page 2	王克敏抵青島分訪沈韓後即赴平
page 2	國府命令派鄒魯等籌備胡氏國葬
page 2	中山萱生案兇昨又提移兩名
page 2	鄒魯啟程返國月底可到港
page 2	在華日艦調動忙
page 2	蓉案正在調查中日艦隊突然移動向我威脅駐滬各國艦隊當局緊急會議決協同派艦防範日海軍行動日政府已決定向我要求條件將由川樾提出
page 3	比賀比城發生劇戰
page 3	伊倫城之落叛軍手
page 3	立法院第七十次例會審議縣自治法案修正通過並否決權限爭議評定委會組織法案
page 3	蔣委長壽辰各方踴躍認捐獻機慶祝截至最近各省市認捐總額已達三百五十八萬四千斤
page 3	平學術界昨追悼章太炎
page 3	林鄭兩工程師赴渝勘測川康路線
page 3	今井議日軍演習并無其他用意係普通應行課程
page 3	閩南靖三區板寮全鎮被匪洗劫壯丁死者十三人被擄去者百餘人
page 3	綏蒙會全體大會閉幕
page 3	津北方航業公司又　日人掌握六日　股東會通過後即簽字
page 3	政府實施所得稅中冇停征公務員所得捐
page 3	太平洋颶風過滬轉向黃海推進滬市已無危險
page 3	又傳達賴喇嘛已在青海轉世
page 3	中宣會招待苗民代表並邀文藝界參加
page 3	剿匪期內懲匪辦法展延施行期間
page 3	桂局和平使者居程等飛返廣州攜有李白覆蔣函桂代表劉維章亦同來
page 3	劉湘發起定期公祭諾那
page 3	唐海軍抵滬謁孔財長商陳
page 3	閩省整理內省土地舉辦土地清丈
page 3	閩省農村合作委會擴大合作業務劃古田等為合作縣分並分別派員前往開辦
page 3	川省剿匪情報
page 3	新任政院政務處長何廉抵京履事明日即開始辦公
page 3	在津日總領館設農事研究所昨日已開工建築
page 3	冀境各河水勢本年均慶安瀾
page 3	新任英大使啟程來華履新十三日可抵滬
page 3	美國欲援英例保留老艦噸額
page 3	輕量級拳術冠軍幹桑那里敗績
page 3	西班牙空前劇戰叛軍數日浴血卒能佔領伊倫比賀比之役雙方死傷甚慘伊倫陷落後城中發生大火
page 4	足球健將又弱一個後衛李金昨逝世慈母由南洋趕返幸獲最後一面
page 4	南華田徑訓練班本月六號正式開始訓練
page 4	友誼排球賽華雄出戰逍遙團
page 4	精武會明日海浴地點青草灣
page 4	印度摔角家夏班星發奮為雄願以五百元為一角勝敗之資因不憤兩人在報上四出挑戰
page 4	小足球友誼賽團結隊約戰志誠六日下午在何文田球場
page 4	英京銀價昨轉縮
page 4	英美匯兌昨報漲
page 4	港外匯市情呆滯
page 4	埠際滾球賽港代表隊昨赴滬埃利談此行頗有勝利把握
page 5	南海縣長委曾蹇接任調查黃埔舊校失業生粵收買黃金之保管
page 5	毫券比率確定後決難變更日間將召商人領袖解釋財廳某秘書之談話
page 5	廣東軍分校新組織之內容
page 5	組設西江兩艦隊詳情王壽瓊兼任第一艦隊司令指揮中央南下各艦張之英兼任第二艦隊司令指揮江防各炮艦分在西江南路組煤站供給燃料張之英出發後江防事務由李慶文暫代
page 5	廣州營業稅局最近之擴大組織分設東南西北征收處
page 5	省營四大糖廠改組後之工作市頭新揭陽三廠均停工順德製糖場趕緊製煉以備　　應市
page 5	桂局和平仍難爭於實現桂又要求劃南路為十九路軍駐地桂尚欲擴大勢力去和平之途尚遠中央決求真統一如和平確已無望南路軍事有計劃昨日之軍運情形居正等昨已離邕返粵
page 6	粵漢路設警備部鄒洪任警備司令直轄於廣州行營
page 6	曾部赴浙之準備
page 6	粵路直通車昨日二次開行規定客貨價辦法
page 6	廣東憲兵編四營另設特務連通訊排各營營長業已內定
page 6	粵軍行軍費准由中央撥發
page 6	河南增平民義學
page 6	請取銷捐稅近誌
page 6	尼姑請還菴產一篇激切呈文博得不准兩字
page 6	廣九路局長否認加開夜車
page 6	廣東新運會促進大綱
page 6	組織大綱
page 6	去年廿九日汕頭市府准東區綏靖分署軍務處函
page 6	江　司令張之英
page 6	中區各縣警衛隊
page 6	省政府投考書記
page 6	中常會胡故主席漢民靈柩
page 6	汕頭布業商人實行拒絕私貨之進行嚴厲制裁私梟組防私委員會
page 7	發生地點
page 7	微傷三人
page 7	警察出動
page 7	颶風又向本港吹來天文台昨晚懸一號風燈
page 7	桂軍誤擊法商船
page 7	辦理善後
page 7	堅尼地道桃色慘殺案定十日開審張九娘屆時須到庭作供死者家人聘定律師觀審
page 7	安樂園生雪繼續應市
page 7	華文報檢查問題羅旭和在研究中
page 7	德輔道中中南銀行二樓上蓋塌下傷三人影星林雪蝶到樓訪友亦受傷該樓建築已久實有改建必要
page 8	南下任務
page 8	視察經過
page 8	分會概況
page 8	總會內容
page 8	失業問題
page 8	向煙販行使偽幣
page 8	又破獲紅丸機關
page 8	香港旅行會週年大會紀主席報告一年來之工作羅旭和當選為該會值理
page 8	主席致詞
page 8	華人捐款
page 8	兩男女服毒自殺一死去一生還
page 8	蛋女慘死之研究
page 8	楚同楚有楚謙三艦昨抵港在港稍留即開赴北海附近遊弋陳紹寬乘寧海艦南下說未證實
page 8	三艦進口
page 8	拜訪港督
page 8	各艦行蹤
page 8	封鎖桂省
page 8	三艦實力
page 8	第一年工作
page 8	　　之回響
page 8	海外之要求
page 8	各方面合作
page 8	宣傳之費用
page 8	本年之預算
page 8	去年之情形
page 8	經夫人允任指導官
page 8	老婦失足墜地重傷
page 8	陳濟棠捐助救傷隊
page 8	香港之遊客
page 8	本會之成立
page 8	該會年報
page 8	大借款案港府下週可批復輔政司富勵士之談話
page 8	設指導所
page 8	補選值理
