page 1	英德間之經濟戰
page 2	滬美僑聯合會鼓勵國人競選藉此阻止日軍政治勢力伸入租界
page 2	粉碎汪精衛偽組織一
page 2	桂南我軍猛襲心墟竄犯上思日軍被我截成數段
page 2	美議員非士提議停止購買黃金繼續收買等於經濟自殺
page 2	滬施舍暗殺案男子一名被擊斃
page 2	日機在陝肆虐日反侵劇團長惶愧身死
page 2	蘇省籌鑄奸像
page 2	維爾遜發明新無線電機能察潛艇蹤蹟破壞潛艇魚雷
page 2	教育部設史地教委會
page 2	新運軍委兩會派員推進各地傷兵之友運動傷兵慰問組抵耒陽籌立傷兵之友社
page 2	汪精衛之子汪文英昨結婚
page 2	津華人一名觸電網致斃命
page 2	宋家姊妹視察中國工業社
page 2	南京中報被炸
page 2	浙西雙林我與日激戰晉東南戰事漸趨激烈嶺東我軍乘勝直薄潮安城
page 3	英艦截獲德鐵礬
page 3	墨西哥將答覆我領事不承認偽政府英美法不承認偽府態度一致日使館代言人發表胡言一片
page 3	薛岳將軍痛斥汪兆銘
page 3	各方討汪電文
page 3	芬蘭將要求世運展期下旬將討論此問題
page 3	岑斯時評論菲律濱獨立問題美非決心與菲律濱訣別菲願受美統治美願考慮
page 3	民族掃墓節中樞致祭橋陵程蔣代表謁祭
page 3	英大使格萊琪訪日外次談天津懸案
page 3	西藏建設進步將成現代城市向英購發電機經運抵步不久即有電話電燈使用
page 3	德通訊社報告西線戰況
page 3	渣打總理逝世
page 3	溫丹保宣言調查德白皮書防外國　宣傳手段加害美人
page 3	美國現勢漸入戰爭漩渦上議院議員賀爾特之觀察伊痛惡外國拉攏美國宣傳
page 3	勞軍美術展會在渝開幕各地作家均有出品賣畫所得用作勞軍
page 3	傳美艦攻擊德國潛艇
page 3	內部擬定懲治貪污辦法
page 3	日代言人談歐戰後日本感受不便交戰國限制貿易因血困難
page 3	南斯拉夫水災
page 3	愛爾蘭大賽馬結果
page 3	英必要時實行在太平洋檢查堵截貨物經太平洋運德澳洲準備與英海軍合作
page 4	十年後的今天陳娟娟結婚典禮這是民國卅九年了請看小明星的婚禮
page 5	岐關路上頻聞爆炸
page 5	前日深灣發生戰事
page 5	袁香林部衝抵鶴山
page 5	江會各線最近戰情
page 5	台赤沿海情勢略緊
page 5	日商壟斷淪陷區航業以中山至廣州之航線為初步
page 5	積極節省米糧消耗全省禁釀辦法違者沒收照章嚴懲外省酒類仍准運銷
page 5	寶安國民兵團抵西鄉竄擾固戍偽軍已遁去南頭沿海各地之平安報
page 5	調整省府與綏署職權剿匪自衛築工事保安等歸綏署清查戶口組訓撫輯救濟等歸省府
page 5	廣州盜賊橫行白晝強搶傷斃事主
page 5	粵北疫癘流行病症共有五種翁源死亡多人
page 5	禪炭線特寫白坭墟之三度慘劫
page 5	准兼理軍法之縣長逕行逮捕軍犯限三日內呈請授權審判
page 5	省府嚴禁包庇中籤壯丁並查禁濫發證文
page 5	粵擬設游擊總部香余會商整理游擊事宜
page 5	我一五兩游擊區當局商定目前應戰計劃岐關路日軍車中伏損失甚重中山深灣發生戰事八區尚安江會各線戰事沉寂新鶴路略有接觸
page 6	一帶高地佈置工事
page 6	未達南侵預定目的
page 6	日夜來往載運軍品
page 6	蔣委長電令各部隊提高士氣加強戰力上級所發慰獎電文廢轉發及宣示官兵達成賞格任務者應即發獎金
page 6	淪陷區民眾聯合保護耕牛
page 6	粵北大會戰後最近之廣東省政概要特別注重戰地善後振災事宜其他各方面亦有極良好成績續
page 6	建設方面
page 6	兵役方面
page 6	計政方面
page 6	保安方面
page 6	振濟方面
page 6	地政方面
page 6	金融方面
page 6	廣東省銀行吸收僑匯投巨資植桐樹十萬株在暹羅爪哇增設行
page 6	粵北難童分別施以教養
page 6	桂林市政府本月中可成立
page 6	日勾結販毒商人大量經營毒品省府昨飭屬防範
page 6	台開民眾舉行傷兵之友運動
page 6	市郊我抗戰軍民之活動日在河南趕築防禦工事安藤因侵略不利受記過處分田中調大本營古莊任參謀長
page 7	外勤記者聯誼會成立選出楊紀等五人為幹事
page 7	主席報告組會動機
page 7	來賓演說集中力量
page 7	北大同學會籌設元培紀念圖書館請港政府及殷商捐助房屋聘顧孟餘羅旭和等為顧問
page 7	黃克強夫人昨日乘機返滇
page 7	挪輪擱淺求救
page 7	紅磡僑工勞軍籌得三百餘元
page 7	吳鐵城代募英戰時慰勞金我朝野人士紛紛捐助
page 7	工務局調查各區陳舊樓宇發覺有危險狀態即飭改建陳舊屋宇以中西兩區為最多
page 7	狂風覆艇十三人幸遇救
page 7	加拿大小朋友關懷我難童贈玩具餅餌三千箱
page 7	商會定期會議
page 7	戰稅法案修正俟立法局通過即實施法律委員會主張增加仲裁人員並根據四月一日評定價值開徵
page 8	招待新聞界
page 8	何寶芳致詞
page 8	蔣夫人意旨
page 8	簡略之報告
page 8	精神之慰藉
page 8	推廣於海外
page 8	義影籌振款
page 8	港府華人職工聯愛會將成立
page 8	減租運委會今日成立先呈港府請贊助減租
page 8	本港今日賽馬二時開砲共賽九場
page 8	蔣夢麟談西南聯大近狀有學生三千餘人教職員五百餘人
page 8	日艇截劫貨船掠去貨物二千餘元
page 8	酒店中圖竊案少年旅客被拘
page 8	四川輪鉅竊案金條值萬餘元
page 8	港府華員會舉辦象棋比賽
page 8	艇主藏械被控
page 8	本港之清明節掃墓人極擠擁
page 8	藍塘道謀殺案昨提堂
page 8	印人冒警勒索兩罪俱發入獄六月
page 8	英籍少年行竊處徒刑兩月
page 8	買賣人口被罰
page 8	本港四婦女團體將組粵北湘北慰勞團徵求傷兵之友委員會招待新聞界希望本港各界男女僑胞熱烈參加
page 10	今日甲組足球四場東方再逢蘇軍雛鳳迎擊九龍光華對抗若瑟米軍大戰水兵
page 10	麗華杯決賽軍聯陣容排定
page 10	體協會籃球部今日遴選球員準備迎戰菲隊
page 10	菲女子籃球隊十四日興師犯港
page 10	今日華大盃賽程
page 10	傑志會歡宴會長
