page 2	廣東善後問題
page 3	吳佩孚索援將費五十萬
page 3	粵外交團以　國駐英美日公使均　離缺將提警告政府　　施肇基　美使任吳佩孚廿　日發葛急電至京伊催發沈　英督粵令吳駐京代表　秉鑑又持電往國務院坐催
page 3	　　來訊鄧錫侯軍已在建　敗　劉　　反攻勢
page 3	蔡成勳報告贛州會議陳炯明沈鴻英皆運代表參與蔡　方守仁向雙方疏解並籌商聯防辦法
page 3	張紹曾決定如孫文不北伐則不用武力如孫北伐則亦以武力對待
page 3	京　許崇智尹驥部在汕頭備戰
page 3	曹錕　　文返粵統一難望擬令齊　元聯浙皖蕭耀南聯川湘先謀擴張再收閩桂縮少　文勢力
page 3	吳佩孚派二江艦赴宜昌助
page 3	攻川
page 3	交通部擬設川漢路局速築川漢路關賡麟有任督辦訊
page 3	王懷慶主出兵　萬大舉征蒙
page 3	汪榮寶定月中赴日使任
page 3	岑春　電張紹曾取　　汝驪通緝
page 3	粵艦代表到京商北歸索價過昂李鼎新未有表示
page 3	教育部擬設青島大學
page 3	內務部擬設中央市政局
page 3	吳佩孚電京攻川勝利束撥餉五十萬
page 3	國務院通領取銷兼差兼薪或夫馬費
page 3	交涉員查辦膠濟坍橋案
page 3	丁槐廿八日赴洛陽
page 3	道勝銀行謀聯各銀團共管中東路
page 3	黃郛邀顏惠慶施肇基王寵惠顧維鈞籌商取銷廿一條款皆主暫緩回日提出因提必被拒須先準備被拒後進行方針免一拒即無法應付
page 3	張紹曾擬全赦安福結段祺瑞歡　拒曹錕吳佩孚
page 3	外訊劉成勳轉勝取攻勢
page 3	　　亦　隊守衛元帥府　意
page 3	孫中山收束討賊軍之計　
page 3	澳門填海闢地工程已興工
page 3	新官接任　誌
page 3	江門籌餉局不日撤銷
page 3	陳永惠復任
page 3	　幣廠停　之
page 3	擬令各稅捐提前繳交
page 3	警員辭職暗潮之消弭法
page 3	澳門工潮結束之餘波
page 3	孫催溫樹德返省
page 3	李煜堂之裁兵借債談
page 3	工團聚會紀聞
