page 1	維里斯返美後之歐局
page 2	南京偽府舉行成立
page 2	日本宣言為汪捧場
page 2	河北災情慘重僅翼南一帶災民達三百萬財產損失約共計十萬萬元
page 2	各方通電對汪聲討
page 2	滬甯充滿反汪空氣
page 2	晉南戰況沉寂我軍進襲解縣汾陽日軍竄擾浮山不逞昔陽日分路東竄激戰中
page 2	邕欽路東側我克陸屋舊洲官窯三江日軍向我進犯犯大沙墟日軍遭我重創
page 2	國民參政會五屆會議定明在渝開幕討論對日政治經濟反攻
page 2	王寵惠陳立夫歡宴陳嘉庚
page 2	國大婦女競選會在渝成立
page 2	滬寧路列車出軌
page 2	鋤奸連鎖流行閩省
page 2	海鹽我軍圍殲日軍
page 2	黃逆大偉被囚廈門
page 2	井陘城煤礦發生煤炸死傷者百餘人
page 2	清華鎮日軍車中我地雷日兵傷亡百餘
page 2	日軍兩次強渡五加河均被我軍擊退日損傷慘重繼續增援
page 2	外部向各國致送照會鄭重重申我堅決立場絕不承認任何國內非法組織
page 3	蘇提締結商約英未必肯接納因恐蘇利用英貨供給德國
page 3	蘇聯國會通過要案
page 3	中國戰時交通
page 3	德發表白皮書陳述羅斯福之態度美大使布列特對德表示憤慨
page 3	膠東日軍出擾被擊
page 3	英潛艇活動阻鐵運入德國
page 3	格萊琪演說大受各方　　日人在華行動被各國所痛罵　
page 3	綏西民眾協助軍隊作戰
page 3	中蘇貿易較戰前為增進香港與海參威兩地為中蘇通商之通路
page 3	聯軍封鎖德國計劃水陸兩路並進並使德不能利用中立國掩護其對外貿易之進行
page 3	法裏層內閣昨日開會聽取聯軍最近報告
page 3	意不願與蘇締結軸心關係認蘇無軍事價值懷疑蘇政治目的
page 3	土敘將成立善鄰條約
page 3	易路士又擊敗派澤氏
page 3	司徒雷登抵滇視察教育現狀
page 3	何廉抵滇調查物價
page 3	傳筱庵準備任偽中亞行長
page 3	滬各界紀念革命先烈
page 3	蘇聯國會定期今日休會
page 3	日外務省否認曾向澳門要求
page 3	德國明令不准匿藏金屬違者處死刑
page 3	國府明令褒揚何燕淶
page 3	鄂境日軍中伏
page 3	蘇對西歐戰事繼續保守中立蘇外長莫洛托夫發表演說謂蘇對外關係無惡化理由
page 5	昨日江會砲聲甚密
page 5	大沙日軍狼狽撤退
page 5	中山日軍退守據點
page 5	寶安全境秩序恢復縣府勸人民毋信謠言大鏟河面時有日艦艇往來但屬過境性質尚無異動
page 5	偽軍心懷祖國在廣西寧明城附近表示相機反正抗日
page 5	順德我便衣隊在容桂公路設伏殲日軍預藏炸彈傷斃日兵多名
page 5	棉紗運粵減稅
page 5	韶軍警嚴防日貨入境省府奉令嚴懲包庇縱容者
page 5	出征軍人債務償還辦法家貧無力者緩償
page 5	如再發現日貨
page 5	替日人製子彈
page 5	省幹訓團攷選學員增加攷選區攷委昨已出發學員定期集中
page 5	推行新縣制實施選舉制度鄉鎮保長產生均用選舉方式
page 5	嶺東各縣米價續跌
page 5	邕寧日軍築出海鐵路張長官談桂南戰局邕武邕賓各路均有接戰日軍竄擾扶南遭遇重創
page 5	日在桂南興築鐵路
page 5	張長官談殲日經過
page 5	日犯扶南遭我痛擊
page 5	昨晨新開路劇戰傳我衝入會城西河口巷戰極烈大沙粉洲日軍撤退中山日軍加緊戒嚴
page 6	原令
page 6	辦法
page 6	增城戰事仍烈日軍增援千餘圖進犯我軍續衝入廣增車站福和日軍圖拊我側背日機窺羅浮山散傳單
page 6	增城近郊戰事激烈
page 6	福和日軍進犯譚村
page 6	南海小塘日隊部風雨塌屋傷人
page 6	桂省難農移墾救濟辦法柳　鳳山河設墾區自行營墾予以便利
page 6	十二集團軍優卹各役抗戰傷亡將士擬定辦法公佈施行
page 7	本港防空當局公佈燈火管制辦法下月十一晚分四節舉行新界方面整夜蔽滅燈火
page 7	演習時間共分四節
page 7	三分鐘內熄滅燈光
page 7	火車燈光亦須遮蓋
page 7	澳門輪船運到大批魚菜廣州亦有菜蔬到港
page 7	星洲限制貨品入口證下月恢復發給以後每年分兩期頒發
page 7	夏威夷一夜中美文協會昨放影
page 7	萬國美專美展下月三日開幕
page 7	錢秀端殉職曾在三水前線服務獨力救難童卅八名
page 7	新界方面整夜熄燈
page 7	去年港府收支統計稅收竟增加四百餘萬政費支銷僅超出預算十餘萬元歐亞戰事對本港財政無甚影響
page 8	春節勞軍運動
page 8	三大歌詠團
page 8	粵六邑僑商聯合組同鄉會
page 8	火車橋下拾獲受傷女屍
page 8	蔣委長電謝本港米商勞軍
page 8	兒童節紀念當前的急務
page 8	紀念之意義
page 8	將來的主人
page 8	中國文協會主辦音樂比賽
page 8	僑港新會商會設法溝通運米途徑潮屬米荒依然嚴重電港請速設法辦運
page 8	保育會募捐訊
page 8	一個生力軍
page 8	後備消防隊員舉行技術競賽港督羅富國將到場檢閱
page 8	學界籌賑難童明日開始贈旗
page 8	汽車輾傷路人
page 8	旺角小販分會今午舉行成立禮
page 8	先施公司縮短營業時間明日起每晚七時收市
page 8	開本港新紀錄保險銷貨場出現
page 8	圖劫疑犯提堂
page 8	覆艇溺斃四童
page 8	中　業合作　港會規劃設合作社四百所資本六萬元可容納難民六千官紳極力贊助刻正在推進中
page 10	南華會中堅隊員決組新閣
page 10	昨日足球戰事僅得一場舉行
page 10	南華體育會主辦全港學校運動籌賑會上四月一日開始報名十五日止截希望各學校踴躍參加共襄善學
page 10	體協會召開會議
page 10	大生杯今頒獎
page 10	雨誤佳期東南戰改今日地點時間一如舊貫江善敬不克來助陣
