page 2	好政府
page 3	市廳須訂劃一俸給法
page 3	域多利埠關於華僑護照來電
page 3	古巴華僑失　恐慌
page 3	羊城西訊
page 3	正金銀行巨竊案之誌
page 3	吳佩孚今日往天津約周自齊董高恩洪同往勸黎元洪聞黎擬今日入京昨通電陳說裁兵等事至萬餘字
page 3	陳光遠辭贛督舉蔡成勳代
page 3	奉天省城兵變搶後逃潰
page 3	黎元洪六日通電主張廢督並歷數督軍之罪昨日曹錕吳佩孚復電望早復位願裁兵廢督為各省倡
page 3	國會昨開會決定十二日遷回北京
page 3	外人方面盛傳黎元洪今日或明日必來京
page 3	九日審閩省學生案閩同鄉會及廣肇公所等十九團體函請審判廳撤銷原案
page 3	留滬民黨議員彭介石杭辛齊等登報否認王家襄吳景濂在津集會
page 3	近聞直系一部分密議黎元洪如堅辭擬擁趙爾巽為臨時首領先與奉系攜手
page 3	又一說保定軍官擬擁曹錕為臨時總統已派劉夢庚赴京運動
page 3	近傳熱河方面戰事甚劇王懷慶已派十三師及公府衛隊赴援
page 3	聞後豐台兩軍小有接觸奉軍退湯河
page 3	京訊伍廷芳與外交團往來函件主推孫文為正式總統但外人尚無表示
page 3	聞張作霖託外人向保定求和曹錕吳佩孚所提條件一直軍至榆關不再進二奉軍須退回瀋陽劃錦州綏中易州為中立地並交出扣留車輛不得干預京奉路事
page 3	黎元洪所發六日電係饒漢祥手筆要求自巡閱使至鎮守使等一律辭職候於都門始允入京明知南北未統一以前條件難行藉圖擺脫各方閱後多失望
page 3	貴州電訊盧燾在貴陽被袁祖銘軟禁
page 3	七日曹錕吳佩孚復派馬毓寶代表敦請黎元洪入京並攜復職條件中央威信由曹吳負現恢復二下屆選舉由黎依法頒行三軍人均服從命令四請黎至少擔任五月并於期內成立國會五黎就職後吳佩孚晉京組織裁兵委員會實行廢督裁兵
page 3	蔡成勳有不願入贛訊
page 3	昨京師名流會議討論時局後因意見不一故議無結果
page 3	日本高橋內閣總辭職已遞辭呈
page 3	高恩洪李鼎新董康昨謁黎元洪黎言東海政令不出國門吾亦相等何必多此一舉廢督裁兵為救亡要圖若無切實保證予決不出並謂政局　等當可維持不必予法迨後顏惠慶及吳佩孚派代表謁黎如薩鎮冰王承斌亦到勸駕前言又云倒徐原太子孟浪態頗消極
page 3	昨閣議時董康報告見黎情形並謂顏惠慶未允回京閣員相與款息
page 3	外部以使團承認周自齊為北行政首領特向道謝
page 3	馮玉祥復黎元洪電廢督請自豫始
page 3	孫中山赴西江消息
page 3	林永謨赴京消息
page 3	李安邦所部已抵石井
page 3	裁兵聲中之粵省招兵
page 3	紙幣低跌之近狀
page 3	工團因澳案謁孫中山再紀
page 3	監督善堂法將提市行政會
page 6	蕭耀南將對湘戒備
page 6	張　去被控拐案開審
page 6	史督定期返國
page 6	浙江輪遇風
page 6	本港食水之缺乏
page 6	香港漢文排字工社成立紀盛
page 6	　被控　淫
page 6	聞濼煤礦報告
page 6	傳染症報告
page 6	銀價
page 6	破獲劫案
page 6	被控醉酒
page 6	煙未納稅被罰
page 6	被控偷船　物件
page 6	被控意圖謀殺
page 6	謝贈攝影雜誌
page 6	海參威新總統
page 6	上海禁　獎彩票
page 6	俄國患霍亂症
page 6	英國煤業之困難
page 6	愛爾蘭不靖
page 7	浙紹義莊請免收歸市用
page 7	市區界線之擬請
page 7	撥款修運糧河原呈
page 7	海軍不准魏軍過黃埔
page 7	　軍入贛之佈告
page 7	請會同檢查省銀行金庫
page 7	各埠粵僑對澳案之公債
page 7	准香山令撥款賑華工
page 7	派船接澳門華工回省
page 7	教育局對於教員增薪之意見
page 7	陳策編海防游擊隊
page 7	兵站要聞
page 7	勞工尊重紙幣之近狀
page 7	增城令拒用紙幣被斥
page 7	石龍駐軍已無強　紙幣事
page 7	廣寧招兵機關林立
page 7	煤氣公司之組織
page 7	豬頭山營長眷屬被擄
page 7	發起全國農業討論會
page 7	煙犯避捕墜樓斃命
page 7	瑣聞一束
