page 1	英蘇談判之癥結
page 2	津Ｘ軍作驚人表示加強封鎖英法兩租界七個路口完全關閉並通以電流英日談判決定下週在東京舉行
page 2	黔省兵役成效最著民眾自動從軍風起雲湧此次抗戰前途實可樂觀
page 2	冀魯蘇察方面
page 2	浙皖方面
page 2	山西方面
page 2	湘贛鄂方面
page 2	河南方面
page 2	廣東方面
page 2	綏西方面
page 2	盤縣青年自動入伍
page 2	六月下半月各地我軍戰果總計作戰二百八十七次奪獲馬匹槍械彈藥無算
page 2	外蒙邊境情勢嚴重
page 2	岳潛公路Ｘ運輸忙
page 2	新四軍襲擊常熟任務完成減退
page 2	冀南滄縣我軍襲Ｘ獲勝晉南汾陽Ｘ蠢動
page 2	高安東北之Ｘ被我痛擊
page 2	國府明令褒揚曹錫圭
page 2	汪組偽府替代南京偽府北平偽府不動
page 2	喜饒嘉錯抵蘭
page 2	我重兵直迫廣州前鋒抵達龍眼洞附近新會我軍已佔領城外大小梅山一路沿新鶴路向會城江門進攻
page 3	遠東英法海陸軍決定完全合作星加坡城會議結果殊滿意
page 3	軍委會發表一週來戰況Ｘ八次進犯中條山遭嚴重打擊沿海Ｘ登陸騷擾但無深入力量
page 3	美駐英大使奉召返國報告歐洲局勢
page 3	蘇報斥日造謠
page 3	英對蘇聯一切要求業已決定接納祇求三國同盟迅速成立
page 3	美禁械出口之折衷條款經下議院多數票否決羅斯福貨幣貶值價權仍得保留美財部繼續調整國內白銀價
page 3	蘇聯陸軍定期九月操演
page 3	魯南我軍英勇抗戰三月來接觸百餘次于兩部最為強悍
page 3	陳澤君演說香港言論危機
page 3	英外相演說對侵略者痛擊德國現已陷入孤立之境若不幡然改圖必遭敗辱
page 3	平我軍準備七七大舉反攻
page 3	日當局決定展綏封鎖福州迫英艦載運英僑離境
page 3	滬日兵開槍射擊英婦
page 3	滬英僑住宅遭匪搶劫
page 3	英京屢患火警
page 3	閩境大雨福州盡成澤國
page 3	滬英商華大日報被迫停閉英商華文報都完了
page 3	暹羅否認要求英法保障
page 3	倫敦銀市再跌
page 3	我邀英勞工界來華視察局勢
page 3	滬銀錢業實行匯劃辦法
