page 1	推行春耕運動
page 2	晉南我砲兵向風陵渡猛轟日彈藥庫中彈炸燬聞喜我炸燬日列車
page 2	湯鶴公路被我破壞
page 2	嶺東我軍追擊殘日潮汕西犯日軍被擊潰不成軍
page 2	豫東又起激戰我軍衝入淮陽通許南關橋梁遭我破壞
page 2	農林部組織法在審議中陳濟棠對記者談農林部行政方針
page 2	朱綬光榮祥同赴內蒙
page 2	公私機關服務人員家屬贍養費匯款辦法
page 2	津白銀案仍未解決讀賣新聞傳謂協定可即成立
page 2	鄂中日軍蠢蠢欲動
page 2	神岡日軍竄犯受挫
page 2	湘北陰雨戰事沉寂
page 2	邕賓路日犯三塘被擊邕武路高峰　激戰
page 2	德人謀炸兩英巨輪
page 2	我軍襲擊大場日軍機場
page 2	國府明令褒揚蔡元培
page 2	英軍兩師團解除軍職回到工廠服務
page 2	楊格審訊結不判詞定廿二日宣佈
page 2	英澳民運航空線經已成立
page 2	陳璧君潛赴檳城
page 2	海內外人士通電討汪
page 2	雅察里耶氏演詞英印必須合作倘印度脫離英國則雙方俱受其害
page 2	日前首相阿部允任賀汪特使四月首途赴滬
page 2	西線方面有小衝突
page 2	英海軍部宣佈獎格
page 2	英決在此戰爭中爭取主動地位五十萬後備兵又準備入伍英工黨領袖主張積極戰爭
page 2	麥唐納抵巴黎
page 2	法下議院通過本年下季軍費
page 2	虹橋方面華人被日擄去甚多解上日輪去向不明
page 2	意空軍部主張強化意國國防
page 2	美對蘇禁運繼續有效
page 2	庫頁島邊界日蘇衝突日外省向蘇提抗議
page 3	德國外交活動又向羅國威脅德願保證蘇匈不侵羅國而德向羅要求四項條件
page 3	國際友愛典型集會費博士說中美二大民主國聯合足以粉碎任何的暴力
page 3	羅馬尼亞被迫與鐵衛團合作鐵衛團願宣佈擁護王室羅首相定今日廣播演說
page 3	英政府定購糧食經手人受商人運動確有種種不法活動
page 3	芬蘭國會通過蘇芬和約芬蘭內閣將提出總辭職但各領袖仍加入新政府
page 3	日阿商訂通商辦法雙方 已交換照會
page 3	德鋼鐵實業家華孚逝世
page 3	法上議院通過信任現政府案各報主張達拉第組有力內閣選出較有才人物負各部責任
page 3	美上議員提議與蘇斷絕邦交
page 3	維裏斯赴歐任務已達最後階段最近之國際時局已有變化羅馬仍為歐洲外交活動重心
page 5	前晚我軍冒雨夜襲
page 5	前山城門未敢開放
page 5	偽府組織仍各爭持
page 5	我軍反攻大良連晚衝入市區巷戰甚烈大良日偽軍一部抽調他去
page 5	某當局述失陷經過
page 5	江會方面戰事仍烈
page 5	馮涌偽軍反正
page 5	廣東省府健全緝私幹部舉辦稅務講習班
page 5	西南近郊激戰
page 5	日軍再窺黃塘
page 5	三水盧西線我軍克復銀崗進攻西南楊梅一帶日軍已肅清欖岡日軍犯黃塘受創
page 5	均被我炸燬
page 5	監視哨報告
page 5	我飛機隊偵炸虎門黃埔日艦及日機場在黃埔河面炸傷日艦一艘沙角日庫被炸燬日機三架
page 5	台山各界追悼李輝南民眾到祭數千人
page 5	亂放高射砲
page 5	犯粵日軍又謀西竄北犯尚是遲疑不決欲乘水漲沿江西犯中山日軍發生內鬨
page 5	北犯之謠
page 5	西線略緊
page 5	日軍內鬨
page 5	我中山團隊冒雨夜襲石岐三鄉仍有激戰前山城門仍未開放尚禁人民來往中山偽縣府人選仍爭競未能成立某當局詳述石岐失陷之經過情形我進攻江會進展甚速戰事仍烈
page 6	粵路日軍圖犯軍田
page 6	神岡日軍四出竄擾
page 6	游擊在西江
page 6	南三間的游擊隊
page 6	台山鳳尾洋海面海盜截劫貨船之激戰全船九人被匪轟斃上下川海晏交通又已斷絕
page 6	精神上的興奮劑
page 6	我襲高增鴉湖激戰
page 6	在廣三線的成績
page 6	深圳邊界私梟包庇運貨抗緝牲口卒被關員截獲貨商申斥後釋放
page 6	台山僑商提議廣植棉花共給軍用捐款購棉籽分發大窿洞區施種
page 6	老翁婦女和中童
page 6	粵路日軍圖蠢動竄擾樂同砲轟軍田獅嶺我軍出擊新街斬殺甚眾鳳院民眾協同殲殺日軍禺北日軍反戰安籐派員鎮壓
page 7	港九住客聯會致函各界請貢獻減租運動意見俾歸納獻策向政府條陳
page 7	港府籌祝開埠百年紀念慶祝費預算六萬元
page 7	米行公所匯款萬元勞軍學賑會推行一仙運動
page 7	救傷隊預操今日暫不舉行
page 7	舊書攤本港的新興商業
page 7	警察週年大操定廿八日舉行
page 7	買賣人口歹徒向難民營活動警察當局注意查緝昨在錦田破獲一宗
page 7	售械與賊判處徒刑六月深水　劫案押候
page 7	教師會籌祝兒童節之進行
page 7	粉崔今日賽馬關地杯彩票同時開彩
page 7	英理藩院電謝港僑捐金
page 7	顏惠慶博士接見記者美對日實行道義制裁美國人民百分之九十五同情我國蘇聯停戰後更可以大量物質助我
page 8	婦女新運會
page 8	中山濟難會
page 8	參加防空訓練的重要性謝家寶昨晚廣播演講
page 8	各
page 8	訓
page 8	但
page 8	同
page 8	昨日大雨得水四寸餘本年內所得之雨水已超過平均額三寸
page 8	九龍居民會昨開週年大會即席選出是屆職員
page 8	中大服務團
page 8	干力島海面劫案提堂十二人被控罪名十二款
page 8	三水工商局貸款邑農春耕
page 8	澳鎢可運來港
page 8	瓊崖同鄉會昨選舉新職員
page 8	老翁失足跌斃
page 8	長沙灣建碼頭地點已定海南街口
page 8	東亞銀行年會該行去年獲利八十餘萬
page 8	臬庭開審刑案昨日判決四宗
page 8	樹膠業總工會昨已奉准立案
page 8	港禁鎳幣出口
page 8	酒　局議員沈堅遺缺將　政府派員請充
page 8	勒索導遊女案三被告昨日提堂
page 8	吳　減召集　澳振濟機關商討振中山難民辦法港婦女新運會昨派員赴澳施振中大服務團擬設立難童收容所
page 10	今日督憲杯賽華聯二戰西聯下午四時在加路連山華軍勝或和即獲錦標
page 10	協
page 10	總
page 10	星島籃球隊今晨出發征澳舉行義賽
page 10	白蘿仙盃賽今日五場戰事華大盃昨午因雨無舉行
