page 1	英日談判結果將如何
page 2	英日六次圓桌會議討論維持治安問題
page 2	閩民集團請纓湯濱鄉全體壯丁請入伍再接再厲以求速達勝利
page 2	青島Ｘ軍又壓迫外僑德婦所營之公寓被強佔美婦赴滬逼令脫衣檢查
page 2	信南路Ｘ西犯被我擊退毛集一帶Ｘ撤往明港固縣鎮Ｘ向遊河退卻
page 2	綏省我軍節節前進
page 2	我精銳游擊隊抵滬西郊對民間秋毫無犯Ｘ偽恐慌嚴戒備
page 2	我國法幣將得國際援助英財政新聞報所載消息法已在原則上表示贊成
page 2	滬華興紗廠司賑被Ｘ綁去被綁原因未詳
page 2	顏露爾離滬返美
page 2	淮河水漲阜陽等縣被淹水位超過去年現仍在續漲中
page 2	番民代表向孔獻旗致敬
page 2	Ｘ又在滬煽動反英幾潮英總領提出抗議
page 2	德國將舉行空前大規模軍事演習其演習範圍達到波蘭邊境
page 2	關外　人紛紛入關蘇日戰局日緊彼等恐防被炸
page 2	重慶各團體電　斯福致敬廢止美日商約遠東政策遠大
page 2	昆明學術界昨舉行聯誼會邊疆問題專家倡闢滇藏道路
page 2	滬訊外傳江海關將被迫收用華興偽鈔
page 2	Ｘ機窺察陝北
page 2	拍發官電須知政院通飭施行
page 2	英向我政府解釋已定政策英國並未改變對華政策貨幣要求非英所能接受
page 2	各淪陷區英僑先後被逐華北反英運動近來益形惡劣
page 2	渝各界舉行國民月會
page 2	英日談判已達最重要階段英對津白銀問題決不讓步主張此事由財政專家討論
page 3	遠東方面英既表同情於中國斷無維持中立可言
page 3	張伯倫謂英已充分利用時機積極擴充國防力量
page 3	華北英僑受當地排英潮困迫希望政府有所表示
page 3	英日協定無損英人在華利益更無損第三國權利
page 3	華幣問題英外次畢拉氏否認不再支持中國貨幣
page 3	三國談判政治談判未全妥協先行開始軍事談判
page 3	保守議員微爾尼再要求首相解釋中國貨幣問題
page 3	全國高等教育現狀戰後專科以上學校多已遷移大學院系設施亦經重新調整
page 3	英對遠東問題現正徵求美政府意見為美廢除美日商約影響
