page 1	平抑物價與運輸問題
page 2	英法當局報告北歐海戰結果德艦被擊沉十八艘英沉四艘法無損失
page 2	邱吉爾報告戰情
page 2	辛克萊發表談話
page 2	聯軍對德開始合力反攻希特勒冒險侵入挪威係一種新戰略之嘗試
page 2	瑞典各地均極戒嚴沿岸亦敷設水雷
page 2	德擬以閃電戰術猛各荷比撲擊荷比均具決心抵抗侵略西線德軍準備大舉進攻
page 2	挪威早已決心抵抗侵略遷離歐士勞時物資早經移去
page 2	意政府準備下軍事動員令
page 2	英軍與挪軍取得聯絡已在挪威克附近登陸挪威內地德挪兩軍仍有劇戰德挪間接濟路線被聯軍截斷
page 3	杭嘉日軍向我進犯
page 3	潮汕方面發生激戰
page 3	內部嚴厲推行禁煙工作
page 3	汪精衛飛抵廣州
page 3	德機一架飛到巴黎並未投彈
page 3	湘北我軍迭創日軍
page 3	軍事發言人談贛桂大捷意義贛日軍判斷錯誤我控制全局桂日軍三犯不逞勢必遭覆滅
page 3	德以堅決表示警告羅國
page 3	宋哲元靈柩將移厝富樂山
page 3	孔副院長犒賞綏西將士
page 3	津蘇領事館奉命暫時停閉
page 3	渝昆兩地發出空襲警報但未有日機發現
page 3	賀特金氏發表一公開信英應採取積極步驟支撐重慶合法政府
page 3	英機飛德襲擊交通地點
page 3	英最大煤油船被德潛艇擊沉
page 3	駐丹德司令官發表欺人之語丹麥仍係獨立國家而只受德軍之保護
page 3	英空軍昨襲擊斯達完格機場德軍受捐害重大
page 3	挪王及儲君險被德機炸中
page 3	寧偽府牽線人阿部定期來華
page 3	日軍氣燄囂張寧傀儡遭侮辱
page 3	柏林空氣突形嚴重
page 3	桂西犯日軍遺屍千餘東潰崇善同正一帶已無日蹤我大軍正乘勝向東挺進
page 3	晉新絳等處日軍向西峪口進犯被我迎頭痛擊鏖戰半日斃日五百餘人奪獲甚多
page 3	洪門會通電討汪
page 3	爭霸大西洋上之英法德海軍實力檢討
page 3	三法國的海軍
page 3	實力之比較
page 3	贛北我軍進展神速南昌近郊展開激戰日軍四處奔援極度狼狽我軍刻圍攻西山萬壽宮
page 5	並在中順積極組軍
page 5	江會各線接觸情況
page 5	三埠最近仍甚穩定
page 5	中山日軍最近動態
page 5	我便衣隊入廣州懲奸後日軍藉抽查戶口騷擾搜索我便衣隊民眾多被拘捕
page 5	高要各行公會紛紛成立
page 5	桂省最近要政措施由下月起實行新縣制提高鄉村等長副待遇
page 5	台山積極推行節約儲金公務人員先行儲蓄
page 5	改正西南民族名稱不欲人類等　蟲獸凡蟲獸偏旁之名稱均照所定原則改正
page 5	四戰區通令嚴防光復會在東江活動飭各軍隊查拿
page 5	粵牛瘟蔓延農局預防辦法建廳通令遵守杜絕傳染
page 5	大亞灣日艦多已離去鯊魚涌拿獲漢奸
page 5	鶴山縣境加緊破壞公路
page 5	粵北各鄉村加緊增設軍民合作站
page 5	閩省派員考察粵推行新縣制
page 5	北路最近戰報龍口日軍犯天獅嶺被擊從化我軍襲鐘落潭焚河面日汽艇多艘
page 5	在天獅嶺
page 5	粵路正面
page 5	從化日軍
page 5	日軍紛向江會及各外圍增援利用漢奸組軍已失望江會各線有接觸三埠情勢甚穩定中山松林遭斬伐
page 6	向潮錫南部邊境之桑浦山大黃坑
page 6	首先攻下占港
page 6	扣留庇私公務員決予嚴懲
page 6	韶關簡訊
page 6	和尚拾遺濟難
page 6	犁市發生鉅劫
page 6	交通銀行成立
page 6	省府轉飭征集國藥獸醫效驗良方經試驗有效者給予獎勵
page 6	訓練義民組織
page 6	三埠截獲日貨並拘獲漢奸一名此批貨值數萬元
page 6	欽邕日軍陣線動搖擊破牛崗日軍控制欽城大高峰　日軍後路被斷粵桂邊境兩軍在劇戰中
page 6	欽縣近郊血戰情形
page 6	大寺　利在激戰中
page 6	我分三路挺攻邕寧
page 6	嶺東我軍克風溪古巷並擊潰庵埠西犯日軍日軍沿途焚搶民眾慘遭蹂躪
page 7	愛國僑胞
page 7	廣東難民
page 7	港幣六萬
page 7	集腋成裘
page 7	周貽春由渝來港縱談黔省戰時建設工廠銀行紛紛成立較兩年前大不相同
page 7	一仙運動定期辦理結束理髮店義剪風起雲湧
page 7	孟祿博士抵港燕大學生今宴司徒雷登
page 7	隆鎮同鄉會賑濟留澳難民
page 7	縫衣女工路遇剪辮匪徒
page 7	駐菲墨領再建新帆船前失蹤帆船未尋獲
page 7	農人自縊殞命
page 7	菲律濱商人籲請釋放丹挪商船留滬挪輪仍照原定航斯開行法律家解釋扣留丹挪輪原因
page 7	魯意士之遺產法庭批准其妻接管
page 7	華探徐松突飲彈自殺彈中頭顱當場殞命
page 7	孔祥熙夫人普樂夫人等發起香港工合單位計劃在粵港設合作社四百所本港各學校已開始籌募款項
page 8	港澳振會
page 8	學界徵求
page 8	甲普通隊
page 8	乙學校隊
page 8	愛國伶人
page 8	住客聯會
page 8	紅磡兒童會贈旗運動結束
page 8	山坑發現腐屍
page 8	陸軍公佈演習全相
page 8	敵機投彈圖炸督轅
page 8	中區各地落彈多枚
page 8	敵兵遠征失敗港軍昨晨復員燈火管制成績優美軍事演習昨晨結束
page 8	南岸敵軍再次登陸
page 8	菲名記者由歐抵港談歐戰短期內可結束德國缺乏汽油勢必失敗英法竭誠合作穩操勝算
page 8	六賊截劫貨艇煤屑亦被掠去
page 8	貨艇遇風沉沒損失四千餘元
page 8	開本港新紀錄保險銷貨場出現
page 8	美大生回國服務
page 8	新運會今日賣花
page 8	津宣佈港為疫埠
page 8	國樂社招待報界
page 8	劫日婦案續誌共損失千餘元
page 8	全港歌伶舉行義唱籌蔓桂南粵南救傷藥物
page 8	全港勞工團體響應傷兵之友運動港澳振濟會第一次發表徵求成績全港學界已編成一百隊出發徵求
page 10	九龍學籃戰績
page 10	南華國術部續辦初級拳術訓練班
page 10	小型足球戰訊
