page 1	日軍抵越北後的動向
page 2	滬市工潮尚未解決
page 2	滬暴風雨成災市內水深三尺
page 2	全國回胞將舉行封齋禮拜
page 2	華北皮裘出口受新限制
page 2	渝市各界慶祝陪都建立參加者達三萬餘人
page 2	慰勞會舉行獻藥儀式
page 2	滇緬路有再開放可能星加坡中國振災會電英　開放滇緬路
page 2	注意漏洞
page 2	亦有理由
page 2	不無關係
page 2	粵北記者公會二次全會
page 2	綏我出擊奏功晉西南公路被我破壞
page 2	美政府正攷慮限制菲貨運日
page 2	日本仍然企圖改善日美邦交
page 2	日本亦甚注意時局有何變化
page 2	美國兩大政黨意見美決不能退出遠東美必須緊握現時遠東地位德意促蘇日締結不侵協定
page 3	德機繼續襲擊倫敦
page 3	美海軍大尉谷巴發表一函敘述美兵被扣完全係出誤會
page 3	日力制止華南日軍在越邊界行動法日將作第二期談判謀締結法越經濟協定
page 3	在羅被扣英人未受虐待羅允英公使館派員入獄見之
page 3	墨索里尼與西內長談話
page 3	日向墨西哥購買廢鐵
page 3	德外長赴蘇之謎
page 3	蘇艦隊演習結果圓滿
page 3	韋爾基攻擊新政謂新政影響生產哀落有人以雞蛋投擲其車
page 3	中央設計局正式開始辦公
page 3	國府明令褒揚馮安邦
page 3	日本和尚丸山在印被扣
page 3	法政府召集適齡壯丁入伍
page 3	日否認撤退英境日僑
page 3	福州英僑購我國儲蓄券達三十萬元
page 3	挪輪一艘被魚雷所擊沉
page 3	日荷舉行會議
page 3	教部改善貸金制度陳教長發表告戰區學生書一
page 3	美海軍部加緊建造軍艦尤注意於潛艇及水機美潛艇耐航程頗優越
page 3	柏林被空襲婦孺大舉疏散德佔領區軍事目標又被英機輪流轟炸
page 5	白蕉日軍　經過
page 5	日機頻向江會侵擾
page 5	中山三九區之戰情
page 5	萬里圍我團隊殲日
page 5	連平龍川發現害蟲禾苗枯萎情形嚴重
page 5	粵省長途電話加價每五十公里收費三角曲江電話已陸續修復
page 5	鄉民捐穀勞軍
page 5	大良近況
page 5	粵省府通令各縣發展戰時新聞事業補助報社經費改善記者生活印刷器材紙張等准免入口稅
page 5	嶺東我軍猛襲潮安　頂山爭奪戰
page 5	東江各縣銷鹽界限廢除商人可納稅自由運銷
page 5	一六四次省務會議議決舉辦冬耕購種貸款廿九年度概算設法平衡收支更　化縣縣長南山管理局長
page 5	委座侍從室分電各省推薦真材以供選擢俾各展所長用資激勵
page 5	曲江實行郵資增價上月十八起　已公佈
page 5	新開新鶴路連日仍有戰事中山萬里圍我團隊擊退日軍日艦蠢動三澳船渡完全停航
page 6	向布深圍日軍進攻
page 6	沿廣九路直向石龍
page 6	北欄上下懷德一帶
page 6	第一批疏散港僑抵韶粵當局策劃妥為安置設招待所及墾區收容
page 6	惠陽各發動祠宇獻金秋節獻金得二千餘元
page 6	霉菜受鹽價影響
page 6	惠屬農業之困難
page 6	粵政務視察團名單本月一日起分頭出發
page 6	河南草頭沙鄉大火同時槍聲甚密日軍戒嚴
page 6	告民眾書
page 6	彭霖生訂定計劃協助國民軍訓教育訓練壯丁奠定六邑民眾武力基礎以就自己家鄉發揮自衛抗戰為主
page 6	東路連日之小戰彙誌寶安布深圍日軍被我襲擊石龍及寶太路我均有小勝
page 7	五婦女團體雙十節舉行升旗禮地點已定南華會排球場婦慰會並開餐舞會籌款
page 7	萬金油花園虎塔已落成重九開放歡迎遊覽
page 7	疏散印警家眷
page 7	滯留星洲空郵本週付輪運港
page 7	四人受傷
page 7	灌救情形
page 7	起火地點
page 7	后海灣海盜劫貨艇擄三人艇主脫臉昨返港報案
page 7	去月天氣奇熱為壢年九月份所未有
page 7	英飛機製造部長電謝本港英僑
page 7	兩印警突失蹤
page 7	一人跳樓慘死
page 7	尖沙嘴北京道昨火警焚樓一層四人受傷
page 7	禮義廉恥蔣委員長手書校訓昨已頒到僑港各校
page 7	霍亂症已銳減
page 7	四批義民返國男女三十七人
page 7	後備消防隊定期分區會操
page 7	華民司署偵探又破獲販賣人口機關搜出小童十餘名捕疑犯多人汕廈兩地拐匪紛紛來港活動
page 8	主席致詞
page 8	三件工作
page 8	英國的婦女起來了
page 8	洛克道劫案獲四疑犯並搜回一部份髒物
page 8	港滬實業家再赴澳門攷察認該地最宜興辦工業
page 8	捐款收入
page 8	所望各界
page 8	藉口招工製藥棍騙按金疑案
page 8	兩賊截劫農人捕獲疑犯兩名
page 8	嶺大同學昨追悼古桂芬在香港大學禮堂舉行
page 8	普益商會響應節儲運動八一三獻金中央已收到
page 8	錢店夥伴圖竊顧客紙幣罪無可　處徒刑二月
page 8	蘇杭街保衛團袁英輝盧信隆日隊長
page 8	省振會港辦事處已募得振款百餘萬元均託由省行轉匯韶關總會核辦今後工作尚多望僑胞繼續捐助
page 10	足球聯賽小組委會今日特別會議討論東南兩會申訴書並遴選義賽中西陣容
page 10	友誼足籃球賽
page 10	王棠銀牌籃球今日冠軍決戰東方Ａ對同義
page 10	足球賽方約戰海軍
page 10	全港華人水上競技定十二日止截報名
page 10	體協會　接納　陸
