page 1	所望於五中全會者
page 2	Ｘ預定以十八萬兵力企圖由綏西犯偽軍作先鋒分三路西進晉綏邊境大戰即將爆發
page 2	運華軍火十萬噸即由後門輸入美飛機師多人來華
page 2	盧靜齊捐贈珍物國府明令嘉獎
page 2	滬西我軍進抵松江謀斷滬杭Ｘ軍交通
page 2	西南戰局概況西南行營昨發表
page 2	一皖南方面甲
page 2	三湘贛方面
page 2	二廣東方面
page 2	Ｘ機侵擾湘贛各地
page 2	灌口Ｘ我對峙
page 2	國府定三月初召開財政會議滬銀行界亦派代表參加此舉關係戰時經濟極重
page 2	Ｘ機狂炸牯嶺外人房舍炸燬葛牧師等四家各落一彈教會分電使館進行交涉
page 2	反侵略運動中國分會電謝史汀生主持正議
page 2	我國債券回漲二鎊左右
page 2	Ｘ禁物品運入漢法租界
page 2	星洲日人七名有作間諜嫌疑警察搜查其住宅
page 2	漢法租界發現反日標語
page 2	濟南附近我游擊隊突向張店進攻Ｘ倉皇應戰死傷狼藉
page 2	淪陷區域外國銀行將受偽政府嚴格統制偽府將頒行財政經濟統制法
page 2	顏露爾等昨抵南京今日可至蕪湖
page 2	Ｘ軍用汽車在津南被焚燬
page 2	國參會議長由蔣總裁擔任
page 2	Ｘ圖截斷我海防南甯交通準備日內由北海登陸法當局以雷州半島局面嚴重已令法遠東艦隊集中東京灣
page 3	對美在關島設海軍根據地日本表示極端憂慮海軍薄弱不能保衛南太平洋各島利渥斯少將反對美政府尚未批准
page 3	蔣委員長向國人呼籲充實抗戰時人力物力二協助政府推行兵役充實抗戰兵員積極開發地方經濟充實抗戰資源
page 3	退伍軍官反對
page 3	美政府未批准
page 3	波拉晤羅斯福
page 3	呂宋境內日人劫木被菲防軍射擊擊傷日人一名
page 3	英泰晤士報評論日圖分化英美未成功各國已一致趨向於報復手段
page 3	希特勒即將發表演說係對國人而發檢討過去政事
page 3	美議員霍爾主張增設空軍根據地並說明大量製造飛機之必要
page 3	日本今後無法向美購機各飛機廠決不以飛機售日
page 3	法政府對日照會內容不承認非法修改九國公約
page 3	波蘭代表抵蘇舉行商務談列
page 3	美擬儲煤萬萬噸以備戰事需要
page 3	巴拿馬運河上美已計劃建後備水閘建造費二萬萬　三萬萬間防德戰時原水閘被人破壞
page 3	對意國要求德意兩元首成立協定德支持意在地中海取得優越地位意承認德國在西有自由行動之權
page 3	參加西戰意司令金巴拉氏受傷
page 3	戈林行將訪波
page 3	張伯倫公子寓居門前發現炸彈
page 3	駐德大使陳介招待外賓
page 3	弗朗哥受傷說西國民軍當局否認
page 3	意外相與南總理會談
page 3	德新巡艦下水
page 3	德中央銀行將歸併經濟部俾強華德國經濟
page 3	國聯行政院通過中國提案再度邀請各會員國個別援華但未提及在經濟上制裁日本
page 4	警探破獲私寨
page 4	工人墮海溺斃
page 4	英動物園熊貓暫移置禁海站
page 4	美波音式巨機暫飛航港美線
page 4	翁占秋赴南洋開籌賑畫展會
page 4	崇正救難會募得七千餘元
page 4	旅港耶教徒明日聯合禮拜聯絡情誼為國祈禱
page 4	中青演劇籌款門券開始發售
page 4	兒童保育分會設保育第三院
page 4	英退伍軍官被害
page 4	新舊銅鐵行商會鳴謝捐助救護車及棉衣告白
page 4	那非爾德爵士決贈英屬士鐵肺千具凡設備完善之醫院均得領用港督　代瑪利醫院請領兩具
page 5	西江北岸戰事突趨緊張南三花三屬Ｘ軍同時出擾赤坭已陷白坭劇戰後奪回
page 5	四路軍乘勝猛攻增城太平場Ｘ慘敗分路潰竄
page 5	小樓之Ｘ狼狽運屍
page 5	我軍再向增城襲擊
page 5	增城縣府仍在福都
page 5	余氏巡視前線陣地
page 5	蔣委員長電令省主席禁 煙賭
page 5	粵省府計劃救濟戰區難民需款約五十萬呈請中央撥付
page 5	前線最近戰況簡報
page 5	增城Ｘ兵犯圖龍門
page 5	吳司令召長官會議
page 5	東路軍事我佈置完妥潮汕防Ｘ進犯嚴陣以待增城Ｘ向龍門推進被擊退
page 5	Ｘ圖侵犯潮汕傳說
page 5	Ｘ艦七十集中台灣
page 5	加緊進行戰時工作
page 5	潮汕各地特別戒嚴
page 5	村新墟Ｘ軍撤退後匪幫假冒團隊入墟焚劫各店不焚即劫稍有抵抗劫後復焚福泰保豐長泰中興等當押被焚劫Ｘ軍再次犯陳之原因
page 5	粵北大戰Ｘ機三架被我擊落Ｘ宮畸聯隊死傷甚眾
page 5	廣州Ｘ軍最近之動態Ｘ　內訌鹽澤已被撤職Ｘ陸戰隊撤回虎門原因
page 6	軍委會派員調查粵省緝私工作為維持抗戰餉源決擴大緝私武力
page 6	我克復凰角後萬山群島Ｘ艦突增Ｘ汽艦在瀝心沙海口騷擾
page 6	博賀
page 6	閘坡
page 6	企圖南犯聲中粵省南路防務鞏固沿海各港均駐重兵各地公路破壞完竣
page 6	鶴山分設贈醫所派員來港捐募藥物
page 6	Ｘ機Ｘ艦連日窺伺瓊島
page 6	順德柴荒縣府禁止出口
page 6	省黨部潮汕區督委黃鍾抵汕
page 6	北海
page 6	汕各界勸募禦寒物救難民
page 6	雲振中奉召北上述職
page 6	潮汕米有接濟
page 6	調劑輔幣恐慌萬寧印發幣券
page 6	河清之Ｘ又進佔鎮涌即在該處佈設炮兵陣地九江Ｘ已撤退一部惟兵工隊驟增我某部已在石巖佈防控制Ｘ陣
page 7	召集動機
page 7	意義重大
page 7	代表提案
page 7	寶安縣長組善後委員會
page 7	歌姬義唱獎品下星期日頒發
page 7	英賑難會賣物會決在皇仁書院舉行農歷明年正月初七開幕不收入場券發行賣物券
page 7	戰事影響航業鐵行公司之年報
page 7	夏理翕又破獲販賣人口機關起獲二十歲以下少女六口一嫌疑婦人解署扣留查辦
page 7	三賊截劫貨艇
page 7	漢文夜師贈隨軍團藥品
page 7	各地瓊僑雲集本港討論救瓊建瓊方案大會日期未決定昨先開聯誼會各地代表提案卅二宗均極重要
page 8	告各婦女團體
page 8	原函如次
page 8	抗　偉業
page 8	不是空洞
page 8	是什麼呢
page 8	具體辦法
page 8	灣仔被焚貨倉昨晨死灰復燃
page 8	美民航機遲到
page 8	港大籌開古玉展覽會聘葉恭綽等為顧問
page 8	夏理士輪血案兩疑犯昨提堂
page 8	婦女防空會舉行防空展覽
page 8	賑聯會會員應否繳納基金
page 8	婦女慰勞會昨開會員大會
page 8	劫案獲兩疑犯
page 8	四人墮艙重傷
page 8	一人跳樓重傷
page 8	　婦女慰勞會通函友邦善長仁翁獻　今後捐助善款分配辦法在淪陷區散賬無異資助ＸＸ
page 11	足球義賽領獎今為最後一日如不到領即作取銷
page 11	影界足球義賽明日舉行頒獎屆時有比賽助慶
page 11	全港華人越野賽跑明日舉行參加男女共七十五名
page 11	球怪　惠堂答應參加滬義賽
page 11	鑑泉杯乒乓賽參加者廿六隊報名展至十四日止截
page 11	麗華杯初賽陸聯今戰文員尋甲組光華若瑟會於加山
