page 1	紀念黃花節
page 2	　西我軍收穫極大五原俘虜已解蘭州
page 2	豫南方面我收復潘新店現正乘勝繼續追擊
page 2	晉南日軍車中伏炸毀斃日軍百餘人
page 2	孫總理改尊國父中常會之議決
page 2	美電台代表來華視察謁我中樞致敬
page 2	畢特門贊成奎松演說謂係高明試探手段
page 2	川康建設期成會二次全會
page 2	日派阿部對汪監視
page 2	格萊琪宣稱將於下月赴美但並無政治意味
page 2	日與西班牙成立商務協定日本以絲類供給西國換取西國之水銀等物
page 2	綏蒙政會加緊除奸工作各旂政府加緊除奸機構對於伊盟春耕極為注意
page 2	法日定期談判續訂商約問題
page 2	匈總理謁見羅馬教皇
page 2	星洲華人足球隊今夏將征港滬
page 2	日僑要求工部局增加日董名額
page 2	上海人口減少因生活程度太高
page 2	陳立夫詩壽太戈爾
page 2	黨國領袖分日廣播演講申斥汪偽府以正視聽
page 2	英文中國月報第二期已出版
page 2	滬福興麵粉廠工人發生暴動中西巡捕受傷
page 2	昨日一朝間上海發生槍殺案三起馬少荃受微傷徐恩受傷最重
page 2	江逆亢虎倖免一死廚司揮刀砍殺江逆急避始免
page 2	汪組偽府表面高興內心亦感痛苦彼對自身企圖漸失自信
page 2	菲電影實業家哈里斯昨逝世
page 2	法驅逐艦拉利斯號被炸艇身被炸成兩段
page 2	英蘭銀行將發行新紙幣每張值一鎊十司令
page 2	日軍分兩路圖犯扶南我迎頭截擊展開激戰靈山方面我軍又克復那隆墟
page 3	法總理雷諾召駐歐使節回國諮詢駐英意比各使節已先後返國
page 3	西線英德軍發生劇烈空戰德機至少被擊落五架英機亦有一架被擊落
page 3	日軍駐屯的要求與汪政府
page 3	英輪在星洲配備武裝將來可以避免磁吸性水雷危險
page 3	蘇消息報評論中日戰事日方自知軍事上不克再獲勝利乃利用汪組織傀儡實現其野心
page 3	英海軍扣留蘇輪事蘇聯向英抗議梅士祺昨訪哈里法斯要求立即釋放兩蘇輪
page 3	德向北歐諸國購買生鐵利用吃水淺之輪船避免英法海軍截留
page 3	英法頗慮太平洋輪船受德潛艇騷擾傳蘇已允將太平洋某海島借與德國建一潛艇根據地
page 3	對美海軍演習日極注意倘其在西太平洋舉行則認為其係對付日本
page 3	胡適大使赴三藩市加利佛尼亞大學贈胡以名譽博士
page 3	德在荷屬東印度高價購買皮等原料將運經海參威而入德國如此可打破聯軍封鎖線
page 3	經濟和平委會將在海牙開會英法德代表已抵海牙
page 3	芬內閣提總辭職羅提奉命再組新閣
page 3	芬總理提出芬蘭復興計劃
page 3	傳莫洛托夫即將赴德
page 3	德一製砲廠發生大火
page 3	菲有名金礦鎮發生大火
page 3	羅馬教皇演講痛斥戰爭罪惡
page 3	英法土商定軍事合作計劃各項問題意見一致
page 5	我機偵察江會各線
page 5	中山日軍現甚空虛
page 5	石岐商人苦不堪言
page 5	粵北日軍又有增加犯從化風雲嶺受重創粵路我軍出擊新街一度衝入新村蓮塘
page 5	早有戒備奮起迎擊
page 5	日偽軍仍不斷增加
page 5	四邑米荒嚴重情形續誌每元僅可購米二斤至三斤一區各縣將赴桂購米接濟
page 5	奪獲日軍重要文件應即越級直呈
page 5	發展對外貿易改善出口貨結匯辦法除蛋品等十四類其餘免結匯繳結外匯准照貨價八成計算
page 5	出口貿易
page 5	要點有三
page 5	各地戰事均似沉寂
page 5	粵振會奉頒獎勵捐款辦法獎品分三種
page 5	容奇奸徒滋擾商人相率離去漢奸串同日軍囊括商人貨款
page 5	白崇禧晉升參謀總長李濟琛任西南行營主任
page 5	省務會議紀要
page 5	都市計劃委會組織
page 5	南頭海面日偽軍之火迸因請領糧械嘩噪被日艦開槍掃射雙方激戰兩小時傳犯黃松岡不確
page 5	日艦艇頻集於南頭
page 5	大鏟海面日偽激戰
page 5	傳日犯黃松岡不確
page 5	日軍衝散偷渡被獲
page 5	江佛新開新鶴各路最近略有接觸情形無甚變化中山各地日軍兵力調查石岐日軍四出搜掠銅鐵石岐商民被迫領證開業
page 6	人事略有變更
page 6	議決要案如下
page 6	張長官李主席為粵北災黎請命電請胡文虎捐資救濟
page 6	粵省各界追悼蔡元培記
page 6	官窯日軍昨雙擾良岡頭
page 6	犯羅浮日軍被擊潰香翰屏將赴韶述戰
page 6	得翰屏將赴韶述職
page 6	穀米赴桂採購省府令各縣知照
page 6	購糧貸款定一百三十萬元
page 6	大良日軍搜掠人家器物各家藏書多被其搜奪龍氏血本佛經亦被劫
page 6	鄧集團軍桂南前線鏖戰記二平凡的地區險惡的戰鬥
page 6	粵振濟會積極開展振務設立駐港辦事處籌辦製增設兒童教養院義民收容站三月來收到各方匯款達十五萬元
page 7	英賑華分會撥款賑濟難民廠聯會救濟逃難學生廣聯商會決捐款勞軍
page 7	廠商聯會理事會議
page 7	救濟中山逃難學生
page 7	廣聯商會救賑工作
page 7	捐助施賑廚五百元
page 7	本港警察週年大操港督蒞場檢閱並頒給獎章中西警員獲獎者四十五人
page 7	獲獎警員
page 7	軍事當局嚴究水雷爆炸原因
page 7	鄭子嘉捐國幣千元
page 7	藝術觀賞會第三次已定期舉行
page 7	港督訓詞
page 7	車輛失事統計去週死二人傷卅七人
page 7	國語教育家吳任葵昨出殯
page 7	防空處舉行遮蔽車燈表演
page 7	南僑慰勞代表李慕青昨抵港
page 7	南海同鄉會報告九江災情慘重鄉民四千人遭慘殺財產損失以萬萬計
page 7	本港軍費支銷劇增一九三八年共支百六十餘萬鎊竟超過港政府負擔額四倍有奇
page 8	教研會函
page 8	洋務工會
page 8	醫藥聯會
page 8	港寶交通恢復寶安商會勞軍
page 8	擱淺挪輪浮出將返港入塢檢驗
page 8	立法局昨會議通過電話法例修正案畢打士解釋新例內容目的在增加政府稅收
page 8	修正電話法例目的
page 8	電話法例不完善點
page 8	修正電話法例內容
page 8	兒童節紀念會參加學校八十五間已擇定四大戲院為會場贈旗運動下月一日開始
page 8	導娘服毒遇救
page 8	印刷業商會徵求會員近訊
page 8	搶匪猖獗
page 8	剝衣服
page 8	剪頭髮
page 8	搶食物
page 8	大公報失紙案經紀被控接贓昨由高級法庭提審
page 8	節約運動徵文優良稿件酌給獎品
page 8	老翁意外受傷
page 8	兩非法墮胎案押候下星期再審
page 8	監獄有人滿患當局設法疏散
page 8	後備警勒索案押候下月宣判
page 8	各僑團贊助減租運動中華教育研究會致函各業主請順與情自動減租以安社會
page 10	乙組銀牌決賽權南華甲被淘汰四比三工程獲決賽權
page 10	九龍區學籃賽昨開代表大會議決要案多項
page 10	聖保羅陸運會今日舉行
page 10	乒乓比賽消息
