page 2	對日交涉大警告拾亡國條約的痛史國恥紀念的公憤願我國民其無忘
page 3	眾議院今日再議不信任案
page 3	顧維鈞長外交令已下
page 3	林俊廷代表陸宗宇與議員周廷勵林繩武等見沈鴻英未就職鼓吹林沈對調
page 3	馮玉祥因協商閣事及對奉事赴謁曹錕曹並邀張懷芝到保定商酌對奉決暫取守勢
page 3	外人料兩月內奉直可暫安
page 3	參眾兩院允通過顧維鈞長外交但須有交換條件顧因此力辭
page 3	曹錕電財政部粵餉最急應速發否則僨事部當負責
page 3	王永泉代表語張紹曾謂閩粵邊許崇智部約共四萬餘眾故閩局勿太躁切
page 3	領袖公使詢外交部既派王正廷督辦中俄交涉使以前辦理俄外交之俄事委員會是否仍存在外交部答仍存在
page 3	王寵惠九日晚抵滬十二日赴港
page 3	天津公團在廣東會館六日開國民大會力爭廿一條及收回旅大民氣激昂有兩人斷指宣誓抵制劣貨
page 3	漢口訊楊森現雖下重慶惟但懋辛殘部尚有一師兩旅水路集江津陸路集合川待
page 3	有援兵即謀反攻賴心輝張沖赴援被鄂軍戰敗退守元壩嵬
page 3	顧維鈞長外交同意案列九日議程但尚等疏通聞財長劉恩源確力辭有俟顧通過後調黃郛長財政訊
page 3	答覆日牒須候新外交總長核發
page 3	張紹曾派盧信易次乾赴粵迎唐紹儀入京
page 3	丁槐電黎元洪張紹曾謂須充量留孫文體面則粵局立定故黎元洪電覆丁槐切實接洽並由張紹曾再電曹錕請贊同國是協議
page 3	張紹曾接林虎電現退贛邊械餉均乏請速接濟俾實力助沈鴻英
page 3	曹錕吳佩孚電參謀部速趕印奉熱軍用地圖數萬張限期送到保定洛陽似此奉直終難無事
page 3	另訊鮑貴卿向張作霖提議和條件解稅款還車輛撤李宇霆貶張學良出洋張作霖則謂非直先撤榆關熱河喜峰防兵無和可言
page 3	張英華連日宴各議員欲謀財政總長席
page 3	桂林變兵在湘贛邊騷擾趙恒惕電蔡成勳協勦
page 3	張紹曾接王永泉薩鎮冰電孫傳芳部安抵福州閩垣寧謐又接粵諜報告粵諸將暗合謀驅孫文
page 3	全體閣員七日入府報告即在府午餐餐畢赴問高淩霨疾密談甚久因此外傳黎元洪勸高淩霨代閣
page 3	陝省援川軍吳新田電已克綏定現攻東鄉
page 3	黎元洪張紹曾密電各督和平統一幸得岑陸徐三公斡旋有接洽機會務請停戰俟與孫文共議方針
page 3	曹錕吳佩孚有贊成南京會議意
page 3	北軍抵南雄之確報雄商電省止辦貨大本營派員往查注意沈鴻英行動
page 3	省中各機關又戒嚴
page 3	許崇智分兵連平之所聞
page 3	潮汕軍事近訊
page 3	滇軍駐港辦事員與記者之談話
page 3	研究屋宇問題委員會續聞
page 3	電燈工人罷工續聞
