page 1	意軍慘敗與軸心會議
page 2	英大捷美政策愈強硬墨允美借地建兩軍港
page 2	英海軍協攻北非意軍意非海道運輸被截斷
page 2	意軍八師團全被擊潰阿比西尼亞意軍絕糧
page 2	意敗軍五帥團被追擊風沙猛烈英進展持重
page 2	上海西區解除封鎖兇手並未搜獲
page 2	英皇慶祝壽辰
page 2	法殖民地官吏大批撤換
page 2	匈南友好協定並非親近軸心路透社記　評論
page 2	美援英又一計劃派艦護送物資赴英再割讓大批商船軍艦與英國兩項計劃均在美當局考慮中
page 2	南上議院議長戈魯錫昨逝世戈係親軸心人物
page 2	羅斯福視察國防完畢座駕艦現正駛回美國某口岸羅會與溫莎公爵商軍事問題
page 2	一英船員勇敢服務冒險撲滅火勢獲英政府重賞
page 2	英補助巡洋艦一艘被擊沉
page 2	蘇外長參預意大使館宴會
page 2	歐洲嚴寒地震阿爾卑斯山火車被冰雪所困停開
page 2	侵希意軍繼續慘敗北線意軍反攻再敗德比林尼爭奪甚烈意軍將師和戰意見不一致南線意軍現向海岸退卻中
page 2	德扣留一美婦罪狀及理由未悉
page 2	西太子號遇險
page 2	英皇佐治之姑瑪利公主逝世
page 2	津市日軍首次演習防空
page 2	滬公共汽車公司要求加價增百分之二十五
page 2	市民陸續　來南寧漸復舊觀旅　飯店日有新張銀行電幫相繼恢復
page 2	日要求越南當局禁米越龍州
page 2	地中海兩岸意軍慘敗意內部現醞釀巨變希特勒赴意商挽救德外長赴南部有重要使命意新併兩阿國局面均動搖
page 3	泰越空軍不斷互轟越督宣言準備抵抗
page 3	鄂中我日兩軍在宜昌附近遭遇激戰晉南我軍出擊兩度衝至堰掌豫東豫北日軍連日傷亡甚重
page 3	日機擾滇在開遠個舊投彈
page 3	我常年預算大量增加加緊生產軍用品及發展經濟建設
page 3	滬電梯公司技工罷工要求增加薪資
page 3	美國軍需工業必須大加擴充需要大批軍火供給英國美國工潮足以影響生產
page 3	澳洲駐日公使離滬赴日行前發表廣播演說謂澳決支持英戰爭
page 3	工程師學會討論議案
page 3	聯軍及中立國輪船開戰以來損失統計約共三百九十六萬七千餘噸等於聯軍輪總噸額百分十一
page 3	閩僑歸國者眾
page 3	滬日軍之文明三華人被梟首在虹口界外舉行
page 3	芳澤謙吉昨離日赴荷印
page 3	南非聯邦扣留日商船
page 3	湘省改良茶種並設立磚茶廠
page 3	法國人不得保有外幣
page 3	日報又發狂言誘和陰謀未息
page 3	英轟炸機隊炸擊德國北部工業區大受打擊德機有炸擊英倫
page 3	日報論新預算案不敷將達二十億圓須由發行新公債以資彌補人民負擔已重　再行增稅
page 3	桂市漢民中學在桂市穿山北麓車建
page 3	皖北偽軍李伯英鄂希堯團
page 3	滬訊虹口東有恒路　華棉織廠小東康守
page 3	美浸信會遠東總士事梁根博士
page 3	贛省各界組織元旦慰問團
page 3	粵優待出征軍人家屬
page 3	朝鮮義勇軍流動宣傳隊
page 3	粵徵募慰勞品運動
page 3	越局危機四伏泰陸空軍攻勢未息南圻發生大叛亂叛黨割斷電線襲營奪械圖大舉法軍全力鎮壓被捕者幾達千人
page 5	日軍無力採取攻勢
page 5	中山五區日軍繼撤
page 5	日艦又犯東圍不逞
page 5	粵縣行政經費大增決不增稅減輕人民負擔省縣財政劃分訂定辦法
page 5	壯丁數十人請纓軍區司令部傳令嘉獎
page 5	增城團隊夜襲日營焚燬車房兩座
page 5	台山奉令組軍民合作站台城大江各鄉已成立
page 5	南路各縣擴充國民兵團合浦沿海盜匪猖獗
page 5	惠寶空襲續誌
page 5	順德貨渡被劫損失三千餘元
page 5	六省糧食會救濟四邑米荒湘桂穀六十萬擔運銷各縣設立糧食運輸所
page 5	各縣劃定水利示範區
page 5	韶拿獲可疑女郎
page 5	粵省府一八五次會議下年度施政計劃交審查
page 5	廣東省銀行在東江設立付款店四行優待公務員匯款港滬下月一日起改由郵局辦理
page 5	稅局不得向商民需索稅捐征課應以現行法規為準粵財廳嚴飭各稅局剔除積弊
page 5	新開路日軍進擾蓮塘不逞日犯中山　湧東圍亦被擊退江會日軍現已無力採取攻勢
page 6	嚴懲私運鎢砂人犯中央已電令各戰區　理
page 6	政務視導團出發翁源將轉英德清　各縣
page 6	慰勞團返韶關
page 6	鹽田匪盜造謠掠劫第三區署派警追蹤截擊
page 6	粵組織經濟研究會職員大致已定月底可以成立
