page 2	對日交涉大警告四亡國條約的痛史國恥紀念的公憤願我國民其毋忘
page 3	政府擬將各內債停止還本一年
page 3	曹錕派溫世霖葉夏聲赴粵謁孫文聲明孫沈令與和平無礙
page 3	政府接到沈鴻英辭職電惟洛訊仍稱沈即就職
page 3	劉冠雄將任海疆防禦使廿九日上午九點　十分鐘上海特電
page 3	黎元洪欲堅府院團結　欲內閣動搖廿七日宴張紹曾吳景濂囑留黃郛詎黃再辭呈適　並聞保薦顏惠慶長外部預備繼閣吳言顏惠慶王正廷均難通過黎張決由沈次長久代
page 3	漢口　電但懋辛軍四萬反攻楊森楊軍潰由盧金山收集殘部扼險待援惟尚無官電
page 3	保洛同意專力定川川平則滇黔自定
page 3	廿七日閣議對安格聯整理公債條陳已擬定辦法預備答覆
page 3	孫傳芳決閩軍以兩師兩混旅為額王獻臣部改清鄉軍
page 3	保定以義械秘密運奉電外部向義使交涉
page 3	張紹曾前派約翰沙斐宣撫回部今查乃俄激黨串騙川資經新疆楊增新電京請追究
page 3	漢口傳滇唐援川趙恒惕聯李烈鈞　贛長江形勢將變化財長劉恩源避索款廿七日不赴閣議亦不到部
page 3	張紹曾告眾議院金佛郎案經顏閣決定今無法交涉顏急聲明任內無決定金佛郎事
page 3	十　團倒閣又活動連署將滿二百人互訂團結公約吳景濂　　團擬退出
page 3	丁槐廿八日到南京謁齊燮元廿九日來滬即南下
page 3	津訊龍濟光亦擬回粵
page 3	日浪人岡崎用日船秘運大宗械彈到天津被海關緝獲經日領判人臟均原船押回
page 3	川訊忠州戰極烈尚在相持中各國領事以損及洋商頗有責言
page 3	省中各軍之戒嚴
page 3	七校職教育員贊成上課
page 3	孫中山電促鄒魯回粵近聞
page 3	陽江人忠告陳頌芬
page 3	北京大學廣東同鄉會反對借債
page 3	軍服店被搜查續聞
page 3	地檢長與高檢長衝突
page 3	沈鴻英請任鄧士瞻為參軍
page 3	大單物業交易兩則
page 3	小呂宋報風
page 3	太古糖房工　罷工續訊
