page 1	人才過剩呢還是人才缺乏
page 2	孔祥熙到菲受歡迎傳陳濟棠返國亦已到菲一說陳尚未離意大利
page 2	王寵惠到政院視事魏道明暫代政院秘書長
page 2	綏蒙政會委長沙王抵京分謁各當局
page 2	私煙充斥百支售銀一角國產煙大受打擊
page 2	在滬日本銀行已將存銀解繳平津日商存銀大部已被運去
page 2	甲討論事項
page 2	行政院會議決議要案多項派曾養甫兼代粵財廳長魏道明暫代行政院秘書長職
page 2	乙任免事項
page 2	平警當局焚燬大宗毒物
page 2	許世英打銷辭意下月赴日復任今晚晉京謁王
page 2	增加統稅華商煙廠二十家暫時停工因存貨過多所致
page 2	滬海關搜獲大幫銅圓共九萬枚
page 2	桑島主計過滬八日乘輪返日
page 2	舊粵省行兌換券有准登記消息
page 2	黔省旱災嚴重
page 2	安欽明晨入京
page 2	滬皖蕪湖米業會議對付洋米免稅入粵各省米糧暫停運粵轉向川省覓取銷場
page 3	滬一特區市民反對加捐
page 3	吳鼎昌返抵京
page 3	藏民歡迎班禪
page 3	引涇灌田實況
page 3	蔣非赴德
page 3	宋將入川
page 3	賣國經紀丁逆抵名古屋一行共十三人
page 3	日機神風號經台灣汕頭抵河內轉飛倫敦賀英皇加冕
page 3	糖業會議開幕
page 3	汛美航空公司金門香港線下月底開始啟航由港至金門客腳美金九百五十元
page 3	兒玉促日人反省亟須糾正對華路線
page 3	桂滇舉債
page 3	大角抵青
page 3	搜獲銅圓
page 3	布告增稅
page 3	法報討論盛稱我國經濟進展謂有欣欣向榮之象
page 3	市場
page 3	商業
page 3	人工
page 3	太平洋東美艦隊大操演
page 3	結城兒玉高談中日經濟
page 3	西國政府軍砲攻叛軍陣地
page 3	西叛軍求和通牒已送出
page 3	英報注意我清償鐵道債券
page 3	英法商定比國中立問題
page 3	蘇聯大批黃金將運倫敦存儲
page 3	美擬與各國訂健全生產制度
page 3	削減國際經濟壁壘有功赫爾接受威爾遜和平勳章
page 4	德字組
page 4	公開網球賽李裕榮勝梁世華今日繼續舉行
page 4	十四屆省運吳鐵城任會長昨已接吳復電允就
page 4	傑志會組隊旅行
page 4	今日尋常杯足球賽南華華再戰海軍隊且看弟弟能為乃史復仇否
page 4	英京銀價仍趨升
page 4	港外匯略無變動
page 4	各行股票之市情
page 4	廣西紙市亦轉穩
page 4	中央紙市價堅穩
page 4	省毫券車道平靜
page 4	八九金市仍平淡
page 4	香港高等法庭審理大錢債處
page 4	公開小型足球賽二十六路英雄爭霸尋常杯各組球員不得參加
page 5	蠶絲貸款定期簽約款額一百萬由建廳與蠶絲局保證
page 5	請緩征濬河捐財部批示不准
page 5	鹽商謁孔反對增稅孔部長允由部轉令覆議鹽業四團體今午再召集開會
page 5	菸　反對捐商承辦菸稅
page 5	免稅洋米迄未能進口湘米連日大批運粵米商昨派代表向民食會請求速辦洋米免稅入口登記
page 5	四省特展會閉會後各省代表昨開聯席會議四省展品定五一在湘展覽
page 5	市郊煙室受取締須一律憑證售煙
page 5	贛瓷千箱運港展覽　星　十日
page 5	吳主席改九日來粵省府各廳長不致有更動財廳長宋子良擬給假養病派員代理
page 6	　新任廣東憲兵司令李卓元昨午先行接任定下星期一日宣誓
page 6	法院定本月十日續審民族渡案
page 6	請公葬咕伯藩博士
page 6	製皮業勞資紏紛安解決限資方四日內一律復　工人
page 6	洋米免稅入口當另組專責機關辦理民食調節會呈覆省府綏署
page 6	各民眾團體不得擅發通電市黨部通令遵照
page 6	岑學呂賦詩留別同僚
page 6	美亞洲艦隊總司令顏爾露週內來省
page 6	粵漢路籌辦陸空聯連
page 6	沙貝鄉煙賭大盛並僱有煙花以為招徠
page 6	鄒魯月內可返粵鄒夫人先返廣州掃墓
page 6	娛樂捐風潮未了官方擬強制執行商方態度仍堅決
page 6	函催各行調查彙報
page 6	市商會通告評定第一批營稅額計一百卅餘行業店戶一萬餘家
page 6	黃埔鋼椿碼頭工程由荷蘭治港公司承建
page 6	財部增加土敏土統稅稅率
page 6	陳誠昨乘機北返華南國防建設返京後實施
page 7	吳鐵城十一日可抵本港即日赴粵履新在港決不逗留華商總會聯合各界開歡迎會
page 7	吳氏改期九日南下
page 7	商會聯合各界歡迎
page 7	廿三僑團另有組織
page 7	澳酒庄貨倉發生劫殺案殺斃一命掠去六百餘元司理人及其友均被綑綁代詞各異警察認為可疑
page 7	法飛行家澤浦氏過港歸國
page 7	澳門字膽實行停止開彩五日彩票廠已奉督署通告
page 7	偷運偽幣案提堂
page 7	窩藏少女案押候
page 7	謀殺案疑犯解省
page 7	意大使九日過港澳門新督亦同輪
page 7	教育當局嚴厲取締私立英文中學是屆中學會考僅數間獲准參加無運動場等設備認辦理不完善
page 7	港大明年停高級試
page 7	組委員會辦理會攷　
page 7	不景氣逼上梁山港監獄又有人滿患大部份為剪綹匪及無牌小販當局擬重將荔枝角監獄開放
page 7	各獄犯人擠擁
page 7	本港安暹米行請速發洋米入口證昨聯電財部及粵民食會呼籲本港存米過多市價狂跌不已
page 8	趙氏　澳　留一宵
page 8	張要求趙賠償損失
page 8	死者疑控被各告詐財
page 8	幾番調解答允賠款
page 8	焚屍地點繪有圖則
page 8	香骨成炭空餘豔影
page 8	會福初醫師談欲消滅紅丸須從改善社會環境著手灌輸德育革除毒販自私之心提倡高尚娛樂減少傳染機會
page 8	研究範圍極為廣闊
page 8	正木清源誅心為上
page 8	改善環境救濟失業
page 8	積極提倡高尚娛樂
page 8	擬向趙父吵鬧索款
page 8	提出二次大　　
page 8	擬具改種有效辦法
page 8	屢次索債　趙無期
page 8	濠江被毆粉臉留痕
page 8	張氏外出金飾燦然
page 8	死者好賭連戰皆北
page 8	四十餘萬員爭產案已和解將照四四二之比率攤分一切訟費亦由公款抽出
page 8	四十歲男子被控侮辱女童被　指女母因借不遂誣告
page 8	拘往警署
page 8	因借不遂
page 8	同謀陷害
page 8	非禮李女
page 8	小竊幾釀巨禍聲震遐邇火光燭天澳同昌炮竹廠藥倉爆炸清明節工人多往掃墓幸未殃及盜火藥疑犯身受重傷倒臥街旁
page 8	肇事原因
page 8	查同昌
page 8	　然一聲
page 8	籌祝英皇加冕近訊
page 8	殺人焚屍案二審律師樓通事張家傭婦次第作供張被毆後擬控趙騙財罪往工務局索債不得即向趙父吵鬧死者貌頗美未決裂前趙父吵鬧趙父兄妻妹均到庭旁聽相對默然
page 10	日機送祝詞赴英謀以三日　間　　行糧紀錄
page 10	乘機由澳洲飛港僅費六日光陰
page 10	又破獲一大賭局
page 10	九龍關金伸算法
page 10	中大攷察團抵港
page 10	英使乘原艦北返
page 10	設交通警風雨亭
page 10	澳扶輪會觀光團由日返澳昨過港
page 10	英艦波域將返國
page 10	建場募捐已結束
page 10	中西僑民歡送郝督大會定十六日在義軍總部舉行華人紳商十五日設筵餞送
page 11	日艦七艘抵汕後將在粵閩海面演習和田又再率五艦抵汕
page 11	警隊保護江佛路
page 11	本月起裁撤舖宅捐
page 11	水南鄉發生鉅竊案
page 11	陳友雲晉省商借庚款二十萬元修北堤息款五厘三年還清陳氏下週即可返汕
page 11	欖　農桑業之概況
page 11	定期召開行政會議
page 11	失業歸國華僑激增
page 11	縣中　生擇師風潮
page 11	小學生竟毆傷校長
page 11	五區專員公署訂定整頓潮汕航運辦法取締囚河電船濫載禁淺水輪行駛外港
page 11	陳少自碑被盜刮金
page 11	將委派各鄉鎮長副
page 11	石龍分局懲匪新法
page 11	各聯鄉主任已就職
page 11	補送二期征兵受訓
page 11	汪門銅元求過於供
page 11	紫洞起回被拐小童
page 11	來往小港新洲長途汽車被匪槍擊圖劫未成匪發三槍未中幸司機疾馳脫險
page 14	投誠動機
page 14	匪區工作
page 14	全國美展先　記續
page 14	今後志願
page 14	共匪十六師師長方步舟投誠後解漢自述投誠經過深悔以往錯誤剿匪第四縱隊送呈行營核辦
page 15	雲南民族種類調查四共有漢回蒙藏苗夷六種苗夷兩族均退居邊荒
page 15	四其他較為複雜人數較少之種族
page 15	崩
page 15	山頭
page 15	阿昌
page 15	都夷
page 15	漁人
page 15	沙人
page 15	小頭褡頭
page 15	拉難　尾巴
page 15	土　童人
page 15	　排　澤曼老撾　岔
page 15	普兒
page 15	華北紡績陣線日十二會社總動員投資總額五千萬元
