page 1	陝甘兩省之善後問題
page 2	孔祥熙變施政方針邁進國民經濟建設一面致力于穩固法幣以健全金融一面獎掖農工商業進展以裕民生
page 2	駐滬日軍昨又舉行大演習雙方互戰三小時攻軍卒被擊退槍聲卜卜致附近居民皆被驚醒
page 2	經濟提攜呼高漲中日經濟界定期來華該團攜有促進經濟提攜具體方案日本政財兩界對之均有極大期待
page 2	中比庚款委員會通過要案留比學生改在國內舉行攷試擴充中比鐳錠學院及推廣癌病治療大學論文獎金以農工醫藥學科為限
page 2	黃旭初昨日離滬南返王志聖同行
page 2	駐滬瑞領館職員虧空公款被捕
page 2	美教授龐德昨晨抵京今日由京飛平
page 2	日人暫緩侵綏強化駐滿日軍
page 2	劉峙捐資辦學
page 2	日陸海兩武官昨日由滬抵京
page 2	新運會主任幹事錢大鈞已辭職蔣委黃仁霖接充
page 2	中宣部長邵力子定下月初視事民訓部長陳公博仍表示謙辭之意
page 2	病體尚須靜攝蔣委長繼續請假兩月蔣鼎文飛京謁蔣報告晤張經過王寵惠允任外長將可見諸明令
page 3	高玉柱招待京新租界力謀打破民族膈膜建設邊地溝通文化
page 3	日駐屯軍交代部隊向秦皇島集中準備　輪回國
page 3	粵漢車又出軌幸無傷人誤點抵粵
page 3	段祺瑞墓地下月開始修築六七月間舉行國葬
page 3	佐籐抵滬絕不發表意見川樾設宴歡迎今日原輪返日
page 3	佛蘭克林演講中國前途樂觀
page 3	立法院例會紀
page 3	武漢定期舉行防空演習
page 3	劉蘆隱案現正依法處理
page 3	　發瓊島棉業馬吳南來考察
page 3	綏蒙會籌備週年紀念
page 3	英國防公債案提交眾院通過第二次宣讀反對黨反對以舉債方式增厚國防張伯倫答辯謂國家信用已臻穩固
page 3	反對黨主張拒絕政府建議
page 3	考古家安特生來港發掘古物
page 3	邵力子關懷實業辦瓷業試驗所
page 3	馬來亞華商足球今夏回國競技
page 3	法太平洋問題研究會中報告中　商業航空進步迅速飛航捷速取費低廉時間準確航運安全
page 3	張伯倫答辯英不侵略他國
page 3	債額已減少政府信用鞏固
page 3	通貨膨脹說可無實現之虞
page 3	不干涉會小組會開會討論監察計劃
page 3	意報言論不贊成奧復辟奧國復避運動受一致命之傷
page 3	法眾院昨開會通過新中立法案召回　西志　兵
page 3	英國在遠東航業感受別國嚴重威脅噸位減少英航業公會舉行年會通過議案促政府小獎章日前英國航商危機
page 3	捷克增募新兵
page 3	英輪蘭都華里堡號誤觸水雷受損
page 3	俄撥巨款建築軍事鐵路
page 3	許承基敗於法國選手
page 3	西國政府軍炸燬叛軍陣地
page 3	國民政府命令特派李白為五路軍總副司令李品仙任五路軍參謀長張任民任桂綏署參謀長改組陝省府任令民財建教四廳長
page 4	男子籃球賽第一幕劇戰青年會初遇華僑甲青年會全隊聯絡勝望略高
page 4	蘭芳杯中級乒乓賽三比二白虹敗北今晚白虹對雪峰
page 4	德明校運會盛況
page 4	南華會徵求霍寶材捐五百元加入為南華永遠會員
page 4	籃球友誼比賽仿林明日對印警
page 4	南華會救傷隊招生
page 4	省法幣市價略降因省方大量拋空影響
page 4	八九金價昨微升
