page 1	國際動盪中之蘇俄地位
page 2	英銀行界願貸我鉅款繼續支撐我國貨幣
page 2	英報主張取切實行動對日採取經濟報復
page 2	晉南我圍夏縣我空軍轟炸陽城
page 2	美僑在華被日軍侮辱美向日提出交涉
page 2	Ｘ圖犯石岐續向疊石進擾我自衛團隊與Ｘ搏鬥甚烈潮安Ｘ久駐困頓調汕整理
page 2	信陽戰事激烈Ｘ被擊向少林店潰退鄂北沙洋Ｘ倫渡不逞
page 2	華北霪雨洪水為災災黎五萬無家可歸死傷人數不可勝數
page 2	蒙滿邊界日軍調動頻繁滿洲之蘇僑已奉令返國
page 2	Ｘ機十八架分犯粵北在韶關郊外投彈百餘枚
page 2	珠江行將開放Ｘ方發表聲明Ｘ准運必需品
page 2	汪業衛宣佈決心組織偽府
page 2	中山方面我軍
page 2	蘭諾將軍聘意尚未證實
page 2	關於中國法幣問題英法美交換意見法決支撐英國拒絕日要求英閣議考慮放棄英日商約
page 3	英國國會議決今日宣佈休會國會休會期較平時為短遇必要時尚可隨時召集
page 3	格連活氏提議縮短休會期間
page 3	Ｘ六次割治盲腸失敗一Ｘ六次進犯中條山的企圖
page 3	二Ｘ掃蕩戰略之變化
page 3	辛克萊亦贊同格連沾之提議
page 3	美外部編撰美僑損失經過日召回駐美大使說未證實繼續推行獨立行動之政策
page 3	邱吉爾謂國會不能放鬆責任
page 3	滬虹口楊樹浦之管理權問題
page 3	德全國各地舉行紀念歐戰爆發典禮國社黨利用此機會極力宣傳海陸空最高長官向部屬致訓
page 3	北平日人組糾察隊直接向英人施行威脅塘沽反英潮則已稍減
page 3	日方否認退出華中
page 3	英舉行大規模空軍演習
page 3	戈林機關報論歐戰發生全英動向全英帝國必一致支撐其母國祗有南菲洲同盟稍有中立之意
page 3	英法蘇三國賡續談判英軍事代表團日內啟程赴蘇
page 3	雙方各走極端英日談判僵局難打破日反對天津問題與經濟問題分開反要求英方全部接納其無理要求
page 3	滬發現白俄反共組織名反共聯合會
page 3	前葡軍政部長赴英參觀秋操
page 3	歐局可慮證券跌價
page 3	滬食米價飛漲租界當局撒查囤積
page 3	英國貸波鉅款向英購買貨品
page 3	西閣行將改組
page 3	日參謀部與陸軍省舉行聯席會議討論美日英日蒙滿等問題促政府參加德意軍事同盟
page 3	德將改變戰略假匈進攻波蘭願割讓斯洛伐克與匈為假道條件德軍四十萬集中邊境作侵波準備
page 4	商會定期會議
page 4	防空班將開課
page 4	謀殺疑案押候
page 4	血案疑犯提堂
page 4	捐金購債彙誌
page 4	華探被控毆打商人原告羅添縷述被毆經過
page 5	Ｘ犯橫門我禾穀損失極鉅橫門Ｘ退後江門之Ｘ亦大部撤退中山水陸交通昨已恢復原狀為清野計令各沙農趕速收割
page 5	中山交通恢復原狀
page 5	橫門警戒重加佈置
page 5	江門Ｘ亦大部撤去
page 5	各線戰事均告沉寂
page 5	中山實行堅壁清野
page 5	瓊島我團隊頻襲南陽瓊山之Ｘ我空軍飛海口偵察Ｘ陣
page 5	請求莞僑籌賑
page 5	黨政軍聯會決定粵北大規模儲鹽先屯五萬市擔足敷三個月用分配連縣曲江樂昌南雄等縣
page 5	粵省府增進自治效率確定經費調整各級機構派員出發各縣指導進行民廳負責人對記者談話
page 5	人事調整
page 5	第四戰區頒發軍民合作公約
page 5	軍隊方面
page 5	民眾方面
page 5	第四戰區嚴密佈置戰時水陸運輸管理全省車輛船舶一律登記擬定水陸交通管理計劃
page 5	車船登記展期半月
page 5	水陸運輸調管計劃
page 5	當局優待醫界返國服務
page 5	粵民眾團體限期改組
page 5	陳村游擊隊襲擊Ｘ船
page 5	東莞橫坑等三鄉抗戰始末鄧大隊長訪問記一本報戰地記者胡小蝶
page 5	戰地特寫
page 5	鐳錠B發現對於人類的新貢獻
page 6	台山縣屬各墟市近又發生金融風潮各市鎮又拒用一元市券縣府佈告嚴禁擾亂金融
page 6	嚴禁歧視
page 6	商會通告
page 6	Ｘ機侵擾石岐槍擊小輪擊斃船伴三名
page 6	省府令各縣舉辦戶籍複查以利推行役政
page 6	靈山縣改善商運
page 6	韶市封存Ｘ貨限期拍賣
page 6	第四游擊區設檢查處防止糧食偷運
page 6	防空部派員視察各縣空防
page 6	台山動員會計劃振興生產
page 6	廣州紅十字救護隊昨已抵韶
page 6	　管理處派員駐惠緝私
page 6	財廳電飭各縣禁征苛雜
page 6	西江防軍策動民眾參加戰時工作切實履行電委會之軍民合作公約
page 7	海面小艇走避一空
page 7	港九各塘得水甚多
page 7	中國婦女會響應獻金運動
page 7	準備參加來春比賽澳洲良駒大批運港新舊馬主紛紛報名認購求過於供將須拈　取決
page 7	郭泉謁華民司為小販請求准予義賣
page 7	粵英領昨抵港
page 7	澳各界救災會領導僑胞獻金
page 7	Ｘ圖獨霸閩粵航權分區敷設水雷禁止各國商船通過航業界宜小心來往
page 7	廠聯會會議紀
page 7	中華救護隊籲請捐助藥品
page 7	石岐現仍安謐交通輪船員談
page 7	港督夫人昨參觀新巨輪
page 7	港外發生颶風天文台昨懸一號風球風力雖極弱但有襲擊本港趨勢整日下雨各區水塘得雨水甚多
page 8	有一焙爐
page 8	藝術界籌賑大會定十日晚開幕一連兩夜假座利舞台舉行馬師曾薛覺先將合演名劇
page 8	被告在屋
page 8	製　紅丸
page 8	染有紅色
page 8	申述案
page 8	來者何為
page 8	婦慰會海浴會募得千六百元
page 8	去月天氣奇熱創長期酷熱新紀錄
page 8	汛美機未離港
page 8	赴星客免種痘
page 8	軍事法庭研究英艦擱淺真相
page 8	港橋救護團第六隊將出發
page 8	運英義賣物品本月十日　止徵募
page 8	鶴山商會救濟失學青年
page 8	漫畫木刻展覽在香港大酒店舉行
page 8	足球聯賽九月下旬揭幕開鑼戲準廿三日公演乙組賽須分兩區舉行
page 8	泰國網球隊明日抵港港方點將迎戰八日起一連三天假木球會舉行
page 8	昨日雨阻球事
page 8	鐘聲社積極響應募帳運動定六日召開會議舉辦水陸游藝會
page 8	南華銀礦灣海浴五日止截報名
page 8	警探喬裝苦力破獲爛泥灣紅丸機關搜得紅丸十餘萬顆拘疑犯六人裁判署昨日提審警探多名作證
