page 2	我對於粵局變化的感想七
page 3	保定會議贊成恢復舊國會
page 3	張作霖在濼州攻拾餘燼有宣告抗命之謠傳直派王承斌率軍東驅追勦
page 3	梁士詒葉恭綽在津住宅由英領派捕協抄梁葉已逃
page 3	保定會議擬王承斌守榆關勦潰兵
page 3	馮玉祥鎮隴海鐵路恢復豫省秩序擁王士珍組閣並請財政公開
page 3	外訊張作霖擬定宣布獨立並調援軍二萬赴濼　再逞直軍已駐守唐山相隔十餘里不日再有戰爭
page 3	奉軍將領聯合愛電黎徐世昌為先生指免張作霖職之令係亂命
page 3	聞吳俊陞袁金鎧史紀當　辭職不就但未徵實
page 3	王士珍組閣因財交兩長未定故緩下
page 3	徐世昌擬組織裁兵委員會王士珍任正會長吳佩孚
page 3	張弧葉恭綽有隨梁士詒十一日抵神戶訊
page 3	馮玉祥電吳佩孚豫軍參預襲攻直軍者官全解散
page 3	孟恩遠王占元謁曹錕吳佩孚代張作霖疏　曹無不可　惟吳　允王孟無顏而
page 3	贛陳光遠電京速撥械彈接濟否則不負責
page 3	曹錕請任彭壽莘為五十六師長
page 3	寶德全通電否認加入趙軍助戰
page 3	公使館消息張作霖已出關在濼奉軍係張作相部
page 3	豫事未定馮玉祥率十一師及兩混旅進攻汴北並派靳雲
page 3	　開封吳佩孚又調長　直　赴豫助戰聞趙　抗命
page 3	　　　鄭州車已
page 3	張宗呂　敬堯吳光　勾匪擾　下令通緝訊
page 3	全國議會及聲合會通電擁戴王士珍
page 3	王承斌率止　師赴軍糧械擬包圍奉軍迫令出關前哨已　　　衝突訊
page 3	張福祥擬派軍截張作霖歸路　夾潰兵已派代表謁吳佩孚
page 3	近聞京師警察廳印葉恭綽張作霖梁士詒相　分發各省通緝
page 3	曹錕擁王士珍組閣要求財政交通內務陸軍四部均隸屬直系
page 3	聞張作霖已得奉天援兵東省　　　　　對　　昌免張令疑為有　剪　奉系孫烈臣嘗　度　員與吳佩孚接洽於奉軍出關　　協商亦不得要領張景惠王占元勸吳佩孚勿逼奉張　　吳復拒絕南方又已實行出兵看此種種原因
page 3	　　　轉形團結一般人皆謂為徐世昌下令免張職　反動張作霖對此有決圖再舉消息昨奉天省議會商　各國體亦有電回京指摘免餘命令這失當某國有乘機活動訊據熟悉東省情形之某要說東三省恐不免脫離北京政府猖　　時局殊未屬樂觀　外讀梁士詒葉恭綽皆逃往大連助張作霖謀再舉赴滬赴日說均不確
page 3	五月十　號天津電奉軍由奉天　援兵現集中昌黎灤　者逾五萬人備圖侵襲直軍方面　有相等人數分佈唐山附近與奉軍前鋒相隔約五里若各不退讓戰爭　即勢難幸免現此問外人頗有不穩消息查并祇兵爭之故又因礦江　因軍事影響上月已無薪發而糧食又無法供足是以可慮云
page 3	九　曹錕南京府要求大宗軍餉此屆內閣交通財政務陸軍四長並須任命直
page 3	直軍現以軍糧城為中心擊退各方奉軍俘虜李景林部下千五　人奉軍全部隊伍已亂直軍大部以軍糧城附近為根據極力掃除奉軍殘部惟張作霖現尚招集潰兵或將背城借一以決雌雄傳奉軍退出關外尚屬疑問居民因此異常恐慌此　車外人十評論直勝奉敗謂奉派今既戰敗則直吳之勢　當能壓倒北方故視乎吳氏與孫中山攜手之如何可以決斷時局之敗搶南北統一之　勢此時吳代應取之道有三一　國民大會決決定國是二或與上海聯絡以　南北統一之局面　或以武力對付西南故吳氏之態度頗為惹人注目
page 3	鹽船罷工風潮尚洶湧未已
page 3	陳炳生　扣　西報紀
page 3	西省已　淨土
page 3	孫中山赴韶　軍又一說
page 6	趙倜　態度與兵力
page 6	德臣　報之瓊州消息
page 6	官地出投彙誌
page 6	德　否認德　贊助吳軍
page 6	山東日僑攻擊日政府外交失敗
page 6	西商局報告
page 6	製　工會成立
page 6	王　出殯
page 6	懷械案詳臬
page 6	毆　案照舊　判
page 6	新式影畫帳
page 6	公司除名
page 6	軍火
page 6	葡人俱樂部開幕
page 6	港督之新委任
page 6	招承工程
page 6	天文台報告
page 6	醫界追悼同業
page 6	發展坑村之新計劃
page 6	簽發病死執照之西醫生
page 7	北伐聲　之贛省軍訊
page 7	葉舉所部留梧情形
page 7	　　　選出後　賠溯
page 7	陳炯明去後之賭禁情形
page 7	現役軍人犯罪之收理疑問
page 7	工人卻畏衛戍兵干涉
page 7	派船赴西江接軍隊
page 7	擬　設軍米分
page 7	中央兵站
page 7	福軍加入攻贛第三防線
page 7	陸軍部　用人
page 7	海防司令部遷地
page 7	印花稅支處亦有聯合會耶
page 7	押店關閉之貧民不便
page 7	拿著　兼獲偽
page 7	瑣聞一束
page 7	又　俄共和國
page 7	上海船務發　案
page 7	對付鴉片之提議
