page 1	日謀割取荷屬新幾內亞
page 2	張部將領抵京謁蔣聽訓孫蔚如赴滬謁孔宋
page 2	經會派員視察西北建設隴海路西寶段通車
page 2	華北換防日軍總數達萬四千人首批四千人昨開抵平津皆為日軍精銳軍械充足
page 2	居　在中央紀念週報告全會情形及個人感想三中全會決議全係救亡國存大計須努力實行勿蹈決而不行之覆轍
page 2	林席演講地方行政為國家政治的基礎中央機關側重決策地方機關側重實行中央政令得地方機關推行方易生效果
page 2	第四軍組織內考察團
page 2	中宣部長邵力子因病展緩視事健康未復且患眼疾
page 2	上官雲相將返國月底返京覆命
page 2	王克敏昨抵京向當局報告要公
page 2	漁業銀團昨日正式成立該團組織目的救濟漁業衰落
page 2	傳共黨已有覺悟將接受全會合作條件陝北張部一小部反對楊虎城效順中央三原一帶戒備甚嚴張楊兩部準備火併何柱國奉委為皖主席于學忠為豫皖綏靖主任
page 3	上海交通銀行被賊單身行劫失去現款一萬元
page 3	三種發明品准予專利五年
page 3	僑教職員講習會定期十五開學
page 3	林主席視察陵園古墓
page 3	蒙盟駐青辦事處昨日舉行成立
page 3	張群準備交代王寵惠日內入京魏道明將任常次
page 3	國府指令政院公布六種公約
page 3	一六六師師長郜子華
page 3	陳誠一日晨七時乘中航機離漢
page 3	津浦路擬定三年計劃
page 3	豫省河局長王力仁辭職
page 3	財政部糧食運銷局
page 3	日大使川樾茂定二日晨由滬乘首都特快車回京
page 3	平市財政局長周履安赴京謁秦德純
page 3	沈鴻烈日前來漢遊歷
page 3	政府頃發表公報稱
page 3	日新任駐青總領大鷹
page 3	大批日人潛入山東謀亂當局已嚴加注意
page 3	陳策在滬患足疾
page 3	日林首相將訓令重光葵謀消除蘇聯誤會藉以改善蘇日兩國間關係俾穩定日本所握遠東勢力
page 3	大沽口結冰融解
page 3	余漢謀改期南返
page 3	張自忠等宴田代
page 3	粵各縣選民統計
page 3	俄政府謂意國利用潛艇與西叛軍聯絡開入西境意兵達四萬餘人四國軍艦開始巡視西海岸西外長攻擊各國與法西斯妥協
page 3	日軍部將與華北當局合作防範走私但以減低入口稅為條件
page 3	德國飛船公司計劃遠東航線
page 3	張學良新居落成
page 3	滬國際盃足球賽複賽秩序抽定
page 3	黔經建分會成立
page 3	法捷兩國締訂商務協定
page 3	日改變對華政策著重文化侵略擴充對華通信辦理華文日報
page 3	偽國頒佈皇室繼位法祇能傳于溥儀男裔但溥儀現尚無子嗣
page 3	麥唐納重申信賴國聯
page 3	英殖民部宣布設置亞丁總督
page 3	日海員工會發生罷工風潮謂日本郵船會社有不敬天皇事件
page 3	西外長伐育揭發法西斯國家陰謀在捷克則以反蘇聯相號召在西國則以反英法相號召
page 3	捷國社黨要求區域自主
page 3	日軍師團長昨補行親任式
page 3	日議員向軍部質問軍備補充計劃對華取何方針
page 3	劉蘆隱移提手續辦妥今日提解鄂高法院歸案訊辦請提交公文大意謂楊寧為劉主使劉戰鬥力組織革命軍團等反動團體
page 4	今年游泳季即到各會大材零落有待於後　而支持局面
page 4	共餘數場
page 4	苦鬥難分
page 4	表演精彩
page 4	華人體協會將辦桌球比賽甄拔良好選手與滬方週旋
page 4	日本東京妓女練習招待世運來賓此為東京花界之創舉運動員勿為女色所迷
page 4	華人體協會籌備參加全運組織田徑游泳訓練班
page 4	昨晚男子籃球賽甲組陽光勝勵行乙組黑白勝華大
page 4	友誼籃球仿中大勝印警隊六十一對卅五
page 4	長途賽跑今日起檢驗體格彭學高校驗男子何顯檢驗女子
page 4	八九金價昨報跌
page 4	省法幣市價回降
page 4	省西紙價昨回升
page 4	中紙桂幣價趨跌
page 4	男子網球昨日啟戰徐煒培大林珍告捷六場比賽精彩劇烈者佔三場李華萼沙利雲等六人被淘汰今日有單打七場雙打一場
page 5	桂省請增加軍費中央擬派員入桂整理金融當增加否屆時始決定
page 5	市商會稅委會議決分攤營稅標準
page 5	銀市對於期貨停止買賣之影響
page 5	法學院歸併中大未實現院長電各生照常上課廬用之謂主張歸併者別有心腸各系學生擬聯呈中央請勿歸併
page 5	盧教務長談
page 5	劉總務長談
page 5	鄧院長來電
page 5	廣九鐵路將增開直通快車兩段路局議決要案
page 5	廿六年度全省營稅之預算廣州市四百萬元各屬擬征六百萬元因風潮影響稅減低將來稅收總額祇得一半各屬營業稅局裁撤不確財廳某秘書與記者談
page 5	筵席捐回籌辦法工會對東家之指摘
page 5	財廳統一全省政費支給各縣地稅解五留五辦法即撤銷
page 6	徵集炸灘計劃省府佈告展期
page 6	援綏會閉幕後公園須補植樹木
page 6	憲警再檢查煙證
page 6	漢民路火警慘案顏料店燒斃四命
page 6	民族渡前舟之鑒舉行海上安全運動
page 6	河南區所展期四一結束
page 6	建築　江堤圍借款合約之內容容
page 6	三中會閉幕後之努力香翰屏昨在紀念週報告人民陣線為共匪欺騙國人之詞整理各縣市黨務在積極進行中
page 6	三中全會
page 6	菸酒稅局今日商討
