page 1	巴爾幹之和平問題
page 2	日裏層內閣決定新外交原則
page 2	鄂南我軍分路直搗咸寧日軍分向趙李橋等地反撲我軍迎頭痛擊戰事進行中
page 2	豫黨部推進婦運
page 2	綏西犯日軍被殲過半
page 2	鄂東我軍衝入花園巷戰豫南我克馬鞍山溳山刻我軍向信城攻擊中
page 2	日來日機襲渝濫炸外僑財產
page 2	南昌日軍迭受重創
page 2	京滬鐵路線我軍活躍
page 2	土耳其加緊防禦措施大批生力軍開到施拉士州艦隊停留博斯破魯斯海峽
page 2	穆時英被刺斃日方借題發揮寧偽將向工部局提出廣泛之要求
page 2	米內近衛發生芥蒂
page 2	北平東交民巷英兵營被擲彈
page 2	德空軍襲英倫活動範圍較小德軍侵犯英倫時期或數日內即可實現
page 2	陳立夫等抵蘭
page 2	滬德僑奉令登記
page 2	農民向清泉代弟從戎湘省府傳令嘉獎
page 2	青陽以北我克青山日軍增援反撲今尚在鏖戰中
page 2	日本新外交政策
page 2	日本借題發揮
page 2	英大使卡爾對英僑發表廣播演說對鄰邦力戒挑擬之行為以堅決之精神應付大難
page 2	傳日艦隊集合頁島準備掩護進攻越南日外相虛聲恫嚇圖獨霸遠東警告西方諸國退出東亞範圍
page 3	蘇聯進入羅國影響德意進攻英倫計劃
page 3	駐蘇英大使呈遞國書
page 3	意准敵國商船離開意國
page 3	意空軍元帥駕機覆墜斃命
page 3	川訓練團首　畢業蔣總裁頒訓詞勗勉自治工作人員不能離開群眾當事事為社會人民福利著想
page 3	地方自治
page 3	求之自我
page 3	循名覈實
page 3	全民福利
page 3	實行主義
page 3	光明可接
page 3	英政府正式承認法新政權聚利亞已宣佈停戰南非洲決繼續戰爭
page 3	德播和平謠言係有特殊目的欲藉此誘惑美國之人心推舉孤立派為候選總統
page 3	加拿大驅逐艦有一艘被擊沉損失船員四十五名
page 3	墨索里尼巡視邊界
page 3	韋爾斯對遠東問題尚無具體政策美政治觀察家之意見羅斯福必將三次競選
page 3	荷機在越南運載法籍婦孺
page 3	美國撥鉅款積極擴大陸軍美艦隊行蹤仍守秘密
page 3	宋子文抵華盛頓準備謁羅斯福將與國務卿及財長等會商求美再供給信用借款於我
page 3	意表同情
page 3	英甚快慰
page 3	直布羅陀英機飛過西領水果被西高射回射擊
