page 1	歐洲之外交戰
page 2	德空軍利用兩種新兵器放出極大聲音震動聯軍耳鼓
page 2	德軍以救傷車為炸擊之目標
page 2	我軍猛攻克復晉廟晉城殘日動搖天井關日竟施放毒氣我軍奮戰斃日三百餘
page 2	棗陽以東殘日紛紛東潰長壽店至棗陽一帶殘日為我四面掃蕩即可肅清
page 2	陳嘉庚等離甘赴陝對甘青建設認為極滿意
page 2	陳誠將軍談豫鄂大捷意義二證明日軍在軍事上已至崩潰開始時期
page 2	日機襲渝我空軍無損失日方荒謬宣傳全與事實不符
page 2	某當局痛斥日方造謠日人造謠圖破壞我團結惟其技術窮拙前後矛盾
page 2	日機襲擊川省被我擊落兩架一架在小觀音橋附近墮落黔江上空激戰又擊落一架
page 2	法下議院議員格拉達氏陣亡
page 2	汪偽承認發生問題阿部方面堅持先行談判
page 2	愛爾蘭當局警言準備抵抗侵略如有侵及愛爾蘭者愛將不惜與之一戰
page 2	湘北我軍一度衝入門坳斃日軍百餘
page 2	兩艘荷潛艇安抵英倫
page 2	粵北良口日軍崩潰我軍連克要點多處殘日四面被圍屢圖突逃未逞
page 3	東交民巷發生糾紛因受歐戰影響德荷互迫遷徙
page 3	爭霸太平洋的美日海軍實力
page 3	美國的海軍
page 3	聯軍與各中立國強化邦交關係聯軍與意進行談判英蘇談判亦有進展
page 3	英禱告日全國舉行禱禮英皇英后首相及重臣在威士民士打堂祈禱
page 3	羅斯福準備組織特別國防委會美國會將通過嚴厲方案以應付第五縱隊之活動
page 3	聯軍向甘畢拉反攻南北兩軍傳已會合部羅涅加萊斯仍在聯軍手中各線德軍攻勢已被聯軍阻截
page 5	日汽艇曾窺伺海口
page 5	我軍續向鶴山增防
page 5	中新邊區防務穩固
page 5	江會日軍僅取守勢
page 5	令嚴密查禁四邑毒品視察員報告恩開台新鶴毒品流行省令注意偵緝土劣庇售吸煙毒
page 5	七區行政督察專員張炎呈請辭職內定鄧輝　任各縣紛電挽留
page 5	省府再撥款救濟南路米荒洋米運抵南路土米價格漸穩
page 5	廣州市南我便衣隊夜襲娛樂村日停車場擊弊日偽兵二十餘名
page 5	中央法令自須切實奉行粵省軍當局之通飭
page 5	指出日軍蠢動目的
page 5	擊退殘日猛攻蘇墟
page 5	邕賓路上展開血戰
page 5	日軍分路蠢動粵南桂南各地展開血戰目的似在刺探我虛實準備大舉東犯日機雖輪迴助戰但日軍依然擊退邕欽邕賓邕武邕龍四線之戰情
page 5	日犯平吉傷亡極鉅
page 5	赴辦洋米維持民食
page 5	外人在國內遊歷切實檢驗執照
page 5	陽江南鵬島日軍恣意開採鎢礦義民逃出述該島近況
page 5	廣州灣中國銀行收換破捐鈔票辦法
page 5	軍委會禁購押米穀銀行合作社亦在禁止之列
page 5	中山　洲昨被日軍侵擾
page 5	日增兵九江揚言西犯我方已續向鶴山增兵擔竿沙日工事被我砲毀日軍無法立足海口安定中新邊區各地防務益為穩固
page 6	目下最急需救濟者
page 6	空襲救濟辦法如下
page 6	禺南游擊隊截擊日運輸船
page 6	日軍竄至黃竹岐遭我隊兵襲擊上柏車站我日激戰
page 6	揭示汪日密約之苛酷各校授課應盡量演講
page 6	各縣戒煙所限期完成並設立戒煙製藥廠
page 6	台山蔞北鄉火警電油爆炸焚斃三命
page 6	北犯日軍已陷重圍我軍大舉反攻開展開殲滅戰舉血戰半日殲日二千餘連克據點十餘處粵北二次大捷我英勇將士有絕大把握
page 6	良口戰爭空前激烈
page 6	我軍展開大殲滅戰
page 6	牛背脊陣我軍南進
page 6	各重要點相繼克復
page 6	改組後之廣州偽警務處
page 6	准牲畜土產由游擊區運進
page 6	中振會在粵省籌設空襲緊急救濟處規定被災人民應發卹金數目推廣全省使受災者有所慰藉
page 7	東江鎢砂偷運來港
page 7	歐戰影響價格驟跌
page 7	價格雖跌獲利仍多
page 7	往昔印度銷售最多
page 7	內地銷路完全斷絕
page 7	葉蘭泉談印度禁貨
page 7	歐戰發生後港製風燈暢銷英法商人大量採購
page 7	歐戰爆發後港物價飛漲較前增加百份之四十中下受薪階級無不叫苦
page 7	物價比較
page 7	慰勞豫鄂將士　木行商繼起響應
page 7	後備警華隊舉行跳舞大會各界參加者六百餘人
page 7	港澳貨運
page 7	港府擬在掃桿埔等地建平民屋千間盡量收容無家貧民各區寮屋將盡拆除
page 7	英來華服務團一部團員明日赴滬
page 7	七七售花籌委明日會議
page 7	慶祝英皇誕辰儀式力求簡單
page 7	馬戲班演員失足跌傷
page 7	星政府復准書籍中藥入口但須海關證明由本港運往
page 7	鎢砂在港價格驟跌因歐戰發生後德蘇銷路斷絕價雖跌私梟仍源源偷運來港
page 8	致力宣傳
page 8	改良生活
page 8	中美文協明日舉行年會
page 8	住客聯會會議
page 8	六邑聯會成立職員亦已選出
page 8	花市
page 8	音樂家合組香港新交響樂團推進我國新音樂運動由作曲家林聲翕領導
page 8	女子美容互助社明日正式成立美髮業工會亦設女子部
page 8	汽車互撞傷人
page 8	元朗警探擒獲三匪一匪懷槍兩枝
page 8	乘客墮車慘死
page 8	三門關海面賊又劫艇擲手溜彈傷兩人
page 8	各教堂祈禱英國勝利中西官民踴躍參加
page 8	女兒肩試演成績極良好
page 8	國醫籌祝神農誕
page 8	防癆會決擴大組織增設三小組委會致力宣傳工作並研究改善市民住居飲食問題
page 10	歐戰嚴重影響下暹羅謀與我國貿易乃威叻來華考察後力贊我國工業進步
page 10	昨日棒球聯賽洋水兵打勝仗工程隊錯誤百出以七比十五敗陣
page 10	乒乓義賽今夕秩序豐富
page 10	學排賽今日三場
page 10	東方體育會昨日召開同人聚會即席通過修改章則
page 10	華仁舊生會三屆週年陸運成績甚佳
page 10	小型足球戰訊
