page 2	宣誓
page 3	西班牙援例要求金佛郎賠款並追補五年前收紙佛郎損失
page 3	段祺瑞電賀孫文返粵
page 3	吳佩孚派錢秉鑑坐催發表沈鴻英督粵令張紹曾託劉治洲赴洛疏通一說謂朱泮藻督閩與沈督粵為交換將發表吳派四人赴粵視察沈軍
page 3	張紹曾接沈鴻英電粵事非武力不能解決請速濟餉械張紹曾囑徐清和務勸孫文勿組元帥府又勸岑春　返桂監視孫文行動並決留沈鴻英駐粵牽制孫派但旅京桂同鄉不贊成岑返桂林俊廷亦不愜沈鴻英
page 3	金佛郎案原係周自齊董康王克敏主張周董在法時疊經接哈故議員擬提案查辦周董現王周電法請中法銀行暫緩復業法復電不允延緩且聲明不能牽涉金佛郎事如中國拒交金佛郎法另有對待西班牙亦援例索金並要賠償以前交付紙幣之差率
page 3	廿五日閩省公民數千進謁省長乞林森退職林言係由孫文任命非孫令免職不去閩商民擬舉代表赴粵謁孫
page 3	孫陳復和之所聞鍾鼎基接洽於前李茂之調停於後擬請唐少川為公證人
page 3	議員因金佛郎案拒投外長黃郛同意票並牽涉孫寶琦
page 3	湘訊迎譚延闓倒趙恒惕說愈熾
page 3	王永泉劉冠雄部仍備戰閩商會出任調解
page 3	閣議決建吳祿貞蔡鍔雙烈祠
page 3	川訊楊森在萬流頗得手熊克武急襲擊利川圖抄森後鄂耀南飭聯陞援利川森後部因亦緩進
page 3	京師公民決元宵提燈大規模鼓吹裁兵
page 3	教部通告馬克大落留德學生極困難勸勿冒昧再往
page 3	黃郛電駐外各使徵對廿一條意見
page 3	黎元洪張紹曾聞津派擬起用靳雲鵬囑政系再進行查辦參戰借款案以打擊靳氏
page 3	公使團反對禁棉花出口
page 3	馮自由提案劾教長彭允　
page 3	京傳段祺瑞已充出山經瀋復靳雲鵬與直奉接洽
page 3	財廳借債支餉
page 3	上海銀行聚會紀要
page 3	橙中之金圓
