page 1	對屋租調查委員會之獻議
page 2	我軍渡過沂河現仍繼續前進
page 2	津浦北段戰事激烈
page 2	宣城我敵仍在激戰
page 2	我游擊隊迫近豐台
page 2	敵財政極感困難
page 2	敵機八十餘架又向南昌濫炸投彈竟達數百枚
page 2	繁昌我軍分兩路向竹絲港反攻富陽線之敵慘敗死亡達二千餘人我軍某師北渡錢江克復要點兩處
page 2	台民反戰暴動與敵發生激戰退入基隆山中固守
page 2	敵竄抵茅津渡被擊同浦線兩側均有激戰敵在垣曲西北為我軍夾擊受重創第八路軍開入長治敵軍聞風退卻
page 2	河曲之敵渡河不逞
page 2	敵圖渡河為我擊退
page 2	代村之敵大部潰退
page 2	我軍包剿封邱殘敵
page 2	敵在煉縣南渡不逞
page 2	敵佔踞威海衛
page 2	津電話局員司三人被架
page 2	偽幣發行後平津市場紊亂
page 2	敵猛攻滕縣我奮勇迎擊敵不得逞津浦北段戰事激烈我分三路迎擊淮河南岸敵兵力單溥已改取守勢
page 3	英下議院通過下年空軍預算
page 3	希特勒在奧京親向人民演說殷嘉宣佈奧地利合併於德國德奧軍隊繼復聯合舉行大巡行
page 3	鑒於時局緊張美國再考慮菲獨立問題美現擬請奎松至美共同研究遠東時局
page 3	蘇聯邀約各國以集體行動保捷安全李維諾夫謂此舉不能實施則蘇聯亦可採取單獨行動
page 3	赫爾將廣播解釋美對歐局態度美外交界分兩派一主柔一主硬赫爾將在兩派間保持折哀態度
page 3	美對德奧合併事暫不表示意見目前搜羅証據研究美所受影響一部份輿論對獨裁國堅不讓步
page 3	日眾院通過總動員法此總動員法係屬於特殊法案詳細辦法須由日皇核准公佈
page 3	對西內戰問題英法決採取一致行動德意果增大兵則英法將予干涉現法已在法西邊境上嚴予戒備
page 3	波在維里那城結集重兵波立形勢極嚴重
page 3	蘇聯將有三案繼續開審
page 3	英閣例會討論中歐局勢問題
page 3	西共和政府否認向國民軍求和戰事因政府軍努力形勢現已轉趨和緩
page 3	倫敦市場中國債券穩定
page 3	我軍克復安邱縣
page 3	我軍克復德清
page 3	我武漢民眾衝破敵封鎖線
page 3	銅陵大通一帶情勢嚴重
page 3	津浦北段戰事激烈進行中
page 3	因歐局之影響英盡量提高國防力量將增加所得稅及延長工作時間保守黨外委會將召開重要會議
page 4	友誼球類比賽
page 4	最後勝利杯澳門開始選拔
page 4	公開網球賽李惠堂勝韋仲今日雙單打各一場
page 4	英美匯兌暴漲美對英則仍縮
page 4	音樂部徵求學員
page 4	港外匯市微好銀行沾美電百餘萬
page 4	昨晚籃球籌款賽港選手壓倒埠聯隊女籃表演賽混合隊勝西南女中
page 5	奧海敵艦情報
page 5	請救濟糧食之呈批
page 5	外匯施行請核後私匯以漢奸論罪桂競秋談話再誌
page 5	省府協助僑胞開墾古兜山
page 5	破獲大批仇煤
page 5	菜欄業勞資又起糾紛工會分呈當局之呈文二
page 5	紗綢公會呈請減估出口絲綢價格
page 5	奧省計劃改善各縣府推行兵役辦法由胡朝俊負責草擬施行辦法胡氏前午歡宴各區行政專員
page 5	敵機昨又兩　來襲數次進襲從化大隊轟炸韶關十六日難民車被炸續訊
page 6	河南公和鄉破獲劫貨渡案
page 6	梧游擊隊施訓
page 6	中國字拉丁化之糾正
page 6	龍州走私猖獗
page 6	反對桂鹽直運
page 6	前十五日敵機擾潮梅續詳
page 6	潮汕米價漸見低跌救濟糧食已有相當辦法
page 6	推行桑田間作大豆增加戰時雜糧減輕栽桑成本
page 6	番禺市頭敵機濫炸民房詳誌祇炸燬民房四間傷十餘人
page 6	統率會之分組
page 6	開設私賭被拘
page 6	加緊自衛工作
page 6	貨渡被敵炸沉
page 6	粵行政會議通過救濟瓊黎苗參加抗戰救濟計劃恩威並濟由省府撥款輕利貸借設立贈醫所免費療治
page 7	查受傷者
page 7	鐵線綑縛
page 7	被人掠去
page 7	業主謀應付反對加租謂現租值較十年前相差甚遠擬以此為理由向調委會申辯
page 7	敵誘惑我漁民協會據情報告陳春圃又一釣艇被敵艦侵害
page 7	港滬學生代表北上參加全國學生救國聯合會
page 7	港巴兩國大戰不免巴軍昨已動員港王仍希望和平息爭但為安全計宣佈戒嚴
page 7	摩囉上街昨發生離奇毆劫案旅店老板醉夜出尋妾突在妾家被毆並失多金
page 8	雨具捐款
page 8	商製雨衣
page 8	俄后船員
page 8	賑品運港
page 8	紅磡居民
page 8	丹妮夫人的獨唱為婦女兵災籌賑會籌款
page 8	甲
page 8	掌
page 8	第
page 8	歌
page 8	綢緞行商
page 8	偷運私煙案昨日初審陳興直認走私被罰五百元李漢生受賄罪仍押候再審
page 8	星洲當局四月起再限制華工入口額由三千減至五百名舊客例外赴星船票價格再度高漲不已
page 8	許世英將返美
page 8	鮑謙熙明日離港返歐劉瑞恒昨設宴餞行
page 8	老翁失足跌斃
page 8	灣仔昨晨火警焚樓一層無傷人
page 8	偽幣案昨提堂
page 8	廣福祥輪　航期
page 8	德國紅十字會專員浦格斯將飛漢暹京僑胞賑品陸續運港港僑團商討製雨衣辦法
page 10	愛爾蘭紀念日
page 10	王濟遠昨抵港將在港開畫展會
page 10	救傷隊大操期已定本月廿八日
page 10	痘症仍未稍減
page 10	渣打銀行年會昨在英京舉行
page 10	警官奉令遷調
page 10	新界救傷隊月報
page 10	無從投遞之電報
page 10	港英空郵時間更改歐亞專機今晨運郵件北飛
page 11	皖中軍民聯合游擊戰敗敵軍一敵軍四面受敵棄械逃遁報傳合肥失守並非事實
