page 1	我國獲任國聯理事
page 2	桑島瀕行前談話謂日有和戰之充份決斷
page 2	有田召前任大使徵取中日意見以資參考
page 2	日傳我趕急備戰謂江陰要塞將下戒嚴令
page 2	許使訪有田說明我方始終誠意進行談判
page 2	虹口日軍已減少緊張局面昨已略見鬆懈
page 2	國民政府任命粵省各區行政專員
page 2	日國民反對戰爭天兵會友發起反戰同盟
page 2	美國提中立法案第二節所規定極堪注目
page 2	李頓爵士之意見謂日人之觀察不合邏輯
page 2	東京警視廳通令名為保護華僑實即監視
page 2	路透社絕未造謠大美晚報昨有詳細批評
page 2	中日交涉未見好轉英美注視遠東時局正在華盛頓交換意見桑島瀕行時又作強硬談話日不改變態度蔣委長無回京必要我外交當局表示難再退讓好轉惡化關鍵全在日方
page 3	整齊步驟集中意志聽命於整個之國策
page 3	認清中國最近發生若干不幸事件性質
page 3	不輕言決裂以逞快不委心任運求苟安
page 3	重視兩國久遠利害努力國交常態恢復
page 3	廿九軍全體各級幹部二日在保定秘密開會
page 3	日軍八十餘人攜輕便機槍八梃
page 3	青海雅王已秘密抵津
page 3	九月廿三晚日水兵田港被擊案所獲之三嫌疑犯
page 3	漢日租界自吉岡被槍殺後
page 3	桂省會開始遷桂林國選事務所亦遷桂林新址
page 3	臨時高考第二試昨發榜共計取錄二三名
page 3	戴傳賢返國約六日可抵港
page 3	政院通令各省擇定中心工作以建設工作為切要
page 3	王寵惠昨抵滬鼻病迄未痊愈留滬繼續就醫
page 3	綏蒙政會二次大會議案
page 3	曾市長定中旬來港回拜港督黃主席或將同行
page 3	第一類所得稅財部籌備開征
page 3	審部咨財部防止漏貼印花
page 3	獸疫防治班定期明春開學實部咨各省市選派受訓人員
page 3	尤烈呈獻國璽
page 3	第四路軍致力新運事業
page 3	英財相張伯倫解釋政府外交政策主張充份擴充軍備
page 3	德國陸軍又增編兩師團
page 3	奧國醞釀政潮
page 3	國聯新議事廳舉行落成典禮
page 3	德國巨艦下水
page 3	西班牙叛軍總司令就職後廣播演詞主張政府採權威制度
page 3	連署各報
page 3	中日關係極度緊張中京滬報界同人之重要表示為中日問題敬告全國國民及日本朝野並希望鄰邦新聞同業轉達意見以促日本朝野之覺悟
page 4	李惠堂參加世運歐遊雜感二
page 4	兩華會同室操戈九龍華人初戰中華比賽地點香港會場
page 4	前鋒散渙門將失常東方會大失利零比七負于香港會
page 4	港大週年水運會劉寶希獲冠軍產生新紀錄五個
page 4	本港記者征省隊約港中友隊比賽排籃足球陣線編定
page 4	雙方陣線各有短處戰來平淡南華華戰和九龍會上場勝一對零下場城池失守致成和局
page 4	公開排球報名展期
page 5	中央軍繼續北運陸福廷電各站車輛限期來省
page 5	各縣白銀交郵局收買續訊曾主任廣值對記者談
page 5	汕廣志洋行炸彈案日領已提書面抗議內容仍未能提出證據
page 5	唐萱接收鹽署與改管理局續訊科長李敬五對記者談
page 5	練旅所部先抵潮安
page 5	四路軍增兵東路各部之調動詳情
page 5	曾師部隊調梅集中
page 5	李崇綱部亦抵揭陽
page 5	廣州行營昨電告成立五軍長昨赴北平考察五路軍總部已遷桂林黃主席召見行政專員沙面破獲某國人賭窟賭徒申斥後罰款釋放
