page 1	越南問題的癥結
page 2	榆次東南各路日軍敗潰晉臨汾日軍極為恐慌
page 2	意保兩國報紙對希同提領土要求傳希臘已積極戒嚴
page 2	日機襲渝被我擊落六架墜落壁山銅梁一帶
page 2	東京東南日機表演亞洲皇後輪
page 2	津浦路泗水橋被我炸毀
page 2	潘興將軍八十壽辰
page 2	渝讀書會舉行徵文競賽
page 2	湘濱湖各縣豐收薛主席嚴禁糧商操縱如敢故違即以遺糧資　論罪
page 2	節建勸儲會桂省分會成立
page 2	英日無線電發生障礙
page 2	傳副長官慰勞陝北蒙漢軍民
page 2	湘府修葺炎陵
page 2	革命老同志殷鑄夫逝世
page 2	蘇南我軍攻入高淳
page 2	邕欽路日軍繞犯那利不逞
page 2	粵漢北段我軍大舉出擊炸毀日車一列斃日軍三百餘
page 2	公共租界扣留六名華人係徇日方要求
page 2	中大十月復課
page 2	美擇定地點建軍火廠五所
page 2	社會部在渝市街設社會服務站
page 2	韶關舉行秋節勞軍大會
page 2	美炸藥廠爆炸案疑為奸人破壞
page 2	閩籌備歡迎陳嘉庚
page 2	錢江大橋被我擊毀
page 2	羅遜王夫婦抵施特睹士城
page 2	英政府不撤離倫敦
page 2	越南與日繼續談判
page 2	越當局接貝當新訓決定繼續與日談判
page 3	德機炸擊皇宮確係有意行動
page 3	倫敦中心街道
page 3	英機大舉炸敵係有計劃行動
page 3	法屬敘利亞傾向自由運動許多人表示不滿貝當政府咸具決心抵抗軸心之侵略
page 3	美上下議院議員舉行聯合會議對出入口銀行之法案已商定一個妥協方式
page 3	韋爾基演說謂若任總統必不派軍隊出國參戰維持本國人民自由權
page 3	英財相勸國人努力節約盡力貸款於政府
page 3	太平洋美艦隊演習表現力量雄厚美海長表示決盡其力量將珠港發展為堅同壁壘
page 3	荷蘭皇宣布購機助英成立募捐委員會
page 3	蘇羅關係緊張羅蘇新邊大批蘇軍集合德意準備保證羅國安全
page 3	日新體制預備委會通過政策大綱圖建設大東亞新秩序新體制運動由軍部把持
page 3	古巴秘密會議通過徵兵法案
page 3	美擬投資設廠製造人造橡皮
page 3	倫敦幼童繼續撤退
page 3	法巡洋艦三艘駛往第加
page 3	傳意圖攻埃及蘇丹英有充分準備英恐意軍向埃邊移動未必係真實準備進犯
page 3	英防空新發明高射砲瞄射極準確
page 3	美陸軍部定購大批飛機
page 3	法政府須供給佔領軍給養法國庫支出新項目
page 3	保代表接收羅國土地
page 3	決心作戰到底英政府決不離倫敦英國人已具絕大自信心準備應付希特勒之圍攻
page 5	我軍加緊四邑防務
page 5	廣州市現仍戒嚴日軍傳我將大舉反攻住戶常被搜查居民多遷避四鄉廣虎路日運輸車被便衣隊炸毀
page 5	新開路我衝入會城
page 5	中山日軍搜索居民
page 5	日擾古井文樓不逞
page 5	軍人助割禾麥不得收受報酬蔣委長重申前令
page 5	鶴山九江間鄉民斷絕來往
page 5	嘉屬振會採購新穀備荒
page 5	挑運穀米勞工免服兵役
page 5	粵省當局盡量招致義民港澳員工日間可抵韶廣州灣教師起程赴韶
page 5	粵國民教育經費大增本季設小學萬一千餘所造就師資七千八百餘人
page 5	李主席報告保安司令部成立經過全省保安組織已健全決定組織調查委員會
page 5	荷印仍准匪寄華僑信款
page 5	粵府擬設韶市政辦事處
page 5	我機隊又揚威中山高空唐家灣日機及油庫被炸燬日又窺崖門我大軍嚴陣以待我軍一度衝入會城斬獲頗多
page 6	深圳增到日軍數千
page 6	西江戰事仍劇葫蘆崗日慘敗我猛攻三水城北門
page 6	日軍慘敗
page 6	我襲三水
page 6	蔣總裁電令黨員努力參加節儲運動不但自身逐月繼續做去並應普遍勸告親友儲蓄
page 6	我機隊飛南頭窺察
page 6	教廳解決教師生活問題訂定津貼米穀辦法得由學童家庭公議供給
page 6	日軍器械易地貯藏
page 6	汪派縣長前日登場
page 6	地方自衛隊不得改游擊隊嚴禁苛待壯丁
page 6	桂公田公地實行減租限於本年內檢查完竣
page 6	桂南日軍出擾均被擊退桂越邊境鄉村被焚日軍拆卸邕欽路軌
page 6	日軍昨又增到深圳傳將全部撤退不確日軍兵器易地貯藏我機飛抵南頭偵察
page 7	九龍城區防疫情形
page 7	救護汽車之輸運忙
page 7	嚴厲取締食物商店
page 7	痢症極易變為霍亂
page 7	由澳來港應備手續
page 7	三週內死三百餘人
page 7	歐戰發生後電鍍工人失業者逾千電鍍工會積極設法救濟
page 7	越機獲准放行
page 7	山泥崩卸壓死兩工人兩人受微傷送醫院療治
page 7	無知鄉民疑神疑鬼
page 7	省澳輪復航未有確期
page 7	港法僑協助英國抗戰擁護抗戰委員會將成立
page 7	是月份刑名案定十七日開審
page 7	興寧同鄉會成立週年紀念
page 7	本港英文書院學生較前大增
page 7	霍亂疫症不容忽視三週內已死三百餘人衛生當局加緊防疫工作勸市民從速注射防疫劑
