page 1	美總統改選與遠東時局
page 2	羅斯福演說詞
page 2	韋爾基演說詞
page 2	美國大選前夕農民的傾向阿思譯自美國民族彙誌
page 2	意外相齊亞諾擢升空軍中校
page 2	英海相宣稱盡力援助希臘英軍已在希境登陸史密斯將軍將赴希
page 2	希人團結戰意堅強
page 2	意殖民地紛紛醞釀革命阿爾班尼亞革命日有發展阿比西尼亞人擁護前阿王
page 2	希軍完成動員計劃
page 2	美國記者隨軍觀戰
page 2	意方否認對希謀和
page 2	保否認軍隊開赴土邊
page 2	英報傳希特勒密派和平使者赴美謂將近全世界接納和平與蘇締約係出一時需要
page 2	蒙特萊輪抵滬載運美僑歸國
page 2	格陵蘭觀象台德國奪取失敗
page 2	羅首相將赴羅馬係應意政府激約
page 2	南非洲機擊落意機兩架
page 2	陪都園藝專家舉行蒔花展覽
page 2	意機炸馬爾他地方損害甚微
page 2	日報誣美危害和平引起美人公憤日本一再破壞條約美迫得施經濟壓力
page 2	美總統改選明日舉行兩黨競選運動緊張羅斯福要求連任貫澈反侵略政策韋爾基力攻新政請選民嚴防獨裁
page 3	紅軍機關報發表論文檢討中日最近戰爭各地軍事行動均於我國有利
page 3	領官正法王少卿判處極刑
page 3	重慶號軍員談遇難經過
page 3	陪都國民外交協會歡宴美大使到孫科等七十餘人作陪舉觴共慶美邦交敦睦
page 3	日軍厭戰向我投誠
page 3	貝當及魏剛決不交出艦隊又不贊成極端反英政策法殖民地不肯受人利用
page 3	第一百九十五次立院會議
page 3	阪本秀夫等奉令赴韶轉往前線工作
page 3	桂黨部派員赴邕一帶工作
page 3	英空軍大舉襲德柏林到處起火兩個電力廠被炸擊鐵路貨棧損失甚鉅
page 3	日本推論美大選不變外交政策不　羅斯福韋爾基何人當選太平洋巨浪仍無平伏之可能
page 3	蔣五十四初度不願鋪張
page 3	滬各團體電蔣致敬
page 3	美極注意西半球法屬島美艦在加里比安海演習一部將開到聖路斯亞島
page 3	台灣三次颶風明年糖產將受影響
page 3	意官方承認兩潛艇被擊沉
page 3	淮南鐵路日軍車中地雷
page 3	滬希僑募捐救濟祖難胞
page 3	粵甘贛三省參政員選出
page 3	滬四行儲蓄會分行主任被綁
page 3	羅天樂視察西北教會抵晉西訪謁閻長官
page 3	晉南我軍大舉出擊粵南欽縣潿洲日軍亦將撤退
page 5	衛生人員拒征服務得停發開業執照一年粵籌設精神病院及預防天花
page 5	粵各界籌備紀念總理誕辰籌建中山紀念堂
page 5	大良日軍被襲
page 5	某老農之冬耕運動談政府須有補助方法
page 5	粵府實施參議會決案訓練產科醫生擴大救護傷兵已飭屬積極辦理並函復該會
page 5	李主席廢款重修藍關韓廟
page 5	三埠運貨船近日多被截劫
page 5	我軍進襲三水攻入西南車站殲日
page 5	桂南日敗兵主調廣州我機隊連日飛黃埔偵察日情廣州風聲鶴唳軍票跌價
page 5	留日學生回國參加抗戰三代表抵韶獻旗
page 5	鄒軍長洪視察前線我再調大軍增強四邑防務桂南日軍一部調抵中山整理乾霧鄒團隊昨再擊退日艦艇
page 6	伍觀淇部襲鴉湖奏捷從化口進犯帽峰山不逞
page 6	博羅區鄉聯防
page 6	後宮淳乘機飛海口市瓊我軍續克重要據點
page 6	赴湘日記
page 6	中山大學趕在粵北建校
page 6	韶關　寧線增加車輛行駛　
page 6	財部貿易會收買粵省茶絲　對外貿易
page 6	台城婦孺疏散加緊辦理善後
page 6	寶安縣府負責人否認李朗平湖發生戰事廣九鐵路南段昨仍安謐如恒日大批重要兵器運抵深圳存貯
page 7	火勢甚烈
page 7	損失頗巨
page 7	中大留港學生紛紛赴韶復課
page 7	婦慰會募捐訊
page 7	何日君再來絕響靡靡之音不宜聞於今日中央宣傳部通令禁歌唱
page 7	教育方法
page 7	經費來源
page 7	深圳村福利會舉辦餐舞會籌經費三年來成績極優良千餘農民同沽福利
page 7	要港各僑校響應節儲運動教職員儲額視薪金多寡而定月薪五十元以下亦購券五元
page 7	救濟婦孺
page 7	連日天雨不輟為冬季所罕見
page 7	窮漢餓死道傍
page 7	書法座談麥華　談漢　臨建公論大法
page 7	中振會資助廣州方便醫院
page 7	發展困難
page 7	籌募經費
page 7	文咸東街昨午火警新太章紙店貨倉被焚存貨盡成灰燼損失幾數千元灌救迅速幸未殃及鄰近店戶
page 8	中澳客商來往不難內地魚菜運日已陸續運港
page 8	一批潮僑返鄉步行自　甲兩週可
page 8	港府會員會續捐救護經費
page 8	工合社盈餘的分配
page 8	旅美僑胞踴躍捐輸救國李均權　歡　會中報告
page 8	汛美機是次飛港創速度新紀錄
page 8	郵件遞送遲緩原因郵政司昨對記者之解釋
page 8	邊境私梟日益猖獗公然結隊攜械運私貨遇警探搜捕開火抵抗絕不畏縮本港海關已增派幹探嚴密巡邏
page 10	星島壓倒蘇軍
page 10	記者體特會定期旅行元朗
page 10	昨日甲組足球兩場星島苦戰得利最後關頭僅勝蘇軍光華海軍各進四球
