page 1	德國將發動軍事行動
page 2	蘇浙皖三省壯丁將被Ｘ迫參加作戰Ｘ擬在寧組治安維持會實行以華制華毒辣政策
page 2	粵設漁墾實驗區已選定高安縣迴龍鄉並妥擬實實施計劃及預算
page 2	滬曹家渡惡棍被擊斃命 居民聞訊大快
page 2	Ｘ機六架狂炸萬縣死傷學生平民頗多
page 2	本港匯豐銀行司理妻祁禮賓夫人訴請離異祁氏未提辯當經宣判離異
page 2	華北我游擊隊焚Ｘ貨車車內棉花盡燬
page 2	南滿路購大批警犬防我游擊隊襲擊以保護該路交通
page 2	偽魯省長馬逆良被逼辭職
page 2	漢口日軍防礙美商洋行營業忽然不許恒信買賣貨物
page 2	漢口英　僑民乘運輸艦赴滬
page 2	Ｘ　漢　煙館
page 2	皖東我某軍化裝游擊蕪湖灣沚
page 2	黃季陸等由西康返抵蓉盛稱西康豐富亟　開發
page 2	英美借款與我信我必獲勝利我所貯蓄軍火足供兩年之用白崇禧接見美國記者之談話
page 2	關係整個戰局前途
page 2	變為被動而處守勢
page 2	先發揚民眾之特長
page 2	衛立煌將軍談晉Ｘ無力南犯經我年餘打擊實力消耗殆盡所盤據之點線亦經我軍切斷
page 2	黔主席呈鼎昌抵滇公幹日內經渝返黔
page 2	國府命令李漢魂兼粵保安司令石友三兼察省府主席
page 2	目擊如此慘痛教訓
page 2	勝利屬我決無問題
page 2	日本各地嚴寒
page 2	我機前日飛至江灣偵察並散發傳單
page 2	我軍由馬房渡河夜襲攻入三水基塘鄉俘獲偽地方維持會主席內邱Ｘ軍有犯冀南模樣
page 3	慾難填德國又圖異動目標何在未悉或在荷蘭
page 3	西南行營發表西南戰局情況五日至十一日
page 3	皖南方面
page 3	廣東方面
page 3	贛北方面
page 3	美作家協會請取銷禁軍火運西令簽名者有辛克萊柴拉諸人
page 3	英意談話毫無結果意軍集中非法屬邊境法屬當局聞訊已採取預防措置張伯倫已於昨晨離羅馬返英國
page 3	德向美聲明否認歧視美僑
page 3	滇緬公路本月內可通車此路工程極為偉大日人對此當必注意
page 3	美製造飛機能率報告各廠所造軍用機平均每日二百架每年五千五百架之數實不歡辦到
page 3	西政府軍突行總攻國民軍聯絡線感受極大威脅
page 3	羅斯福咨文仍注重夏威夷島防務擬以六千六百萬美元充實海軍其中大部用以增建海軍根據地
page 3	反共公約將在匈訪問演出簽字匈牙利參加防共協定
page 3	滇徵募分會募集寒衣廿萬
page 3	Ｘ使用毒瓦斯之鐵證二檢得Ｘ使用毒瓦斯之命令不日毒瓦斯而日特種煙
page 3	英致牒日本反對日破壞九國公約國聯行政院定本月十六日開會我國申訴案仍將列入議事日程
page 4	英振難會又募得七千元
page 4	果販籌賑成績共得六千餘元
page 4	九龍關新稅費
page 4	港海軍義勇隊舉行週年聚餐會
page 4	監獄官被竊案被告罪名成立
page 4	港九教育界賑濟深圳難胞
page 4	港政府之委任令
page 4	南方學院作文賽
page 4	本港政府擴大營養研究委會委員增　八人名單已發表
page 5	西江方面
page 5	西江以北
page 5	行署消息
page 5	教廳三江辦事處裁撤王劉陳等奉召回連縣非戰區學校須即復課
page 5	粵司法機關採用巡迴審判制續訊昨頒佈巡迴審判辦法
page 5	Ｘ蹂躪南海沙頭續詳被Ｘ軍焚去民居百餘間難民遍野旅港沙頭同鄉派員回里救濟難民
page 5	莞龍連日均有游擊戰我團隊夜襲蠔江殲Ｘ莞城Ｘ加築工事防我由水道進攻
page 5	游擊團隊
page 5	航空母艦
page 5	潛入Ｘ營
page 5	Ｘ機散發傳單暴露其厭戰救和之心
page 5	廣東全省設九個游擊區行政專員辦事細則
page 5	Ｘ再向平洲勒繳糧食平洲商會無法應付鄉長準備焦土抗戰已派代表到大良謁陸領請派隊到援
page 5	西江方面最近戰況詳誌三水南岸雖有接觸但稍戰即止Ｘ在瀾石憑江佈防龍山十二日之激戰
page 6	龍塘之Ｘ續有增援
page 6	Ｘ機猛炸我軍陣地
page 6	從化方面再次大戰
page 6	Ｘ軍續犯小塘錦洞
page 6	板沙河面貨船又遭焚劫挾擄
page 6	市南各鄉別動隊組鋤奸團近訊
page 6	溫淑海旅移駐龍門昨發告民眾書
page 6	鍾天心黃中　任綏署黨政處長
page 6	廣州之Ｘ禁止市民外遷
page 6	因輔幣缺乏瓊崖金融頗感混雜銀行機關商店以郵票印花找續各縣市鎮鄉村自行印發代用券昨電港四銀行撥輔幣五十萬元
page 6	鶴山自衛團抗Ｘ有功長官一律陞級
page 6	瓊崖當局改善檢查旅客行李
page 6	旅港鶴山商會代表回鄉勞軍
page 6	Ｘ機八架狂炸翁源投彈四十餘枚死傷平民十餘
page 6	破壞公路後新台開之交通各地輪渡紛紛開業
page 6	台山清奸運動
page 6	惠陽成立運站
page 6	從化方面續有劇戰犯筲箕窩大帽頂Ｘ被我痛殲我空軍飛炸龍塘鍾落潭Ｘ陣炸斃Ｘ軍燬Ｘ炮坦克車頗多
page 7	賊黨五人
page 7	夾萬存款
page 7	又一劫案
page 7	通緝賊匪
page 7	挪名記者由渝抵港暢談對我國之觀感對蔣委長偉大精神大為景仰
page 7	國醫救護隊出發深圳服務
page 7	馬頭涌難民營鎗斃華軍事件本港政府願設法防範免再有同樣事件發生
page 7	汎美巨刑機下月初可抵港
page 7	猶太難民過港
page 7	對保羅籌振會昨籌得二千餘元
page 7	英帝航機遲到
page 7	年關在即劫匪猖獗紅磡一住戶白晝被劫五賊持械登樓掠金飾值數百元彌敦道昨深夜亦發生劫案一宗
page 8	富人籌備渡歲各行商業旺盛百貨公司其門如市洋服商店趕製新裝
page 8	盧芝屏女士慨捐私蓄千元還債崇　總會亦認還數千元林西河堂昨已開始募捐
page 8	崇正總會
page 8	林西河堂
page 8	軒鯉詩道美和製帽廠貨倉被焚貨物盡成灰燼損失數千元
page 8	海味雜貨
page 8	土　布疋
page 8	酒樓茶室
page 8	娛樂場所
page 8	各界振聯會昨討論振濟博羅難民決撥二千元託惠陽商會代辦緊急救濟難民會設駐惠分會
page 8	惠博難民亟待救濟
page 8	青年隨軍團徵募棉衣藥品
page 8	狄根氏將返英
page 8	救難會設駐惠分會
page 8	石峽尾村木屋三間被焚損失千餘元幸無傷人
page 8	灌救情形
page 8	損失估計
page 8	中青服務團定期演劇籌款
page 8	巴士傷斃兩童
page 8	去月本港天氣平均約七十二度
page 8	　洋貨輸入後奢侈品輸入我國略減由本港運入內地者現幾絕跡最近三年奢侈品入口之比較
page 10	我國政府調整戰時財政整頓各項稅收推行直接良稅謹慎法幣發行採用發行公債
page 10	整頓稅收
page 10	華北日軍發行偽鈔徒成夢想偽鈔不易僭奪法幣地位日商與金融界反受其累
page 10	發行公債
page 10	戰時財政
page 10	慎發法幣
page 10	美國新聞記者漢遜氏談中國最偉大之力量是蔣白周三氏和衷共濟並決不與日本方面妥協
page 11	節目豐富
page 11	球賽緊張
page 11	獲獎彩券
page 11	各方贈品
page 11	女籃賽兩強會師梅芳穩得冠軍三五比二二大勝培道
page 11	昨日甲組足球聯賽零比一東方克九龍光華對若瑟之戰改期
page 11	記者公會足球游藝大會昨在加山舉行情形熱鬧羅旭和爵士主持開球禮球賽結果一比一
