page 1	　　與兒童
page 2	台兒莊殘敵被殲二千湯孫部不使敵喘息繼續殲敵
page 2	一週來魯西我軍戰績我炸大汶口機場毀敵機八架
page 2	江南戰區軍民協力殺敵菁山市埭溪鎮先後克復我三路襲富陽旦夕收回海鹽民眾加入游擊隊抗戰長江敵艦被炸死傷甚鉅
page 2	豫北涉縣伏兵重創敵軍俘虜六十餘人機槍三百餘枝孟縣警衛隊長反正待機擊敵敵機三架炸鄭州炸死一老翁
page 2	晉南我軍乘勝渡河掃蕩殘敵風陵渡二次克復重創砲兵濟源敵兵撤退被水淹極狼狽晉西朔縣敵亦向大同撤退
page 2	我忠勇將士浴血肉搏台兒莊韓莊完全克復敵陸相杉山飛平與寺內會商挽救策津敵掃數南調增援津浦南段敵恐慌
page 3	臨全代會宣言全文
page 3	民族主義
page 3	民權主義
page 3	英美決建大主力艦敵海軍具戒心急將補充軍艦計劃變更
page 3	神戶歸國華僑談敵國內財政枯竭達於極點人民畏戰厭戰兵源缺乏人民陣線活動日趨激烈
page 3	蘇聯大購汽油備戰日亟由美大批載運赴海參威
page 3	威靈頓隊在滬比賽失利負與上海隊三對零
page 3	閩東安謐西洋島一帶無敵艦蹤蹟金門四效我游擊隊活躍
page 3	西政府軍奪回勒利達城
page 3	法大使昨南下
page 3	汎美公司在坎登島設站
page 3	毛彥文將來港運熊靈櫬返滬
page 3	滬海關扣留大批偽鈔
page 3	臨全大會代表將赴前線慰勞出席代表公費捐作慰勞金大會實在漢舉行發表略遲
page 3	敵在平津戒嚴大事搜查偽警憲兵在車站拘數十人津市更嚴勵隨時檢查住戶
page 3	英意成立協定簽字後意法外交可恢復
page 3	英大使抵長沙
page 3	下屆世運在日舉行瑞典輿論反對
page 3	津浦北段我前程邁進
page 3	敵犯焦家灣遭我痛擊
page 3	敵機飛福州狂炸
page 3	英法等國承認德奧合併各國大使館紛改為領事館奧國各主教態度未得一致
page 4	上半場四比一
page 4	下半場一比二
page 4	今夕男普通籃球比賽秩序
page 4	本週網球秩序今日有單打兩場舉行
page 4	丙組尋常杯決賽葡體會攫冠軍成績二比一
page 4	昨日甲組尋常杯賽南華南勇挫士葛隊上半時四比一下半時一比二
page 5	敵艦轟南澳山
page 5	敵機昨兩次進犯首次猛襲虎門及南韶各次陸空戰均甚激烈
page 5	行商請粵路撥車運貨粵漢路局之整頓車輛
page 5	桂省臨時疏通監獄辦法使有當兵生產機會
page 5	省府不准去年營稅流抵
page 5	西南各省劃定為　員區
page 5	今日兒童節小朋友之一仙運動河南方面之巡行
page 5	難民兒童保育院址擇定嶺大校舍
page 5	國民捐款助戰指定代匯銀行
page 5	商會獻議緩辦稅契不准
page 5	全省船舶分作十區訓練
page 5	余漢謀昨令市商會准改善壯丁征訓辦法社訓總隊部擬定通融辦法
page 5	市府接管南屬恩蔡等鄉
page 5	釀酒須用洋米
page 5	領護照出國者須購國防公債省府會議通過
page 5	入營兵士家屬扶養辦法
page 5	昨晨敵艦兩艘又窺乾霧高瀾島敵兵被島民夜襲沿海漁民已組織自衛團粵海敵艦近尚留十四艘敵擾外輪航行外商謀對付
page 6	過去驗契之不善
page 6	今後整理三要點
page 6	不致影響於收入
page 6	郵務勞資糾紛將可解決
page 6	二區專員公署圍剿大塘坪土匪激戰英陽乳三縣軍警開到聯絡圍剿不日可殲滅
page 6	戰時之經濟國防與廣東之糧食問題八八基本概念
page 6	台山縣府防範運糧濟敵運穀米要領照
page 6	汕米價仍貴商會討論救濟
page 6	何彤接汕市長今後治汕之綱領幹而不說努力邁進
page 6	開平警所截獲攜帶白銀
page 6	九區統率會訓練隊伍之工作
page 6	南海鄉民生葬瘋人
page 6	敵炸當舖斃人
page 6	三水匪徒洗劫魚欄
page 6	農民打死老虎
page 6	飭屬厲行賭禁
page 6	粵黨政軍聯合各團體組黃花崗紀念歌劇大會軍政黨界聞人亦多粉墨登場蹈著革命先烈血跡繼續奮鬥
page 6	黃花崗劇情之一
page 6	黃花崗劇情之二
page 6	改善驗契辦法重新整理全省不動產在各區公所設立驗契分處驗契費用比前減十分之九
page 7	星洲僑胞之救國工作除慷慨捐輸外並抵制仇貨僑商互相勗勉仇貨已絕跡
page 7	大浪灣貨艇被劫經過
page 7	僑胞紛紛回鄉省墓舟車搭客擠擁本港長途車明日亦增開班次各線車費照舊微收決不增加
page 7	本港教育最近之狀況敵機犯粵後本港學校驟增港私立學校仍須大加改良
page 7	臨時學校
page 7	中小學校
page 7	採取課本
page 7	灣仔撞車案傷者昨已殞命
page 7	報界戰地視察團昨晚乘車晉省
page 8	參加慶祝學校
page 8	兩會分別舉行
page 8	兒童節之意義
page 8	中國的兒童節
page 8	兒童保良問題
page 8	發展兒童身心
page 8	培養優美品行
page 8	兒童本位教育
page 8	訓練未來戰士
page 8	今後教育要點
page 8	完成兒童世界
page 8	兒童的新生活
page 8	歐亞機河內線本月十日開航
page 8	今日兒童節全港學界將開紀念會本港九龍劃分三區舉行女青會亦召集街童慶祝
page 10	華仁舊生聯歡九日開聯歡大會
page 10	流動戰術
page 10	臨大學生赴滇
page 10	東華院新總理將足法定人數
page 10	翁蓮娜有起色
page 10	改良本港手車
page 10	市虎噬傷一人
page 10	痘症流行未已
page 10	抗戰影片展覽
page 10	旺角昨發生小火
page 10	小朋友皆大歡喜
page 10	英船員要求改善待遇重訂薪金規額為最要條件
page 11	由灌雲到贛榆
page 11	展開了保衛徐海的血戰
page 11	徐海風雲四
