page 1	五強集團的評價
page 2	日本關西發生地震
page 2	英艦隊砲擊意屬索馬利蘭擊中煤油庫及碼頭
page 2	英財部收買美國證券
page 2	法召回駐泰公使
page 2	墨索里尼諱敗演詞大受英美譏諷強調依附德國自信力已減力向國民解釋威信難挽回
page 2	薩羅尼亞秩序漸復
page 2	土全國施行局部燈火管制
page 2	雙方劃定界址將來政權留待談判解決美英增築陸海空根據地
page 2	英空軍連夜炸擊荷蘭
page 2	希軍繼續進展意摩托化師團被擊潰哥列薩城以東仍有劇戰意軍一度反攻亦未得逞
page 2	意軍一隊已被包圍
page 2	意軍放棄哥列薩城
page 2	哥溫德里城災區遼闊居民相率遷走四處壞壁頹垣
page 2	國際橡皮委會臨時展期開會
page 2	前任羅總理確已被捕
page 2	美決不犧牲工友利益　陸軍部長史汀生對美勞工大會演說
page 2	美指斥日造謠將為侵越藉口
page 2	德秘密警察自供在美活動情形非美活動委會白皮書一經發表必掀起大波
page 2	日對英美　警告泰人慎重
page 2	日方又傳越泰邊境已發生戰事泰當局闢謠僅承認有小衝突柬蒲寨人示威願受法國保護
page 3	保加利亞王到德德軍將越保攻希
page 3	德力拉蘇西接近蘇允與西復邦交
page 3	意與德加緊合作戰事非短期可決
page 3	南京政府圖奪上海租界湯某竟有聲明
page 3	日本之和平試探我方絕無反應日再傳承認南京企圖要挾對美試探美大使亦無表示
page 3	全州臨教院員兵響應獻機運動
page 3	滬　行家之子胡祖德被綁票
page 3	閩平抑物價實行計口授糧
page 3	西北大學校長陳石珍暫代
page 3	希特勒允釋放法俘虜三萬人尚有俘虜二百萬人戰事結果始　釋放
page 3	貝當視察里昂向當地商會演說大談其極權政制
page 3	丹麥納粹黨人列隊巡行沿途有警察　護民眾多對之不滿
page 3	美擬封存外國資金資助中英建設如日繼續輸出生絲至美所得資金亦應立即封存
page 3	粵省推行機關學校化實行屆員考試升級奠定攷績制度基礎
page 3	日人自知和平絕望
page 3	美報推測無和可能
page 3	津亞細亞公司華籍職員罷工要求加薪減時
page 3	滬法租界法院未能開庭
page 3	南寧秩序漸復邕寧公路恢復通車
page 3	全美洲共和國商西半球聯防參加者有二十國代表包括阿根廷智利兩國
page 3	桂浙捷報頻傳滬民欣喜若狂湘北我軍出擊奏捷南昌東南重創日軍
page 3	意西外長方離柏林德又如集中歐會議地點在維也納意羅匈保均被邀參加德軍五師團集中保境準備助意攻希
page 5	大批軍實搬運回艦
page 5	日軍開放港寶交通
page 5	粵建廳長黃元彬報告增加生產解決糧荒改良穀種推行冬耕加緊墾荒科學管理驛運發動婦女勞動
page 5	粵省增加地稅由民國三十年起一律倍征前欠地　本年內照舊定納
page 5	李主席漢魂提議發動駐軍團隊冬耕解決戰時糧食改善士兵生活由長官部省府會組督導總處
page 5	組督導處推行冬耕
page 5	作物收穫概歸士兵
page 5	龍川破獲偽造硬幣機關
page 5	和平軍消滅
page 5	粵省銀行救濟輔幣缺乏輔幣一自萬元已連抵韶
page 5	沙魚涌闢雙道測量工作即可完成
page 5	軍校受訓壯丁兄弟得緩役
page 5	沙惠道上之防疫談沿途所見之慘目剌鼻情形
page 5	各山嶺砲台建築完成後寶安境內日軍陸續撤退南頭深圳等要地共餘日軍四千寶安縣府宣佈開放港寶交通
page 6	惠旅韶同鄉會設處按月購湘米運惠平糶首批四千擔由曲江起運東下
page 6	李主席政治報告留日發國同學獻旗
page 6	日皇注意桂南日軍撤退派員調查真相　
page 6	韶關評定物價
page 6	粵府實施冬耕層級督導行政專員縣長等須負責
page 6	陳克球等抵韶
page 6	茂名成立僑民指導處總處設縣城各區設分處設嬰兒保育所救濟難童
page 6	一區令各縣嚴緝私運黃金
page 6	陽江縣民踴躍從軍
page 6	港韶道上寫真八
page 6	周漢鈴部團隊又夜襲睦洲殲附日軍甚眾天明始退原陣日機連日又炸杜阮大澤等地
page 7	廣州灣當局突禁港貨進口非有特許證一概不准起卸有數批貨物原船運回本港
page 7	營業汽車登記昨日已開始
page 7	港政府宣佈郵寄報紙辦法
page 7	婦人墮樓慘死
page 7	緝私差搜獲大批一元偽幣夾底籐　露出破綻金山輪搭客被拘究
page 7	值勤時間
page 7	酌發槍械
page 7	保衛團重訂組織法執委會發表成立宣言團員職權概與特別警察相同減少值勤時間利便商人參加
page 8	居民不須急於領證
page 8	居民會請減簽證費
page 8	華僑工業製品得向經濟部領征明書手續簡單徵費亦廉國貨外銷受益甚大
page 8	發證規則
page 8	領證手續
page 8	美教士雷力斯抵港談被日軍扣留經過留江門六日亦不悉拘禁原因要求解釋日方只說對不起
page 8	盜賣貨物案昨判決首被告入獄次被告獲釋
page 8	國醫學會徵求會員結束
page 8	九龍城木屋三間被焚
page 8	四強盜處徒刑截劫弱女子罪大惡極
page 8	衛生局昨會議
page 8	四賊船截劫一貨艇鏖戰兩小時貨艇卒不敵財物被掠去一榜人慘死
page 8	辦理經過
page 8	限制英籍婦孺來港
page 8	下月底旅客來港取銷廿元照寶辦法持有移民證書即可入口英婦孺將又有新例限制
page 10	美艦籃隊臨別戰今夕對抗華雄
page 10	本週足球戰事秩序豐富
page 10	督憲杯華聯陣容昨日正式選出星島隊佔七人東方三南華一
