page 1	遠東大局與英美俄
page 2	江北我軍已向揚州反攻滁州北敵便衣隊被我驅盡車邏激戰斃敵約三四百人
page 2	敵機一架飛徐偵察
page 2	傳毛澤東奉蔣令赴外蒙勸外蒙當局服從中央第八路軍已由三師擴充至十師連日奪獲敵軍械糧價值三十萬
page 2	乘黑夜之際敵軍偷渡黃河已越過青城分兩股進犯我已飛調大軍前往截擊
page 2	敵艦大部調入長江
page 2	敵企業界要求停戰
page 2	平海敵艦他駛
page 2	西安臨時大學教職員通電擁護蔣委長告國民書現同人等深知救亡圖存高於一切願率千百青年學子貫澈抗敵大計
page 2	滬西區外人住宅明年一月開放
page 2	青島戰事準備市內重要地點均堆置沙包沿岸環城均置機槍高射砲
page 2	陳覺生確已中毒逝世
page 2	滬公共租界今日全夜解嚴
page 2	台灣發生革命武裝革命戰士圍攻台總督府
page 2	京難民被慘殺五萬人
page 2	蘇大使飛抵蘭州今日轉機飛漢
page 2	陝回民擁護抗戰到底
page 2	國府命令國葬唐繼堯
page 2	英駐滬部隊一部定期調防
page 2	敵機一架在都昌縣墜毀機身入土丈餘機內墜斃兩人
page 2	駐漢外國領團請劃安全區或
page 2	宋三齡謀會面
page 2	日海軍當局稱長江仍多危險
page 2	贛動委員會積極宣傳工作
page 2	杭垣東北郊展開血戰我殲滅敵軍二千餘人我軍現仍堅守筧橋拱宸橋陣地臨平我軍予敵重創殺敵數百人
page 3	紐約時報評論主張英美合作制裁獨裁者保障世界和平兩國如能合作必可達目的
page 3	美已接獲炸艦案報告書日政府對此案尚無具體答復美仍堅持原來抗議各種要求
page 3	紐約泰晤士報登載敵軍敗行種種日軍在南京種種暴行實乃日本國家之國恥
page 3	法駐英大使返國渡節
page 3	郭大使赴巴黎參加使節會議英報界極注意遠東戰事料英政府態度已漸轉強
page 3	日內閣今日討論外交要案偽滿加入防共協定耶提議修改九國公約耶
page 3	美艦須行補救
page 3	德對瑞士中立表示滿意
page 3	弗萊西在下院發言抨擊意國反英宣傳所為謂意在歐洲業已成為害群之馬意報載反英文字有失英國威望
page 3	比大使姪女幾被誘擄車機不密敗露擄匪四人被捕
page 3	美國海軍即當大事擴充日海軍噸位五三比率已發生差異美乃決定以全力造新艦為之補救
page 3	傳荷蘭向奧斯陸簽字國提議承認意大利帝國但比國對於此舉殊無意贊助
page 3	英國遠東海軍根據地星加坡大船塢建築完成此堪稱百攻不破之堅壘足與直布羅陀遙相輝映
page 3	日機飛行港空引起英國不快英政府將向日提強硬抗議
page 3	國府明令褒揚班禪大師著給治喪費萬元
page 3	蔣作賓返安慶
page 3	英下院討論中國海關問題
page 3	將成法艦失火
page 3	桑狄哥當局扣留日本漁船
page 3	法外長出席眾院報告
page 3	倫敦市長募款第一批已匯出
page 3	墨西哥城發生劇烈地震
page 3	克拉勃代理英駐華艦隊司令英政府注意香港附近海面日海軍行動日海軍侵入香港領水界日謂未得報告
page 4	省港元老足排籃絨球賽熱心體育界捐贈獎品定期一月九日在港舉行港元老明天總動員練習
page 4	培正鼎小足球賽一日截止報名同義研究會捐贈文雅獎杯
page 4	所傳屬實可喜極了陳鎮和尚生存滬報刊載謂陳安處昆明
page 4	籌款賑濟兵災中西聯火併今午舉行華隊以南華兄弟軍主力勝望極高西聯拉雜成軍勢亦雄厚但聯強較遜望僑胞多購幾條門券多活幾個難民
page 5	敵機兩次來襲虎門激戰甚烈
page 5	旅汕外僑仍安居某外國記者談台灣情形
page 5	戰時糧委會決議開始建倉儲糧
page 5	刁作謙談國際形勢華南目前可無虞英國派艦來華明年初可實現
page 5	富人避難出國華僑團體請制止
page 5	新舊曆元旦輪渡均不停航
page 5	余總司令訪問記表示積極強化華南抵抗力量全省五十萬民槍總動員一組織民眾由民自動公舉率領人政府不收取民間槍枝並負責賠償
page 5	省府再令取締運舊棉胎出口
page 5	國防吃堅中之交通策劃決徵集民眾築成要道先完成第一期國防交通公路網
page 6	章乃器臨別贈言促粵民起來保衛廣東二恢復北伐時革命精神保衛粵省即保衛全國
page 6	根絕仇貨會加緊檢查工作
page 6	粵省　政軍聯席會議勞工勞訓練部
page 6	廿三日下午六時
page 6	李振球昨到警備司令部接任
page 6	省保安處
page 6	市立銀行行長江英志
page 6	省新運會近以二十七年元旦
page 6	稅務局職員請以獎金購債
page 6	河南石溪鄉睹徒不服制止
page 6	誤買軍用電油被株連拘案
page 6	瓊崖防檢漢奸間諜另訂簡則七條通飭所屬施行
page 6	東江航業近況
page 6	利安貨渡斷拖鍊之虛驚
page 6	漁艇沉斃四命
page 6	火柴枝廠被焚
page 6	人民籌款購機
page 6	鄉公所焚賭棚
page 6	匪徒截劫牛販
page 6	敵機連日轟炸下台山新會災區調查
page 7	廣九路擬增開夜軍並擬增加客票價格
page 7	又一葡艦來港
page 7	俄后輪將入塢
page 7	英艦停泊地點
page 7	敵機十五架昨往來英領空大澳上空機聲軋軋港政府已嚴密注意
page 7	女警畢業
page 7	組織女警
page 7	入學資格
page 7	訓練章程
page 7	招考簡章
page 7	警察教育
page 7	粵女聯會訓練女警察伍智梅等昨來港募款岑日初助經費五千元
page 8	省募衣會增聘隊長
page 8	中醫救護隊之宣言
page 8	游藝大會徵集獎品
page 8	女籌賑會收到捐款
page 8	耶穌誕之前夕各界市民盡清享樂消耗估計逾百萬金
page 8	理髮　籌賑會成立
page 8	英醫漢奇月杪北上
page 8	汽車公司職工　款
page 8	旅美僑胞踴躍購債
page 8	飛行家黃逸光回國參加抗敵
page 8	灣仔劫案初審
page 8	市況一瞥
page 8	休假三天
page 8	消費統計
page 8	渡節之前
page 8	及格之女救護員
page 8	九龍昨發生小火
page 8	梁炳南來港設廠製造防火夾萬
page 8	三英畫展之成績
page 8	鮑少游畫展續訊
page 8	廣州募衣會增聘港大隊長英　師漢奇月杪北上理髮業籌賑會將成立
