page 1	桂晉戰局
page 2	日方表示反對前途尚未可測
page 2	增城方面我軍向日施行突襲傷斃日軍六七百毀戰車四輛邕欽路我軍向欽縣近郊進擊
page 2	徵募寒衣運動統一辦理
page 2	非常時期維持治安緊急辦法第二條各項法條之參攷二
page 2	歐　機重訂票價
page 2	直布羅陀海陝防禦非常堅強意國艦輪已完全絕蹤西班牙輪船頗多航行
page 2	贛南日軍中伏被殲百餘
page 2	我發言人談桂晉戰局日遭我襲擊損失頗重日本空軍亦祇能擾亂
page 2	日又威脅泰國向泰提出某項要求條件我國當局對此極為注意
page 2	編外話
page 2	泰國作了螳螂
page 2	又是神經戰作用
page 2	我乘雨夜襲金殿鎮張南西南我日遭遇
page 2	上海防軍會議通過美日軍接管英防區日對此種議決案表示反對並要求保留另提方案之權
page 3	劇烈空戰後英稱獲得制海空權
page 3	英機飛法國轟炸吉倫特煤油廠
page 3	委員長告民眾書補正
page 3	德幫佈疑陣投下空傘搖惑人心
page 3	邱吉爾報告英倫仍有被侵危險
page 3	傳英將西印度群島權益向美換取舊艦此次談判且行將結束料數日內可最後決定
page 3	美下議院通過動員志願軍案授權於羅斯福辦理
page 3	史泰漢堡親王在法空軍服務受哥爾將軍指揮
page 3	瑞京又發出空襲警報
page 3	美上下兩院昨日休會
page 3	英補充預算案三讀通過
page 3	南太平洋法屬新喀里多尼亞島正醞釀政潮行政委會通過擁護哥爾但居民則多傾向於貝當
page 3	意人對英機發生深刻印象
page 3	羅匈兩國將於今晨談判
page 3	土總統接見巴本
page 3	蘇宣佈羅歸還地施行社會政策一切大企業收歸國有
page 3	鶴基亞被剌後意希關係突然嚴重德意兩國正商議應付此問題希臘商輪又被意戰鬥機炸擊
page 3	馬力芝哥夫任紅軍總參謀
page 3	英屬索馬利蘭軍情頗為緊急英軍有向貝比拉退卻之勢戰事仍開展中實情尚難明
page 3	德機愈來愈兇二千架襲擊英倫德機被擊落一百六十九架
page 5	防城我軍展開攻勢
page 5	我分三路包圍龍州
page 5	邕龍公路交通切斷
page 5	高雷軍事從新部署
page 5	廣州灣禁運辦法改善港貨已准許辦運租界治安改由越籍兵負責連日大舉搜查各酒店客棧
page 5	審查發證不逾一週
page 5	公局兵槍械之收點
