page 1	歐局突變與中國抗戰
page 2	日為安南問題外務省會議忙谷正之向法提抗議
page 2	雷鳴遠病重
page 2	湘省甘霖下降
page 2	陳嘉庚昨抵洛
page 2	王曉籟昨飛港
page 2	桂臨參會閉幕
page 2	黔振冀魯水災
page 2	天津問題英日協定簽字將停止封鎖租界
page 2	揚州偽軍譁變擊斃日顧問多名
page 2	陝省肅清煙毒煙土登記結束
page 2	美眾院海委會通過擴海軍案比現有力量增加一倍將強迫男女國民服務
page 2	滬投機者紛紛收存國幣
page 2	德意成立協定調整戰時經濟
page 2	丹使呈遞國書
page 2	墨組國防委會
page 2	比　領袖會議
page 2	傳英閣將更動
page 2	土盼蘇聯指導國策認英法土協定失效
page 2	美參議院否決停購銀案
page 2	于斌主教抵渝
page 2	荊宜師管區司令蔡繼倫貪污被槍決假造單據浮報工程費
page 2	尼加拉號輪誤觸水雷沉沒乘客船員均安全
page 2	傳夏威夷附近發現日艦駐軍嚴密戒備
page 2	美眾議院擁護門羅主義佛蘭克謂以資源助聯軍等於非正式向德意宣戰
page 2	史汀生演講主張援助聯軍
page 2	宜昌當陽近郊激戰沙市日軍退竄江陵贛我迫瑞昌粵三江墟日陷重圍
page 3	德軍仍繼續向法壓迫英遠征軍已退出法境
page 3	南非決擁護英政府
page 3	邱吉爾之廣播演說
page 3	德機狂襲英倫英機亦炸燬德煤油廠
page 3	意陸軍部報告　績
page 3	法飛機多飛往非洲
page 3	德軍四路迫擊法軍
page 3	拉脫維亞民眾騷動政府勸民尊重紅軍
page 3	宜昌四周
page 3	困獸之鬥
page 3	主力部隊
page 3	一無所獲
page 3	來求一逞
page 3	孤注一擲
page 3	敵我作戰
page 3	法軍尚無紛亂狀態
page 3	英遠征軍退出法境
page 3	勞工黨昨發表宣言
page 3	蔣委員長演詞全文一
page 3	英下院議員擁護首相抗戰全國人民團結一致以爭取最後之勝利
page 3	英國力可繼續戰爭
page 3	德意停戰條件送法法全權代表已內定談判地點及日期由德指定
page 5	禁止本縣穀米出境
page 5	僅敷兩邑民食之用
page 5	米業商人恢復營業
page 5	瓊崖我軍攻克萬寧龍墩市王毅親冒失石與日兵肉搏儋臨公路日軍車二被炸毀
page 5	猛向萬寧縣城進攻
page 5	向日狙擊屢有收穫
page 5	容奇日偽火迸爭收規　衝突偽軍被斃六名
page 5	經濟部實施三年建設計劃基金國幣二萬萬元
page 5	高要登記餘糧盡量出糶
page 5	屢行屢失之睦洲龍泉日以海空軍進犯再度淪陷三江舖戶數百被焚之慘狀
page 5	死守龍泉亦非得計
page 5	不由分說大肆焚殺
page 5	利用飛機指揮作戰
page 5	粵省切實封鎖西江私運
page 5	省務會議誌要捕獲傀儡照給獎派林世恩長高要
page 5	河南敦和市偽軍團因收賭餉械鬥日軍彈壓不服制止當堂射殺二十餘人
page 5	花縣團隊奪獲日電輪駛抵粵北省當局擬予獎賞
page 5	石岐設偽警署偽警均屬徒手無法維持治安
page 5	早造收割期將屆台開米荒將可解決桂米贛米洋米大批運到米價日降台山擬儲穀備荒一區仍禁米出境
page 6	我軍續進迫太平場
page 6	花縣方面日軍潰退
page 6	粵省府飭屬建立各級會報制度
page 6	粵參議會三次大會通過重要提案六十五件一舉凡教育經濟民政興革事項均有讜言偉論確定改進對策
page 6	桂裁撤各縣地方金庫
page 6	中大校遷回粵北近訊遷移費甚鉅沿待籌措新校長遲未接任原因
page 6	戰區貨運稽徵分處顧翊群兼處長
page 6	經濟建設
page 6	改進教育
page 6	粵北神岡在圍攻中我軍已迫近太平場我克上下象坑並進抵容樹浦花縣魚中潭激戰日向南潰退
page 7	難童工藝院定期演劇籌募經費男女伶星踴躍擔任義演華商會同人代銷入場券
page 7	游藝秩序業已編定
page 7	商會同人極力贊助
page 7	英僑踴躍捐金救國三日內已捐輸廿五萬元
page 7	警探拾獲四萬餘元支票現存油麻地警署候領
page 7	郎靜山昨抵港攝影界今日開會歡迎
page 7	青年會學生部昨歡迎美代表穆勵知穆氏報告來華考察之經過我學生堅苦奮鬥至足欽佩
page 7	九龍關通告附稅續徵一年
page 7	港府禁米出口違者以違犯國防法例論罪
page 7	兩人鬻良為娼每處徒刑六月
page 7	盤據石岐日軍準備撤退強迫居民搭牌樓送行
page 7	各區官立學校是否悉符教育新例抑該新例專為私立學校而設羅文錦將向立法局提出質問
page 8	中央僑委會考選清貧僑生辦法是屆考取一十四名下月十八日起報名
page 8	聯美公司代表談美國難免參戰羅斯福演詞已有顯明的表示美各飛機廠正趕製大量飛機
page 8	哥運臣角防潛艇閘遷移本港海軍部之通告
page 8	廣州居民尋得逃港的新路徑沿廣九路步行來港
page 8	金龍台巨竊案判決三犯各處徒刑一年
page 8	滬籍男子被控冒中宣部代表推銷蔣夫人言論集
page 8	捕獲劫船疑犯
page 8	汛美機昨離港
page 8	車輛失事統計去週死一人傷二十九人
page 8	四賊截劫寡婦分別判處徒刑
page 8	關于廣東叢書第一集書目之解答廣東業書編印委員會
page 8	英政府禁商船開赴法屬與日人威脅安南無關目的祇禁開赴歐洲法淪陷區遠東法屬航運短期內可恢復
page 10	南華會戲劇股二次招收學員
page 10	夏令籃球比賽已有十六隊參加
page 10	學界籃球戰績
page 10	初級學排賽週來舉行決戰皇仁與培英爭冠軍
page 10	宵來公開籃球賽廣大晨鍾奏凱華僑青職敗陣
