page 2	答范石生先生二
page 3	廿一日晨吳景濂乘汽車出京赴津抵津後住天津醫院
page 3	參議院通過查辦王克敏黃郛案張伯烈辭副議長職
page 3	陳籙電稱法政府聲明金佛郎案實行後始允交回廣州灣
page 3	趙恒惕將任兩湖巡閱副使兼湘省督理
page 3	葉恭綽抵奉住交通銀行
page 3	京政府擬退回參議院查辦王克敏黃郛案咨文
page 3	北歸艦隊定名渤海艦隊溫樹德為總司令
page 3	眾議院今日開會料仍有騷擾
page 3	吳佩孚保趙恒惕任湘省督理兼兩湖巡閱副使以胡念先旅駐常德鄂軍駐岳州或長沙為條件
page 3	京政府接探報劉存厚自命督軍劉湘自命總司令將起內訌
page 3	但懋辛得唐繼堯接濟又分路反攻重慶正在激戰中
page 3	趙傑十九日赴贛欲游說常德盛投南
page 3	劉存厚吳新田孔繁錦等連警
page 3	克梓潼新都內江已逼近成都楊森軍亦攻克瀘州
page 3	湘造幣廠長徐明家以飛行家譚根為總務科家由譚與滬某某兩大洋貨公司交涉墊款購銅
page 3	浙議員電孫傳芳勸孫勿為戎首
page 3	何成濬廿二日返廈門與臧致平謀反攻黃大偉已返漳州籌防禦
page 3	楊漢烈王永彝在溪尾開仗楊軍佔勝
page 3	閩財廳人員拒絕新廳長蔡　要求薩鎮冰改委閩入繼任
page 3	旅滬各省公民團廿二日為粵關餘事通電有粵政府為國民公認願為後盾等語
page 3	滬國民黨廿三日午開會到都三千餘人決在滬組七分區部
page 3	吳景濂廿一日晨赴津同派及中立議員陸續出京
page 3	廿二日政團會議請法庭緝吳景濂將金佛郎案推歸黎元洪內張紹曾閣時張恩源所提打消孫閣同意案
page 3	廿二日張伯烈辭副議長其辭職書有云驅逐院警造意於議員實施於內長流毒寧有底止等語
page 3	甘石派決推臨時秘書長輔理院務以備根本改組
page 3	曹錕自吳景濂走後誡王毓芝高淩霨各事勿持之過急否則恐生枝節
page 3	眾議院議長逐鹿者十三人
page 3	牟琳主另組行政委會
page 3	英美使　派員見顧維鈞述金佛郎案謂各國多同情於法應速定辦法
page 3	各路客貨價惟京綏津浦膠濟等路可酌加
page 3	吳景濂離京後即發通電謂內務部以強力遣散眾院警衛隊而代以京畿警察殊屬違法惟內務部謂吳屢用眾院警衛隊作本人衛隊致議院迭
page 3	生擾亂為維持議院秩序計非撤換警衛隊不可將發電駁吳
page 3	廿二日參議院開會出席議員一百四十二人結果以金佛郎案經黃郛向法使簽約承認
page 3	金還款當時並未徵得國會同意王克敏繼任財長後復將此案秘密進行迭請出席將情形報告王均拒絕顯係衊視國會遂全體通過咨請政府將黃郛王克敏查辦惟京政府謂閣員違法祇能彈劾不能查辦擬將原咨文退回現尚在考慮中
page 3	石龍戰後之修狀
page 3	東北兩江戰局新形勢
page 3	孫逸仙致英工黨領袖電
page 3	聯軍退集石灘之別訊
