page 1	平稀國際收支之重要措置
page 2	蘇北我軍猛攻淮安漣水淮安已為我軍克復漣水殘Ｘ不難肅清
page 2	Ｘ犯閩定海展開激戰
page 2	經營進口物品申購外匯規則財部已製定公佈
page 2	進口物品申請購買外匯規則
page 2	綏東我軍勇戰殺Ｘ高排長以一步槍斃Ｘ寇二十四人
page 2	粵省Ｘ虜苦恨戰爭希望戰事早告結束解放日本民眾痛苦
page 2	陶思瑾在天台結婚
page 2	蒙偽邊境蘇蒙日偽軍又起劇戰戰情之劇為數星期來所僅見日方軍報謂蘇蒙軍已被擊退
page 2	申請書式
page 2	孔院長宣言
page 2	Ｘ特務艦一艘在滬失火
page 2	偽中央組織不日即行成立名單議定汪出任主席
page 2	英當局訓練婦女空軍廚子汽車夫等亦由政府授訓
page 2	晉南民眾受Ｘ煽惑反英運動激烈包圍教會襲擊傳教師住宅英人不有立足退出洪洞城
page 2	朱驥妻繼任江北游擊司令Ｘ人畏之如虎相遇不敢交戰
page 2	日軍加緊封鎖天津英界運入牛奶能用者甚少煤炭一項且斷絕供給
page 2	Ｘ方擬進行策動回民反英回民已洞燭其奸決不致受其利用
page 2	京鍾路之Ｘ為我襲擊隨縣偽組織已無形瓦解
page 2	我軍一度攻入佛山從化獅嶺Ｘ仍被我軍包圍神岡之戰我砲兵重創頑Ｘ
page 3	但澤納粹黨領袖力主但澤歸德對但澤納粹黨員演說謂任何犧牲亦所不惜
page 3	如德武力侵但澤英法必起干涉因英提出警告之影響德侵但澤市或將展延
page 3	美陸軍部追加預算由眾參兩院先後通過全數皆將用以擴充空軍
page 3	英倫將推行中國週之宣傳運動英人又定明日舉行民眾大會表示反對日人封鎖津英租界
page 3	英王及首相申明英國決心英國現已準備在必要時傾其全國力量反抗侵略
page 3	德以軍械運華履行中德物交物協定
page 3	抗戰後的西北皮毛業
page 3	鄂南戰事南林橋作中心該處附近各村落與高地得而復失已不知苦干次
page 3	建議失敗赫爾表示痛惜為維持和平利益計繼續努力務令所提建議能為國會採納
page 3	英駐蘇大使西慈報告談判情形英現聽候蘇政府答覆
page 3	東京談判即將開始Ｘ大肆宣傳製造空氣謂日軍當局堅持決意脅逼英國承認其要求
page 3	晉　急需醫藥甚盼各方捐贈
page 3	英地中海艦隊行將演習
page 3	Ｘ國原料恐慌精良工人亦缺乏
page 3	但澤圖謀歸德加緊戰時準備英法波對但澤態度完全一致擬聯向但澤市當局提出交涉
page 4	兩紅丸犯入獄
page 4	摩登少婦服毒
page 4	商會改選今日止截投票
page 4	少婦突告失蹤
page 4	賑聯會之議案
page 4	虧空疑犯提堂
page 4	巨竊案再押候
page 4	兒童健康比賽屈臣氏藥房主辦
page 4	圖案展覽將開幕
page 4	本港五月份稅收減少政費支銷超過稅收七萬餘元港府資產額受影響遂告減縮
page 5	我軍推進步步　營
page 5	我機不斷出動炸Ｘ
page 5	四邑交通比前迅捷
page 5	Ｘ構工事企圖死守
page 5	潮安以西戰事未已
page 5	潮安戰事未已Ｘ我在城西之激戰Ｘ遭堅強抵抗不敢冒險續進積極佈置防禦工事企圖死守
page 5	江門Ｘ有撤退模樣
page 5	潮安已成盜匪世界
page 5	西江沿線Ｘ軍減退
page 5	八桂健兒傷愈重返前線殺Ｘ共有八十餘人梧州各界歡迎
page 5	Ｘ犯舊三水被我擊退
page 5	第四戰區頒佈游擊隊生產教養辦法組家屬隊免其後顧之憂在安全區設立義務學校
page 5	生產
page 5	教養
page 5	東北線我軍反攻捷訊江村血戰展開廣州Ｘ軍忙於抽調東江我軍包圍獅嶺分兵進迫增城
page 5	佔領廖村繞攻大同
page 5	Ｘ犯福和我圍獅嶺
page 5	血戰江村Ｘ軍受創
page 5	攻太平場Ｘ退新村
page 5	桂林籌備疏散人口物資
page 5	我團隊截獲Ｘ運豬車押運Ｘ兵被我擊斃
page 5	情報
page 5	兵役人員考績官府頒發辦法
page 5	越南華僑黃進步捐賀儀救災民
page 5	收復石牌Ｘ退石龍
page 5	　軍克復　域後因戰略關係只握守城外高地江會戰事現以新鶴路為重心我機續向三灶島轟炸之詳情
