page 1	泰越邊氛果然擴大
page 2	泰機再飛越境炸法軍事目標
page 2	柬埔寨西平原將展開大空戰
page 2	芳澤使命重大
page 2	美國建艦程序發展兩洋海軍當局發表常年海軍報告主張在兩洋增設根據地
page 2	日與阿根廷互將使館升格
page 2	修森頓城被轟炸甚劇烈英倫東南一小鎮亦被炸
page 2	蔣委員長警告各國認識太平洋公敵必須共同行動制止日本侵略捨此不圖將難挽回滔天浩劫
page 2	墨新總統就職演講墨國政策全力贊助汛美聯防保持民主政治及國內統一必須準備應付世界惡環境
page 2	印抗叛運動份子被捕者達百人其中多知名人物
page 2	地中海英艦航空隊炸德黎波里港碼頭貨倉輪船多中彈英艦隊已控制地中海
page 2	羅政局不安愈德參謀人員赴羅京鐵衛團全體動員羅相忽倡索回匈國逼讓地尚攝政演說決保中立地位
page 2	英報揭破　政潮為德國暗中鼓動
page 2	日設北部軍區委濱本為司令
page 2	汪在滬遊行慶祝
page 2	泰越邊戰事愈擴大泰機不斷向越境報復湄河上游發生空戰泰軍進入越境佔一小洲外交談判解決希望更微
page 3	日對美貸我巨款認為一示威行為
page 3	英報評日汪條約對列強無大影響
page 3	德國侵略魔手又圖伸入瑞典德報攻擊瑞士報紙謂其作袒英之宣傳
page 3	美國駐英大使宣佈辭職俾得盡力助羅斯福維持美戰局外地位
page 3	蘇不承認汪政權決遵守中蘇協定
page 3	阿爾班尼亞土人反意運動擴大意軍被迫全線退卻希軍又獲得新據點
page 3	鄂北血戰結果日軍陣亡萬餘湘北日軍中伏傷亡甚眾贛東彭澤附近日我激戰
page 3	日本內部醞釀海陸兩相宣言支持近衛
page 3	北平華保安隊發生譁變一日軍官被擊斃
page 3	美海軍奉令嚴格限制對外輸出以免阻礙美國國防計劃
page 3	日機襲滇蒙自個舊礦區落彈
page 3	昆市節儲達千萬元
page 3	日台灣軍司令本間代替牛島
page 3	美輪在浙被扣案美再向日抗議
page 3	澳洲已完成軍事自給地位能製大量飛機砲彈供應澳洲國防之用
page 3	美續貸巨款助我表示貫徹遠東政策野村欲探求美對遠東政策止境英蘇與美一致不承認南京政權
page 5	分早晚兩次
page 5	九江河清間日軍炮轟鶴山慘況續詳用催淚彈轟擊兩次受災者共十餘鄉村
page 5	我機出現中新各線
page 5	中山我團隊昨克復金斗灣我機隊偵察中新並投下傳單江門　頭日軍戒嚴交通斷絕
page 5	我團隊進駐金斗灣
page 5	第二次轟擊
page 5	曲岐驛運兼用手車運輸沿線設合作社及倉庫
page 5	三水米價近訊女水客　生活費
page 5	桂南善後加緊進行軍風紀視察團巡抵龍州電請中央撥巨款救災民
page 5	張貞呼籲救濟難民
page 5	文化食糧趕運桂南
page 5	招待文化人新聞界
page 5	韶防禦日空軍陸戰隊犁市北區舉行演習
page 5	莞太戰線日軍全貌
page 5	台山空襲
page 5	日機又轟炸澳頭各地石灘日軍大部竄退
page 5	西江各縣嚴密護僑一區專員李郁焜之通令
page 6	潮屬米荒已獲救濟
page 6	解決東江糧荒問題
page 6	粵加緊改進水利工程二築山塘修溝洫浚圳井建堤壩抽水蓄水灌溉
page 6	韶興公路大加修建設修路總隊派人監督橋樑涵洞已修整改建
page 6	省行赴運米石回粵
page 6	古巴僑胞熱心救國組織勞軍抗日籌款會募得美金達百餘萬元
page 6	桂林整頓市政
page 6	田賦征收員吏緊急時須隨政府撤退禁游擊區人民向日方稅契
page 6	慘哉我國內地民眾瘧死竟多於戰死籲請海外僑胞多運良藥救濟
page 6	惠州醫院近況
page 6	李主席日前一度赴湘湘米運粵問題已圓滿解決薛長官允於萬難中接濟粵糧香翰屏將召開儲糧救荒會議
page 7	米價之昂向所未見
