page 1	英國對華新借款之意義
page 2	華北偽組織禁用中國法幣將華北劃分兩個貨幣區英方謂其禁令難已施行
page 2	Ｘ機七架竄擾陝省投彈五十餘枚
page 2	省參會設候補參議員
page 2	我政府考慮收容猶人問題以何地點收容現尚未有決定
page 2	Ｘ機炸宜昌波及美聖公會漢美領提抗議
page 2	廣州開賭某賭商承投設五大賭區
page 2	戰時兒童保育會昨日舉行週年紀念理事長蔣夫人親致訓詞
page 2	何廉由築赴昆
page 2	黃旭初銷假
page 2	我派顧大使慶祝教王加冕
page 2	帝航郵機在暹京受微傷今日仍續飛星洲
page 2	我游擊隊伏擊咸寧之Ｘ
page 2	閩江口外駛到Ｘ艦一艘
page 2	美巴兩國成立經濟協定美以黃金五千萬元貸巴用以促進巴美兩國貿易
page 2	英下皖討論煙台商權政府已予注意
page 2	滬上鋤奸運動深入Ｘ轄區域
page 2	津英法租界軍隊武裝戒備將統制租界內居民以維治安
page 2	晉中我退出靜樂Ｘ軍一無所得晉西Ｘ謀渡河失敗晉北我軍收復　寨
page 2	林主席捐珍藏獎勵獻金名家書畫二百餘件
page 2	滬Ｘ軍械庫被焚
page 2	綏蒙政會設立軍校培養蒙旗青年
page 2	日將組航空運輸公司侵奪我國之航空權益該公司資本定一萬萬日元
page 2	鄂中我軍克復鍾祥Ｘ謀強渡襄河企圖失敗漢宜路之Ｘ已均無鬥志
page 3	英下屆空軍預算可謂空前鉅大總額達二萬萬餘鎊金比本年增七千餘萬鎊
page 3	瑪德里城情勢嚴重
page 3	購料委會常年會充滿愉快空氣郭大使備受頌揚
page 3	法大使遞國書林主席在國府歡宴
page 3	大使略歷
page 3	捷克政潮緊張斯拉夫族企圖獨立彼等準備實行政變
page 3	Ｘ對英貸款助我竟謂將採取報復手段長江復航問題因此無期實現滬證券交易所我國幣價續漲
page 3	貸款協定內容
page 3	日本不參加世界划艇比賽
page 3	英京各報評論
page 3	神戶離奇大火焚燬棉織廠鐵礦廠各一家
page 3	日本防止商人投機操縱物價日各大銀行代表會議決定限制私人借款作投機事業
page 3	第三次全教會議宣言續
page 3	希特勒又欲冒險陰謀襲擊荷瑞但佔據荷瑞係屬暫性質目的在迫西歐各國之屈服
page 4	閉門面睡
page 4	摟臥床中
page 4	遺書一封
page 4	圖劫疑案詳臬
page 4	學賑會游藝會今日在培英學校開幕
page 4	滬江同學會開慈善餐舞會
page 4	港府設委員會修正交通則例
page 4	中大服務團組東江工作隊
page 4	願作鴛鴦不羨仙逆旅中一雙情侶自殺遺書老父請派員收屍幸服毒尚輕獲救不死
page 5	深圳昨又發生虛驚Ｘ機三架飛寶屬窺擾石莞太Ｘ兵力薄弱近日無異動深圳被炸死傷已登記九十九名
page 5	西線軍情五日所得軍訊Ｘ又炮轟金利舊三水Ｘ再增Ｘ機迭窺我陣
page 5	我各部游擊隊已向市郊移動午夜時間槍炮聲Ｘ軍諉稱為爆石
page 5	花縣游擊隊夜襲Ｘ營我空軍偵察Ｘ陣Ｘ　鄉民組　會
page 5	花縣Ｘ軍達一師團
page 5	我機連日偵察Ｘ陣
