page 2	我欲謂　句良心話為爭　　陳是非者發
page 3	保定兵變已平曹錕電責財部欠餉所致
page 3	董康向中行借款六十萬元留十萬作京畿軍餉餘擬匯往保定
page 3	王懷慶電告熱河兵變平息
page 3	黎元洪派白逾桓赴粵迎孫文
page 3	顏惠慶擬召集各省委員會沈鴻英電黎元洪請任岑春　長桂
page 3	徐謙將由保定來京
page 3	吳佩孚擬裁兵大省留　鄒中省　師一旅小省一帥
page 3	湯薌銘長鄂曹錕吳佩孚蕭耀南鄂省議會均電反對閣員請緩發表黎元洪意決令遂下
page 3	顏惠慶擬告病假
page 3	閣　恐以公府名義邀孫文不東徒失威信故令法　公　請孫北上
page 3	孫洪伊代表張澤民張繼代表崔慶鋆謁黎元洪二請優禮孫中山二請懲辦曹銳邊守靖以息平民心黎對第一層已派員南下歡迎惟對第二層因邊乃曹家靈魂尚在考慮
page 3	盧信到京代表唐紹儀與國會交換意見後盧即南下聞國會　半數推唐紹儀組閣但曹錕主王士珍又一派主孫洪伊非過八月朔恐難定實
page 3	吳佩孚馮玉祥在鄭州會晤前嫌盡釋自後約定每日一電交換意見
page 3	趙恒惕堅持聯省自治不肯北歸吳佩孚對岳州撤防　擬暫止進行
page 3	六日閣議董康提出財政計畫書一中央預算計軍政費每月支三百三十萬　各費由銀行設墊款機關以一年為期另將崇文門煙酒印花所得稅及鹽餘一部備還三組織特別審查委員會以為審計官由墊款銀行代表銀行公會代表商會代表總稅務司鹽務處會辦共組之
page 3	外交財政兩部長及財政委員會委員長顧維鈞昨約公使團討論退還庚子賠款事各公使主張不一某使謂如能統一未嘗不可相商但現軍閥專政退還賠款反益　爭顧再三申辯各使頗感動聞有展緩兩年訊
page 3	保定廿一師六日晚兵變聞商戶被搶數十家旋潰庚子賠款展緩兩年美使允疏通但不能供軍費馮玉祥電陳樹藩竄擾已飭南陽鎮守使嚴防王承斌　廿一師兵變有電請處分
page 3	黎元洪顏惠慶擬以吳佩孚任全國陸軍訓練總監王占元長陸軍部已徵同意聞吳不願就訓練總監
page 3	唐紹儀電吳景濂南北未統一前不願赴京組閣吳佩孚電院部奉電遵撥援隊赴贛請迅發餉彈接濟
page 3	近聞各國代表因張作霖命張宗昌率隊鎮守中東路恐危
page 3	害外人生命決行自衛辦法
page 3	劉鎮華電吳新田入漢陰與陳樹藩戰樹藩敗退二日又攻安康
page 3	公府密派員分赴浙閩調查盧永祥李厚基舉動
page 3	黎元洪對廢督裁兵及統一財政省長各問題極抱悲觀昨語某將軍謂不圖中央威信如此失望
