page 2	政府三催眾院解決同意案吳景濂允三十日列入議事日程議員多數主退還咨文
page 3	外團抗議蔡成勳截留鹽稅
page 3	浙盧永祥電告無迎孫文入浙事
page 3	益友政學兩系允張耀曾盧信出閣惟要求新閣加入本系各一人
page 3	曹錕語人
page 3	有人向吳佩孚建議
page 3	眾議院以唐閣同意案手續欠缺議決不受理
page 3	京漢路因裁員罷工
page 3	張紹曾代閣近呼聲甚高有將實現訊
page 3	顧維鈞張紹曾等奉黎元洪命赴醫院留王寵惠無效王言黎若退還辭呈我必再上但現閣仍暫維現狀閣議輪流主席或強李鼎新代閣
page 3	昨閣議顧維鈞主席
page 3	張英華赴保定籌商財政方針如允方敢代部
page 3	孫傳芳以川亂影響鄂邊特領大批軍需子彈運宜昌
page 3	漢口訊吳佩服孚派副官到鄂
page 3	聞李烈鈞部由贛侵入湘境汝城資興桂東陳嘉祐部由樂昌走宜章彬縣趙恒惕派往堵載之葉唐兩旅現駐永興一帶
page 3	將來之政務廳長
page 3	選舉省長與議員公旅費
page 3	近政潮劇烈由政黨與軍閥不相容據某鉅公言國會既
page 3	上海教商聯合之國是會議昨開憲法起草委員會會議到者章太炎等十餘人討論憲法
page 3	湘南將有戰事
page 3	農商總長盧信擬禁全國彩票將提出閣議並派秘書結束有獎債券又電馮自由北上擬派赴南洋宣慰華僑
page 3	澳官辦理平南艦事之餘聞
page 3	葡探毆人又聞
page 3	澳門緝獲私運炸藥手槍人犯
page 3	假冒潔淨局騙案判監
page 3	港滬賑災之熱心
page 3	游泳員定期赴滬
page 6	王永江復任奉長之內幕
page 6	吳佩孚將移駐鄭州
page 6	國會議員俱樂部與選舉總統續
page 6	司櫃難靠
page 6	勒索伶　款項被拘
page 6	劫案又聞
page 6	影戲院女設凍氣機
page 6	銀價
page 6	謝贈藥品
page 6	傳染症報告
page 6	管倉被控偷酒
page 6	毆差案准改罰款
page 6	川電轟繫外輪之電訊
page 6	被控傷人
page 6	被控偷雞
page 6	煙未納稅被罰
page 6	搶西婦銀紙判監
page 6	旅港潮州商會佈告災情
page 6	黎元洪願護孫文做總統
page 6	馬克再大跌
page 6	日光丸擱淺
page 6	鋼鐵價
page 6	電話之新發明
page 7	海軍部發表收束通電
page 7	裁併衛生局之說未確
page 7	查對程天固所設商號
page 7	李群捕匪起擄記
page 7	粵派聯省會議代表已起程
page 7	陳競　將有宣言書
page 7	四會縣長捕匪記
page 7	總部艦務處長將易人
page 7	反對張日鍠長桂之反向續
page 7	高廉軍事消息
page 7	陳永善捕獲三水著匪
page 7	南屬大富團局被劫
page 7	陳炯明對議員演說之別報續
