page 2	省長舉出後的我見
page 3	將授章炳麟勳一位
page 3	謝遠涵在贛州暴死
page 3	陸榮廷以軍人不交印為詞電阻岑春　赴桂政府將以桂長畀陸
page 3	贛省會議員到京謁黎元洪阻止發表蔡成勳督辦江西軍務
page 3	漢陽兵工廠全燬損失七百萬元
page 3	繼任閣揆聞已由京保協定決任孫洪伊兼長內務陸軍張紹曾孫未到前由張暫代海軍湯廷光司法徐謙教育馬君武孫丹林調農商交通高恩洪仍舊陸次金永炎
page 3	聞吳佩孚近改變政策主聯孫文倒黎元洪正在醞釀協商但一說謂吳不滿孫聯張作霖故對孫懷疑對黎緩和
page 3	漢口傳陳嘉佑進攻零陵湘軍羅先闓部四營已附陳謝國光吳劍學兩部亦不穩葉唐兩部被李烈鈞朱培德軍困於永興葉部有一團繳械一說李
page 3	朱兩軍廿五日已入衡陽長沙戒嚴湘省各軍多附和倒趙聞趙決取消自治實行附北已派鍾才宏赴洛陽接洽並將眷送滬
page 3	奉訊吳俊陞廿三日赴博克圖辦理善後前傳黑省獨立恐非事實
page 3	張紹曾自告奮勇組閣謂能疏通各方贊成統一曹錕吳佩孚不再生意見並維持高恩洪回任聞吳佩孚已允張暫攝閣揆藉觀後效但一說謂吳電紹曾勸勿輕信政客之言上台
page 3	近傳奉直兩軍逼近榆關形勢極惡惟各均避禍首不敢先發
page 3	聞吳佩孚仍主援川廿七日電蕭耀南暫墊緩川餉二成並派參謀赴宜昌與孫傳芳協商進行一說劉湘以四十萬元餌孫援川孫意頗動但劉成勳尚來電聲明川鄂聯防約仍有效
page 3	有人以總統問題孫文正曹錕副說徵吳佩孚意見吳謂現國會除埋頭制憲 外無良好成績國會自身之副議長尚且爭執況總統選舉言外表示不贊成
page 3	聞陳炯明電吳佩孚請政府踐約任彼為兩廣軍務督辦吳以原電達黎元洪黎允內閣負責有人即發表
page 3	廿五日由京南下車廿七晚抵漢口罷工潮聞已解決
page 3	政學益友討論研究各派
page 3	善界代表面請唐少川來省
page 3	廿八日省會舉省長詳誌
page 3	東京電
page 3	上海電
page 3	北京電
page 3	省會又將解決善後督辦問題
page 3	北海西訊
page 3	輪船擱淺續聞
page 3	德商在港之活動
page 3	閩幫熱心助賑
page 3	發假誓案續聞
page 6	中國對俄態度之外報批評中國大教育家已化為共產黨徒世界不限制共產宣傳者惟有中國
page 6	本港之雨水
page 6	提防癲犬
page 6	孫文資助民軍首領之西訊
page 6	東華醫院賑災會議
page 6	十九日之憲法會議省之僅限取　括主義再續
page 6	銀價
page 6	軍火案
page 6	傳染症報告
page 6	演劇籌賑彙誌
page 6	偵探拘去兩人
page 6	同敬工會要求加薪近聞
page 6	毆人案簽保具結
page 6	華商總會聚會
page 6	搶銀紙判監
page 6	伙伴難靠
page 6	打架案
page 6	竊案
page 6	旅港潮州商會佈告災情表再續
page 7	陳炯明復任總司令職續聞
page 7	議員請捕陸孟飛
page 7	省長舉定後之紙幣行情
page 7	法官將有大更動
page 7	高廉軍事消息
page 7	陳競存致陳席儒函
page 7	下等客店小准開設
page 7	取締人壽會近聞
page 7	財廳收支處失竊
page 7	金庫鐵柵被人撬毀
page 7	令煤灰工會約束工人
page 7	省行紙幣價之別報
page 7	非宗教同盟之應聲
page 7	許部降軍之編練
page 7	翁式亮所部之改編
page 7	海軍改組之要聞
page 7	陳永善三水捕匪續聞
page 7	陸蘭清擴充軍隊之波折
page 7	日人公宴劉震寰
page 7	瑣聞一束
page 7	日俄在長春開會議
page 7	俄人求助於美
page 7	墨西哥亂事
