page 1	日內閣總辭職與新閣產生
page 2	德蘇商業協定內容公佈
page 2	韓德森攜覆牒飛抵柏林赴國務院訪希特勒和戰已達最後階段
page 2	英國全境進行徵兵許多英兵密調法境倫敦要地挑掘戰壕
page 2	墨索里尼努力斡旋和平意國人士無意戰爭羅馬舉行燈火管制
page 2	駐英大使郭泰祺昨訪問英外相外相聲言對華政策不變重光葵亦到英外部訪問
page 2	法國下令檢查電報
page 2	德國軍事準備完成
page 2	葡國決定為英支撐
page 2	比禁各項物品　出
page 2	巴黎居民積極疏散
page 2	德國限制海陸運輸
page 2	巴黎實施燈火管制
page 2	兵險保費突增一倍
page 2	但澤禁鐵運往波蘭
page 2	波蘭發生炸彈慘案
page 2	荷蘭決定維持中立
page 2	荷東印度施行戒備
page 2	動盪的歐洲
page 2	張伯倫切實聲明決履行對波所負義務英對德覆照拒絕希特勒之要求希特勒堅持取回但澤及波走廊
page 3	Ｘ閣改組後將改變國策或注意改善英日關係
page 3	湘會同縣民眾爭服兵役
page 3	瑞武Ｘ軍被我隔離
page 3	鄂中之Ｘ軍運極忙
page 3	中央國府合併舉行孔子誕辰紀念二由孔院長主席並作報告
page 3	負責的表現
page 3	奮鬥的精神
page 3	為學不厭的精神
page 3	紀念孔聖誕辰
page 3	川沙方面反攻我收復祝家橋
page 3	長台關Ｘ再犯明港之南與我團隊遭遇戰
page 3	孔院長覆電
page 3	為美艦人員被毆日方已提出書面道歉日本對美有妥協之趨勢
page 3	東路我軍一度攻入增城增城四郊Ｘ現遭我壓迫江門之Ｘ進犯杜阮井根
page 3	華北Ｘ停止反英
page 3	許崇智陳濟棠等通電聲討汪逆
page 3	為廢止現行中立法美政府將作宣傳運動羅斯福主張實為輿論擁護
page 3	傳英內閣不日改組
page 3	行政院決議案
page 3	孔院長軫念滬市民食准購買英金一萬鎊辦米濟急由滬各團體聯合訂購西貢米
page 3	何部長在紀念週報告最近三月來軍事概況一並說到Ｘ人潰敗的因素
page 3	廿七晚起Ｘ由深圳撤退
page 3	湘北我軍
page 3	希特勒元首率同黨軍政各界要人
page 3	波蘭國民現仍保持鎮靜態度
page 3	Ｘ新閣人選已定定今晨正式組成阿部信行將任首相兼外相陸相為　俊六海相為吉田
page 4	截劫案仍押候
page 4	防軍昨日操砲
page 4	華人文員協會將贈旗步行團
page 4	加頓輪中搜獲千兩白銀
page 4	一週間之時症霍亂仍發生三十六宗
page 4	銅鼓灘劫殺案昨續審乞臣幫辦述尋獲　艇　過華探否認會迫各被告認罪
page 5	將軍山Ｘ搆築砲壘
page 5	鍾碌山Ｘ業已全撤
page 5	順屬Ｘ軍已略增加
page 5	江會方面炮聲仍密
page 5	中山昨晨砲聲由來
page 5	粵南局勢漸和緩沿海Ｘ艦動態詳誌Ｘ母艦又由瓊海駛回圍洲
page 5	賑濟三江民眾與新台之防務
page 5	禪炭全線Ｘ軍宣佈戒嚴
page 5	中山沿海Ｘ艦略增
page 5	南方面之深夜砲聲我團隊夜襲Ｘ營
page 5	省賑會編組難民修築公路實行以工代賑
page 5	粵省銀行溝通鄰省匯兌渝分行即成立
page 5	Ｘ窺伺下之粵南各縣實行聯保連坐切結民間槍械不得任意轉售粵南各縣軍訓教官會議
page 5	指導抗戰團體
page 5	統制各縣單車
page 5	組民眾肅奸網
page 5	召開軍訓會議
page 5	我東路大軍向寶安推進吳奇偉部已抵寶安境南頭Ｘ軍尚留百餘人赤灣Ｘ艦已大部撤退邊界Ｘ軍退出五里外惠陽交通路線甚安定
page 5	邊界Ｘ軍退離五里
page 5	壩江海岸仍有Ｘ蹤
page 5	赤灣Ｘ艦昨已撤退
page 5	寶安游擊戰將展開
page 5	南頭Ｘ軍尚留百餘
page 5	吳奇偉部昨抵寶安
page 5	Ｘ不斷援睦洲有久據之勢鐘碌山Ｘ亦撤往睦洲江會連日雙方之炮戰銀洲潮Ｘ艇威脅三江振濟會運米賑三江鄉民
page 6	全省收支已足相抵
page 6	推行農貸增加生產
page 6	贈款收支力　簡捷
page 6	粵教育學院改為文理學院縣政人員之訓練
page 6	粵省舉辦戰區農村貸款省行辦農場圍戶貸款
page 6	北江戰事激烈我軍迫攻神岡
page 6	韶分區派員鑑定Ｘ貨十七日已開始工作
page 6	合浦珍珠商中途被匪勒死
page 6	潮州我軍攻佔菴埠車站
page 6	旅星嘉應五屬僑胞派代表回粵進行救鄉該屬留韶長官開會歡迎
page 6	遂溪糖商反對抽白糖捐
page 6	連縣地政實驗區成績良好地政局長高信之談話
page 6	新會警局改制撤銷警察局改設警佐
page 6	顧翊群談粵財政已趨穩固在省收支相抵足告慰粵同胞積極增加生產對付Ｘ經濟戰
page 7	邊境防軍並未撤退
page 7	各區將設救傷崗位
page 7	登記英僑百餘入伍
page 7	中山隆鎮同鄉獻旗抗Ｘ將士
page 7	又破獲字膽廠
page 7	杜月笙昨壽辰留港要人多往祝賀
page 7	香港大學女生宿舍開幕羅　國爵士親臨主禮
page 7	寶安小輪昨開蛇口南頭海面已無Ｘ艦蹤跡
page 7	中大服務團徵求工作人員
page 7	女慰勞會會議馮秉　夫人辭司庫職
page 7	魚販義賣籌得三千餘元
page 7	港政府決定疏散市民計劃戰事果不幸而爆發將移市民至某小島
page 7	法庭重懲逃犯
page 7	追悼殉難軍民法會將由羅旭等主祭望各界僑胞參加致敬李漢魂輓聯昨已送到
page 7	測驗防軍實力本港舉行軍事大演習由明日起至下月一日止演習範圍包括東南兩區
page 8	獻劍團將出發昨開籌備會議
page 8	新界農業會分區派送菜種農展會定　曆年底舉行
page 8	二千兩私煙案俟查明地點再審
page 8	各界振聯會最近收支狀況
page 8	索賄疑案註銷被告無罪省釋
page 8	領防疫證書赴各埠之有效辦法本港醫務署更改辦公時間星期六下午及星期日休息
page 8	巨石壓斃苦力法官再開堂研究
