page 1	遠東交通史之新紀元
page 2	內臟破壞為致命傷
page 2	綏署省府發出通電
page 2	楊永泰之生平事略
page 2	駐漢外領紛紛唁問
page 2	華北日駐軍秋操演習開始舉行民房三百餘間被日軍佔駐居民數千人迫得全部遷出
page 2	日外務省舉行重要會議決定對華最後態度新訓令至遲明日即可決定內容或趨絕對硬化之一途
page 2	日貴族院考察團今日啟程返國
page 2	鄂省府主席楊永泰被剌斃命身中二槍一彈貫腹而出傷中要害入院後即逝世兇手當場被捕遺骸今日大殮
page 3	日俄戰雲隨察綏軍事而緊張海參威已配有強力海軍赤塔間有赤衛軍約十萬
page 3	傅作義赴並謁閻報告綏蒙邊境防務
page 3	韓復　昨專車抵濟韓謂魯一切問題悉本中央意旨進行本人對山東樂觀對國事前途尤樂觀
page 3	馬麟後日離滬
page 3	阿王飛並謁閻
page 3	中匯江浙兩行下月實行合併
page 3	章士釗昨日赴平就職
page 3	中央黨部定期歡宴香翰屏等並邀馮玉祥等作陪
page 3	各地獻機代表陸續抵京報至獻機場已佈置就
page 3	高桂滋飛陝謁蔣請示剿匪機宜
page 3	孔祥熙病漸痊
page 3	某方在滬招募華工秘密建築工事應招者已百餘人乘小輪不知何往
page 3	三批蘆鹽輸日
page 3	司倫奉派指導西藏選舉
page 3	教部推行電影教育決定補助辦法
page 3	蘭賴氏演說美　不應孤立處于現代世界各國無一可以離群孤立
page 3	德意談判大致已告商洽今日即有正式宣佈
page 3	蘇聯貨船三十艘向西班牙進發將以大批軍火接濟西政府軍意德兩國決定積極阻止他國接濟西國官軍蘇聯貨船駛入西國港口時或將為其所堵截
page 3	英國致書國際國中立委會控告意俄破壞中立意謂俄若不明白表示是否退出中立委會則必反對中立委員會之討論俄國控告書
page 3	法院急進社會黨大會議決贊助人民陣線法國社會主義政府因此得以大見鞏固
page 3	阿拉伯人繼續排猶運動
page 3	比法西斯黨首領狄格里爾被捕
