page 1	日外交煙幕之醞釀與吹散
page 2	請集中人才案
page 2	參加綏戰陣亡軍民追悼大會汪昨飛並偕閻轉綏閻派副官到綏佈置汪閻行轅各方致祭代表均已先後抵綏
page 2	熊斌代蔣赴綏致祭
page 2	桂考察團離平赴綏
page 2	王寵惠徐永昌等明日宣誓就職中央已派定張繼監誓
page 2	冀省派員赴綏參加
page 2	雲王代表昨午抵綏
page 2	國民政府命令李品仙特加上將銜頒給閻傅一等寶鼎勳章區壽年等任為陸軍少將
page 2	津市府將組建設委會
page 2	中央撥款廿萬元籌建國葬墓園
page 2	竄青殘匪又復迭受重創匪內部甚為恐慌
page 2	許世英昨晚由京赴滬秘書黃伯度隨行
page 2	日對華北野心未已積極組織漢奸團體專事破壞交通及暴動工作漢奸反動工作較前更活躍
page 2	教部派員視察各省教育
page 2	武漢定明日舉行防空演習昨預習燈火管制
page 2	英大使許閣森拜會何黃二氏何黃分別設宴歡迎
page 2	劉湘等三十三委提議請集中人才案凡有學術能力貢獻國家者事業機關應分別選用明令各地方機關隨時向中央推薦賢能以供選用國府函政院轉飭所屬一體知照
page 3	成渝鐵路不久即可興工
page 3	宋子文訪孔祥熙討論金融問題
page 3	黃水會總動員舉行植樹運動
page 3	中國教育學會舉行出席世教會議籌備會決議各國代表中無偽滿代表我國當參加如發現有偽滿代表出席者我國亦不承認
page 3	關于西歐安全公約問題德意送致英備忘錄意務兩政府事前曾經商得同意由英意保障法德不再從事戰爭
page 3	英法磋商保証比國安全
page 3	德報刊載仇美言論美向德國抗議
page 3	馬德勒處境益危叛軍炮火已可達到西政府請國聯注意意兵參戰法西斯派陰謀綁架政府要人
page 3	佐籐兩次不同演說掀起政界極大波瀾贊成與反對兩派意見互相抵觸
page 3	墨索里尼不可一世在北非趾高氣揚縱　望躊躇　車過塵起人
page 3	美中立法繼續問題眾院開始攷慮
page 3	鄧寶珊談西北問題發展交通建設為設施基礎希望隴海路能於五年內通達嘉峪關陝北隴東邊區問題短期內可望解決
page 3	英輪利華拉治號途中發生火災已發出無線電求援
page 3	克萊琪任英駐日大使
page 3	英政治家勞特喬治演講希望政府急謀解決糧食問題上次大戰時英國幾為糧食問題所困英今日糧食之缺乏準備尤甚於靈前
page 3	法國禁止非法抬高物價
page 3	法國防公債首批認購逾額
page 3	英飛行家莫里遜氏願與其妻離婚其妻亦為一女飛行家
page 3	日對英建艦計劃官方未有表示
page 3	孔祥熙準備出國
page 3	陳覺生十三日晨出津赴平
page 3	邵力子十三日晨到滬
page 3	劉峙十二日晚八時由潯乘江華輪到漢
page 3	于學忠定十四日午由蘭飛返西安
page 3	記者頃訪劉瑞恒詢其是否隨孔赴英
page 3	經濟侵略先鋒兒玉等今日抵滬當夜入京訪謁我各當局孔派員分京滬兩地招待
page 4	無限鼓舞性之二屆長途跑今日在半島舉行男女健兒百餘看誰奪得錦標開會頒獎儀式業已詳細編妥
page 4	開會儀式
page 4	賽跑路線
page 4	女賽跑員
page 4	男賽跑員
page 4	維持交通
page 4	頒將儀式
page 4	十四屆全省運動五月五日開幕大會章程昨訂定公佈
page 4	運動種類
page 4	足球之歷史沿革二李惠堂在播音台之演詞
page 4	昨日足球施福擊敗南　華成績三比一
page 4	普通界籃球成績
page 4	甲組足球主力戰爭南華南再遇華寒斯努力吧南華南十一健兒雖伏雄飛於今日之戰
page 5	蕭冠英對炸灘意見順屬學生主張免炸蕭對此事未有定見但主張須切實審議
page 5	三年施政計劃定四一開始實施明日聯合紀念週岑學侶報告綱要
page 5	官商合辦銀行資額增至二千萬元定名官商合辦華南銀行成立日期約在五月初間先認定官股然後招商股
page 5	汕市某人又毆打工務人員電報工會呈請交涉
page 5	鹽商因加稅事晉京請願之續訊
page 5	教育慈善基金免所得稅
page 5	黃慕松返府辦公
page 5	營稅申報限期已屆汕市商會昨再會議應付強化同業公會之進行
page 5	營業稅申報限期明日即已告滿市會再請展限
page 5	財廳取締汕紙鏹捐收國幣准用地名券加一征收
page 5	米商集議反對增貼印花
page 5	余漢謀返省後連日以諮詢式商計軍事巫劍虹談並未有任何軍事會議形式　築國防幹道各師徵兵團限期成立
page 6	手車工會呈社會局轉請市府救濟工友
page 6	潮汕救濟民食改平糶為儲糧
page 6	各將領赴京受訓均已乘輪北上
page 6	製皮業組會糾紛南黨部昨召集雙方調解資方不允恢復工人工作工方沉默應付聽候解決資方發表激昂之談話
page 6	資方理由
page 6	工方表示
page 6	車渡死難家屬聯合辦事之近訊民族渡難屬到法院對審
page 6	建設廳實行蠶絲經濟技術合作規定貸款範圍三種
page 6	水利局函各區會商防水修圍
page 6	闢濬珠江後河黃埔公署籌
page 6	特班學員擅離校軍分校通緝究辦一以後劃分小組訓練
page 6	廣州市火警彙誌
page 6	粵漢電話定二十日通話
page 6	粵國省兩庫收支近況因大小詳比率稅收抵補不少
page 7	駐港英艦之調查
page 7	德商亦收買銅仙
page 7	英皇批准之新例
page 7	露宿會捐款統計
page 7	敵軍今夕進犯本港港防軍已嚴陣以待或將施行燈火管制
page 7	港當局嚴查市面淫穢刊物承印者其罰較販賣為重
page 7	七人省釋
page 7	承印淫書
page 7	市民條陳
page 7	本年夏間航空線可環繞地球汛美機下月廿一日正式飛港本港將成為世界航空之要樞
page 8	貨車輾傷一女童
page 8	小球迷跌破頭顱
page 8	輾斃四命案複審
page 8	中國人有實行節育之必要節育家山額夫人又將來華以前次因病不能赴京滬為憾此次當往華南華中各地宣傳
page 8	英京銀價續報漲
page 8	春季第一次特別賽　成績天氣寒冷觀者多提前歸去騎士袁少鎏墮馬幸未受傷
page 10	上海中華醫學會定期召開會員大會
page 10	兩人服毒幸遇救
page 10	開投公地之通告
page 10	廠聯會今日會議
page 10	初級法庭案彙誌
page 10	冒騙
page 10	勒索
page 10	強搶
page 10	　古玩充善院經費
page 10	張彭春將在港演講
page 10	山能幫辦獲獎功牌
page 10	元朗舊墟三賊圖劫不成棄械而遁髹漆匠抗賊被刺傷警探聞訊星夜緝捕
page 11	孕婦投井自殺家姑被押候訊
page 11	聯鄉辦事處全成立
page 11	舉辦兒童健康比賽
page 11	石龍匪徒白日行竊
page 11	調節民食分會成立
page 11	婦女界慶祝三八節
page 11	改善管理崇義祠產
page 11	何縣長督築江春路
page 11	六期壯丁隊受訓畢
page 11	派警沿途拘捕煙民
page 11	募款修築迎陽公園
page 11	潮安各界援綏會改組訊
page 11	縣長考試之籌備條例已頒行來粵
