page 1	失學難童教育運動
page 2	我空軍飛滬西南偵察平湖Ｘ軍被我包圍吳興之南我軍活動
page 2	略有進展
page 2	南昌外圍戰事沉寂
page 2	Ｘ由中陽分路西犯圖佔軍渡磧口被我有力部隊分路截擊Ｘ受創甚重死亡五百餘
page 2	廣州Ｘ強迫居民注射防霍亂針美籍女救士被Ｘ軍棍擊
page 2	Ｘ在滬運大批傷兵返日朝日丸載二千餘名
page 2	日聲言封鎖蘇閩浙九港口未經Ｘ許可駛到各港之商輪當地Ｘ海軍當局當令其離埠
page 2	美駐日大使秘密抵滬曾參加三大使會晤
page 2	Ｘ外相與首相重要會議
page 2	滇省府設署辦理滇緬邊務
page 2	吳鼎昌赴黔西路視察任可澄赴黔南視察
page 2	Ｘ在暨南大學捕去台籍學生
page 2	冀境亢旱Ｘ圖植棉失敗
page 2	豫南大捷獲Ｘ文件甚多Ｘ兵厭戰精神萎靡
page 2	汪精衛尚在滬傳　邀汪赴漢組武漢偽政府
page 2	蔣委員長等電唁蕭氏家屬
page 2	閩主席陳儀談Ｘ近在閩騷擾不足慮造謠生事徒令聞者齒冷此乃Ｘ人一貫分化政策
page 2	認清煙毒
page 2	認真去做
page 2	對於禁煙
page 2	六三禁煙紀念蔣委員長訓詞原文二明年禁煙期滿煙民應加緊戒除淪陷區同胞須嚴防Ｘ毒化政策
page 2	競爭生存
page 2	贛州義賣蔣經國親任報販向商　住戶推銷
page 2	日防日圓外流將禁煙酒進口
page 2	滬漢奸慫恿拒繳捕捐
page 2	漢Ｘ倉庫被焚損失奇重我忠勇志士亦犧牲
page 2	衛立煌將軍談豫晉Ｘ已入疲敝中條山已成一鐵的堡壘豫省防務經調整亦臻鞏固
page 3	羅斯福希望國會早日決定中立法案不致使本屆國會會期延長
page 3	美海軍部訂造新艦
page 3	訪問十三個俘虜記一僅受廿餘日訓練即驅赴戰場供述感想流露無限厭戰悲哀
page 3	一石井大一
page 3	二川田好秋
page 3	三羽鳥重夫
page 3	山本喜一
page 3	德政府要求與西訂軍事同盟佛朗哥當即予以拒絕不擬接受進一步約束
page 3	英軍官被捕事愈弄愈糟英方調查人員亦被日軍逮捕
page 3	法參長定期赴英土軍事代表團亦將赴英觀操
page 3	Ｘ在外蒙挑釁動機企圖破壞英法蘇聯合平沼內閣反對與德意締軍事同盟極右派有軍人乃故挑釁與平沼為難
page 3	津英領接納日方無理要求引渡恐怖份子我已向英提抗議
page 3	陳介將赴弗蘭克孚參觀各大工廠
page 3	羅國普選完畢
page 3	胡世澤在日內瓦申述我國禁毒之努力絕未因戰事而有停頓惟Ｘ佔領區煙毒遍地
page 3	南國攝政聘德外交部長隨行
page 3	英潛艇船員已無獲救希望料已窒息而死
page 3	侵華結果日本ＸＸＸＸ日皇節衣縮食以為人民模範
page 3	美人駕小帆船由日赴金門灣預期三個月可抵目的地
page 3	新鶴路Ｘ竄擾石嶺山被退擊我軍向新會挺進斃Ｘ甚多
page 3	蘇在原則上接納英法提案但提出要求保留若干條件癥結所在仍為波羅的海問題
page 4	少年投海獲救
page 4	銀圓公債定期抽籤還本
page 4	霍亂症漸蔓延本年內已發生四十五宗
page 4	失學難童今日分區試驗
page 4	港府增建監獄招商投承建築工程
page 4	兒童保育會召開會員大會
page 4	血案昨再提堂
page 4	各區搶匪猖獗
page 4	學界攝影比賽即日開始報名
page 4	永祥金舖劫案三疑犯均被加控罪名一週後再提堂下月公審首次兩被告疑是潛回犯
page 5	Ｘ圖報復再犯睦洲
page 5	聲勢洶洶分路進攻
page 5	Ｘ犯三江又復碰釘
page 5	中途遭伏被我生擒
page 5	斃Ｘ五千俘九十餘
page 5	新鶴路上戰事仍緊
page 5	消耗Ｘ力軍政並進
page 5	中山雖緊仍無事小黃埔淪陷尚非事實周守愚昨對記者談話
page 5	黃埔淪陷消息不確
page 5	沿海Ｘ艦仍有滋擾
page 5	東路我軍再薄增城新田福田我Ｘ又起激戰新田Ｘ我隔河砲戰石龍我團隊甚活躍
page 5	Ｘ犯福田遭我伏擊
page 5	我攻增城進逼城郊
page 5	我游擊隊活躍石龍
page 5	我Ｘ對峙隔河炮戰
page 5	我軍冒雨反攻新田
page 5	潮汕形勢已甚緊張空防建設與障塞交通由汕至菴埠路軌拆毀汕菴交通另有新辦法
page 5	空防建設更　積極
page 5	外輪來往受擾續聞
page 5	汕菴交通另有辦法
page 5	省府撥款卹難近訊
page 5	省黨部奉令發動黨政軍子弟入伍運動中央訂定辦法頒佈到粵
page 5	周守愚譚中山情勢
page 5	不准擅募兵伕
page 5	平洲偽區長就職演戲被游擊隊襲擊觀劇男女受驚而散
page 5	新會戰事昨訊Ｘ犯三江再犯睦洲我軍獲勝斃Ｘ五十餘生擒九十餘我軍已再度克復圭峰山
page 6	Ｘ機狂炸各地之慘重汕中外人士紛籌振濟各埠華僑均捐募鉅款匯返賑災
