page 1	取消冀東偽組織問題
page 2	川樾談中日關係達重要時機日應確定具體方案川樾定今日午後與佐籐會見對今後對華政策作重要進言
page 2	南濠塹匪騎衝進我軍陣地試探我軍發槍射擊匪即掉頭回竄偽機又飛興和散發荒謬傳單
page 2	津海關決定檢查私貨
page 2	華東九大學運動會已閉幕男子組中央第一女子金女大第一
page 2	新運總會籌備衛生運動工作大網業已訂妥
page 2	黃埔支線月中開鋪路軌
page 2	楊虎城定期飛京分謁中樞當局辭行出國手續辦妥下旬即可放洋西安各報社昨設宴為楊餞別
page 2	京滇週覽團歸餘行程決定在貴陽起分兩路北返在漢口會合共同返京
page 2	中研院評議會在京舉行年會議長蔡元培抵京主持該會開幕禮
page 2	蒙藏人士發起組文化研究所
page 2	成都各界舉行聯合救災大會
page 2	蕪江潮水陡漲
page 2	保定軍警捕獲販毒韓人
page 2	裕中紗廠易名後今日開始復工
page 2	徐家棚肇事路工已送法院案辦因與省會警察衝突
page 2	教電協會定期舉行年會
page 2	衛立煌昨赴京
page 2	甘績鏞過陝飛滬晉京報告川政
page 2	日中將鈴木將來津一行
page 2	馬步芳分贈蔣閻駿馬
page 2	日英交涉遠東問題謀恢復英日遠東合作條件為日本保證中國土地之完整但要求英承認日在華之特殊利益
page 3	滇主席龍雲談滇省年來建設已有長足進步京滇公路完成西南國防漸形鞏固厲行禁絕鴉片相信決可如期成功
page 3	郵局擬購汽車運郵行駛全國
page 3	柳江煤礦公擬讓渡與泰記讓渡日人有損礦權故有主張收回國營
page 3	蔣寶丞抵京為黔災民籲振各縣飲料大感困難蔬菜一莖需價一角
page 3	陝回教會舉行歡迎馬麟大會
page 3	西政府否認與叛軍言和比爾波居民開始撤退德兵千餘名開抵西境
page 3	五一勞動節世界各方面動態紐約工人二十萬高唱國際　列隊遊行莫斯科防軍與工人集赤色廣場檢閱
page 3	英
page 3	美
page 3	蘇
page 3	比
page 3	波
page 3	蘭各界定期舉行迎朱大會
page 3	茶葉公司即可開始營業
page 3	甘各團體電賀耀組促駕盼早日蒞甘主政
page 3	捷
page 3	羅國親王欲創飛行新紀錄並擬作中途天空安眠飛機則由自動機操
page 3	美新中立法案經羅斯福簽署
page 3	美洲帶台杯美澳獲決賽權我被紐西蘭淘汰
page 3	好萊塢技術人員罷工有鉅片五十張無法進行攝製
page 3	胡嘉詔返築談片
page 3	日法西斯黨之當頭棒日人對現閣不滿之反映日總選反政府黨大獲勝政友會民政黨等宣言苟林內閣不顧國民決定在特別會議時彼等將不惜通過不信任政府案
page 4	座無虛席
page 4	上局媾和
page 4	下局慘敗
page 4	壘球昨日開賽香港壘球會奮勇勝日青隊兩際鏖戰七局成績相等加賽一局香港多勝三分
page 4	日青
page 4	六人
page 4	港隊
page 4	加賽
page 4	林珍兄弟對芬洪決賽雙打冠軍在　港水球會舉行林珍兄弟希望較
page 4	昨日小型足球戰績淩風開勝球紀錄同義中英英南利傑志志亦勝利
